stock_name,hold_num
贵州茅台,8179
宁德时代,7474
尚太科技,5003
五粮液,4957
泸州老窖,4450
华宝新能,4326
唯特偶,4073
慧博云通,4023
华大九天,3882
万得凯,3867
美好医疗,3819
凡拓数创,3528
信德新材,3517
华厦眼科,3434
迈瑞医疗,3417
立讯精密,3407
易点天下,3330
阳光电源,3327
华新环保,3266
怡和嘉业,3109
美的集团,3107
维峰电子,3102
比亚迪,3076
金山办公,3062
欣灵电气,3040
鸿日达,3038
西测测试,3028
凯格精机,2978
满坤科技,2972
汉仪股份,2969
维海德,2944
金禄电子,2929
广立微,2918
嘉曼服饰,2909
普瑞眼科,2902
中国平安,2883
唯万密封,2872
天力锂能,2863
逸豪新材,2858
招商银行,2857
恒瑞医药,2839
隆基绿能,2837
通行宝,2834
丰立智能,2805
盛帮股份,2804
海康威视,2783
亿纬锂能,2776
新巨丰,2773
鼎泰高科,2720
新天地,2712
工大科雅,2703
锐捷网络,2692
东方财富,2685
药明康德,2677
聚胶股份,2676
远翔新材,2603
川宁生物,2601
紫金矿业,2599
东星医疗,2576
建科股份,2556
森鹰窗业,2544
万华化学,2518
荣信文化,2513
保利发展,2510
中国中免,2479
北路智控,2474
一博科技,2456
捷邦科技,2424
宁波银行,2400
星源卓镁,2398
昆船智能,2396
熵基科技,2377
晶澳科技,2373
山西汾酒,2352
中科环保,2294
北方华创,2294
珠城科技,2277
卡莱特,2266
富乐德,2249
元道通信,2201
隆扬电子,2147
紫光国微,2132
江波龙,2132
伊利股份,2094
中兴通讯,2084
爱尔眼科,2012
爱美客,2008
恒生电子,1998
紫建电子,1992
汇川技术,1977
长江电力,1945
海尔智家,1929
中国建筑,1898
天合光能,1875
格力电器,1869
东南电子,1866
天元宠物,1864
天山电子,1852
瑞晨环保,1824
顺丰控股,1821
中荣股份,1806
兴业银行,1805
天振股份,1801
众智科技,1798
万科A,1797
平安银行,1788
洋河股份,1770
泓博医药,1769
智飞生物,1768
宏景科技,1737
中信证券,1729
中航光电,1676
古井贡酒,1673
温氏股份,1661
中国移动,1639
首创证券,1624
TCL中环,1594
三七互娱,1587
华鲁恒升,1585
安井食品,1583
中际旭创,1583
矩阵股份,1570
通威股份,1556
中国神华,1548
招商蛇口,1524
振华科技,1522
兆易创新,1509
青岛啤酒,1506
科大讯飞,1498
中微公司,1483
拓普集团,1470
佰维存储,1462
人福医药,1453
恩捷股份,1451
东方雨虹,1434
分众传媒,1425
三花智控,1417
陕西煤业,1393
海大集团,1390
长春高新,1384
泰格医药,1371
三环集团,1369
晶盛机电,1358
牧原股份,1358
澜起科技,1348
华友钴业,1320
广联达,1305
东山精密,1290
天赐材料,1289
伯特利,1284
源杰科技,1274
中国太保,1271
中国船舶,1266
天齐锂业,1262
华东医药,1252
中科创达,1251
派能科技,1249
今世缘,1247
三一重工,1236
德业股份,1224
中国海油,1207
纳思达,1206
圣邦股份,1195
中航重机,1189
赣锋锂业,1176
工商银行,1175
萤石网络,1164
捷佳伟创,1157
江苏银行,1148
上海机场,1143
锦浪科技,1132
东方电缆,1131
中国石化,1130
中国软件,1127
山外山,1123
金地集团,1122
中控技术,1109
中国国航,1108
德赛西威,1089
福斯特,1088
卓胜微,1087
舍得酒业,1084
工业富联,1084
微导纳米,1076
联影医疗,1070
重庆啤酒,1067
晶科能源,1064
清越科技,1062
石英股份,1060
聚和材料,1059
杰华特,1058
中国电信,1055
科伦药业,1048
固德威,1046
传音控股,1043
长盈通,1040
鹏辉能源,1034
广发证券,1033
华能国际,1032
中天科技,1031
中航沈飞,1020
宝信软件,1020
富创精密,1017
深信服,1015
福耀玻璃,1012
华润三九,1009
韦尔股份,1009
康龙化成,1008
百利天恒-U,1007
赛轮轮胎,1006
同花顺,1003
中芯国际,994
海螺水泥,994
京东方A,979
芒果超媒,966
凯莱英,961
中国核电,953
中国石油,952
西部超导,948
中国人寿,947
中国中铁,946
兖矿能源,943
锦江酒店,943
广汇能源,926
邮储银行,923
先导智能,920
绝味食品,917
开立医疗,916
亨通光电,903
璞泰来,901
欧派家居,901
贝泰妮,900
成都银行,894
美腾科技,885
同仁堂,884
伟星新材,883
迈为股份,879
航发动力,869
中炬高新,867
晶品特装,861
永兴材料,860
海光信息,856
华泰证券,854
亿联网络,850
新宙邦,847
中科曙光,843
山东黄金,835
吉比特,833
银泰黄金,832
春秋航空,830
长川科技,825
九洲药业,824
农业银行,823
杭州银行,822
华如科技,820
TCL科技,817
片仔癀,816
中航西飞,814
大华股份,813
中国电建,813
国电南瑞,812
光威复材,812
信邦智能,812
宁波远洋,811
科达利,809
航天电器,807
炜冈科技,805
通策医疗,805
迎驾贡酒,803
荣盛石化,801
紫光股份,794
恒立液压,793
新易盛,790
珀莱雅,790
鹏鼎控股,787
安琪酵母,786
顾家家居,786
中国联通,783
用友网络,782
三峡能源,781
