ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market
180103.SZ,华夏和达高科REIT,华夏基金,REITs,20221216,0.24,0.01,,,E
588370.SH,科创50增强策略ETF,南方基金,股票型,20221201,0.5,0.1,上证科创板50成份指数收益率,增强指数型,E
561320.SH,交运ETF,国泰基金,股票型,20221130,0.5,0.1,中证内地运输主题指数收益率,被动指数型,E
159677.SZ,1000增强ETF,银华基金,股票型,20221124,0.5,0.1,中证1000指数收益率,增强指数型,E
159675.SZ,创业板增强ETF,嘉实基金,股票型,20221124,0.5,0.1,创业板指数收益率,增强指数型,E
159662.SZ,交运ETF,南方基金,股票型,20221123,0.5,0.1,国证交通运输行业指数收益率,被动指数型,E
561590.SH,中证1000增强ETF,华泰柏瑞基金,股票型,20221123,0.7,0.1,中证1000指数收益率,增强指数型,E
508077.SH,华夏基金华润有巢REIT,华夏基金,REITs,20221118,0.1,0.01,,,E
159680.SZ,1000ETF增强,招商基金,股票型,20221118,0.5,0.1,中证1000指数收益率,增强指数型,E
560980.SH,光伏ETF龙头,广发基金,股票型,20221116,0.5,0.1,中证光伏龙头30指数收益率,被动指数型,E
508009.SH,中金安徽交控REIT,中金基金,REITs,20221111,0.09,0.01,,,E
561710.SH,疫苗生物ETF,博时基金,股票型,20221108,0.5,0.1,中证疫苗与生物技术指数收益率,被动指数型,E
159627.SZ,100ETF,华夏基金,股票型,20221108,0.5,0.1,中证100指数收益率,被动指数型,E
508066.SH,华泰江苏交控REIT,华泰证券资管,REITs,20221103,0.3,0.01,,,E
561180.SH,A100ETF,富国基金,股票型,20221103,0.5,0.1,中证100指数收益率,被动指数型,E
513310.SH,中韩半导体ETF,华泰柏瑞基金,股票型,20221102,0.8,0.15,中证韩交所中韩半导体指数收益率,被动指数型,E
588350.SH,双创50ETF基金,鹏扬基金,股票型,20221026,0.5,0.1,中证科创创业50指数收益率,被动指数型,E
159630.SZ,中证100ETF基金,汇添富基金,股票型,20221020,0.15,0.05,中证100指数收益率,被动指数型,E
560680.SH,消费ETF龙头,广发基金,股票型,20221019,0.5,0.1,中证主要消费指数,被动指数型,E
561330.SH,矿业ETF,国泰基金,股票型,20221019,0.5,0.1,中证有色金属矿业主题指数收益率,被动指数型,E
159655.SZ,标普ETF,华夏基金,股票型,20221012,0.6,0.15,经估值汇率调整后的标普500指数收益率,被动指数型,E
159667.SZ,工业母机ETF,国泰基金,股票型,20221012,0.5,0.1,中证机床指数收益率,被动指数型,E
159663.SZ,机床ETF,华夏基金,股票型,20221012,0.5,0.1,中证机床指数收益率,被动指数型,E
588290.SH,科创板芯片ETF,华安基金,股票型,20220930,0.5,0.1,上证科创板芯片指数收益率,被动指数型,E
588160.SH,科创板新材料ETF,南方基金,股票型,20220930,0.5,0.1,上证科创板新材料指数收益率,被动指数型,E
588010.SH,科创新材料ETF,博时基金,股票型,20220930,0.5,0.1,上证科创板新材料指数收益率,被动指数型,E
588200.SH,科创芯片ETF,嘉实基金,股票型,20220930,0.5,0.1,上证科创板芯片指数收益率,被动指数型,E
159658.SZ,数字经济ETF,华安基金,股票型,20220927,0.5,0.1,中证数字经济主题指数收益率,被动指数型,E
560080.SH,中药ETF,汇添富基金,股票型,20220926,0.5,0.1,中证中药指数收益率,被动指数型,E
508088.SH,国泰君安东久新经济REIT,国泰君安资管,REITs,20220923,0.23,0.02,,,E
508021.SH,国泰君安临港创新产业园REIT,国泰君安资管,REITs,20220922,0.23,0.02,,,E
180102.SZ,华夏合肥高新REIT,华夏基金,REITs,20220920,0.23,0.02,,,E
159645.SZ,疫苗龙头ETF,富国基金,股票型,20220916,0.5,0.1,国证疫苗与生物科技指数,被动指数型,E
511580.SH,政金债5年ETF,招商基金,债券型,20220915,0.15,0.05,中证政策性金融债3-5年指数收益率,被动指数型,E
562310.SH,沪深300成长ETF,银华基金,股票型,20220901,0.5,0.1,沪深300成长指数收益率,被动指数型,E
159651.SZ,国开0-3ETF,平安基金,债券型,20220901,0.15,0.05,中债-0-3年国开行债券指数收益率,被动指数型,E
513260.SH,恒生科技ETFQD,汇添富基金,股票型,20220831,0.15,0.05,经人民币汇率调整的恒生科技指数收益率,被动指数型,E
159621.SZ,MSCIESGETF,国泰基金,股票型,20220830,0.5,0.1,MSCI中国A股人民币ESG通用指数(MSCI China A RMB ESG Universal Index)收益率,被动指数型,E
159650.SZ,国开ETF,博时基金,债券型,20220826,0.15,0.05,中债-0-3年国开行债券指数收益率,被动指数型,E
508068.SH,华夏北京保障房REIT,华夏基金,REITs,20220822,0.12,0.01,,,E
508058.SH,中金厦门安居REIT,中金基金,REITs,20220822,0.19,0.01,,,E
180501.SZ,红土深圳安居REIT,红土创新基金,REITs,20220822,0.2,0.01,,,E
511520.SH,政金债券ETF,富国基金,债券型,20220819,0.15,0.05,中债7-10年政策性金融债指数收益率,被动指数型,E
159637.SZ,新能源车龙头ETF,西藏东财基金,股票型,20220819,0.5,0.05,中证新能源汽车指数收益率,被动指数型,E
159631.SZ,中证100ETF招商,招商基金,股票型,20220818,0.5,0.1,中证100指数收益率,被动指数型,E
159623.SZ,成渝经济圈ETF,博时基金,股票型,20220815,0.4,0.05,中证成渝地区双城经济圈成份指数收益率,被动指数型,E
513290.SH,美股生物科技ETF,汇添富基金,股票型,20220815,0.5,0.15,经人民币汇率调整的纳斯达克生物科技指数收益率,被动指数型,E
159646.SZ,疫苗ETF基金,华泰柏瑞基金,股票型,20220811,0.5,0.1,国证疫苗与生物科技指数收益率,被动指数型,E
159643.SZ,疫苗ETF,国泰基金,股票型,20220810,0.5,0.1,国证疫苗与生物科技指数收益率,被动指数型,E
159649.SZ,国开债ETF,华安基金,债券型,20220808,0.15,0.05,中债-1-5年国开行债券指数收益率,被动指数型,E
159638.SZ,高端装备ETF,嘉实基金,股票型,20220805,0.5,0.1,中证高端装备细分50指数收益率,被动指数型,E
560110.SH,中证1000ETF基金,汇添富基金,股票型,20220729,0.15,0.05,中证1000指数收益率,被动指数型,E
562530.SH,1000价值ETF,华夏基金,股票型,20220728,0.5,0.1,中证智选1000价值稳健策略指数收益率,被动指数型,E
159633.SZ,中证1000指数ETF,易方达基金,股票型,20220728,0.5,0.1,中证1000指数收益率,被动指数型,E
560010.SH,中证1000ETF指数,广发基金,股票型,20220728,0.5,0.1,中证1000指数收益率,被动指数型,E
159629.SZ,1000ETF,富国基金,股票型,20220727,0.5,0.1,中证1000指数收益率,被动指数型,E
561510.SH,中医药ETF,华泰柏瑞基金,股票型,20220726,0.5,0.1,中证中药指数收益率,被动指数型,E
562000.SH,中证100ETF基金,华宝基金,股票型,20220721,0.5,0.1,中证100指数收益率,被动指数型,E
159616.SZ,农牧ETF,建信基金,股票型,20220721,0.5,0.1,中证农牧主题指数收益率,被动指数型,E
159632.SZ,纳斯达克ETF,华安基金,股票型,20220721,0.6,0.2,纳斯达克100指数收益率(经汇率调整),被动指数型,E
562390.SH,中药50ETF,银华基金,股票型,20220720,0.5,0.1,中证中药指数收益率,被动指数型,E
159647.SZ,中药ETF,鹏华基金,股票型,20220720,0.5,0.1,中证中药指数收益率,被动指数型,E
501220.SH,行业轮动FOF,国泰基金,股票型,20220719,1.0,0.2,沪深300指数收益率*80%+中证综合债指数收益率*20%,股票型,E
159620.SZ,500成长ETF,华夏基金,股票型,20220719,0.5,0.1,中证智选500成长创新策略指数收益率,被动指数型,E
159641.SZ,双碳ETF,招商基金,股票型,20220714,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
560060.SH,碳中和ETF,汇添富基金,股票型,20220713,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
159640.SZ,碳中和龙头ETF,工银瑞信基金,股票型,20220713,0.45,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
159642.SZ,碳中和100ETF,大成基金,股票型,20220713,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
561190.SH,双碳ETF,富国基金,股票型,20220711,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
562990.SH,碳中和100ETF,易方达基金,股票型,20220711,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
159639.SZ,碳中和ETF南方,南方基金,股票型,20220711,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
180401.SZ,鹏华深圳能源REIT,鹏华基金,REITs,20220711,0.28,0.01,,,E
560550.SH,碳中和ETF环交所,广发基金,股票型,20220711,0.5,0.1,中证上海环交所碳中和指数收益率,被动指数型,E
513280.SH,港股生物科技ETF,汇添富基金,股票型,20220705,0.15,0.05,经人民币汇率调整的恒生香港上市生物科技指数收益率,被动指数型,E
513220.SH,全球互联ETF,招商基金,股票型,20220704,0.5,0.15,中证全球中国互联网指数(人民币)收益率,被动指数型,E
561700.SH,电力ETF基金,博时基金,股票型,20220701,0.5,0.1,中证全指电力公用事业指数收益率,被动指数型,E
513120.SH,港股创新药ETF,广发基金,股票型,20220701,0.5,0.1,中证香港创新药指数收益率(人民币计价),被动指数型,E
159636.SZ,港股通科技30ETF,工银瑞信基金,股票型,20220630,0.45,0.07,国证港股通科技指数收益率(经汇率调整后),被动指数型,E
562350.SH,电力指数ETF,银华基金,股票型,20220630,0.5,0.1,中证全指电力公用事业指数收益率,被动指数型,E
561160.SH,锂电池ETF,富国基金,股票型,20220630,0.5,0.1,中证电池主题指数收益率,被动指数型,E
159628.SZ,国证2000ETF,万家基金,股票型,20220629,0.5,0.1,国证2000指数收益率,被动指数型,E
159635.SZ,基建50ETF,华夏基金,股票型,20220628,0.5,0.1,中证基建指数收益率,被动指数型,E
508008.SH,国金中国铁建REIT,国金基金,REITs,20220627,0.2,0.01,,,E
159615.SZ,生物科技ETF港股,南方基金,股票型,20220617,0.5,0.15,恒生香港上市生物科技指数收益率(经估值汇率调整),被动指数型,E
159609.SZ,光伏龙头ETF,浦银安盛基金,股票型,20220616,0.5,0.1,中证光伏产业指数收益率,被动指数型,E
560650.SH,核心50ETF,民生加银基金,股票型,20220613,0.5,0.1,中证企业核心竞争力50指数收益率,被动指数型,E
560990.SH,中金科技先锋ETF,中金基金,股票型,20220610,0.5,0.05,中证科技先锋指数收益率,被动指数型,E
162721.SZ,广发积极FOF-LOF,广发基金,混合型,20220609,1.0,0.2,中证800指数收益率*70%+中债-综合全价(总值)指数收益率*25%+人民币计价的恒生指数收益率*5%,混合型,E
159617.SZ,500价值ETF,华夏基金,股票型,20220609,0.5,0.1,中证智选500价值稳健策略指数收益率,被动指数型,E
159603.SZ,双创龙头ETF,天弘基金,股票型,20220526,0.5,0.1,中证科创创业50指数收益率,被动指数型,E
560900.SH,创新药企ETF,上投摩根基金,股票型,20220519,0.3,0.1,中证创新药产业指数收益率,被动指数型,E
588100.SH,科创信息技术ETF,嘉实基金,股票型,20220518,0.5,0.1,上证科创板新一代信息技术指数收益率,被动指数型,E
588260.SH,科创信息ETF,华安基金,股票型,20220518,0.5,0.1,上证科创板新一代信息技术指数收益率,被动指数型,E
517990.SH,医药ETF沪港深,招商基金,股票型,20220509,0.5,0.1,中证沪港深500医药卫生指数(人民币)收益率,被动指数型,E
159612.SZ,标普500ETF,国泰基金,股票型,20220509,0.6,0.15,标普500指数收益率(经估值汇率调整),被动指数型,E
159798.SZ,消费50ETF,易方达基金,股票型,20220428,0.5,0.1,中证消费50指数收益率,被动指数型,E
517850.SH,张江ETF,汇添富基金,股票型,20220428,0.15,0.05,中证沪港深张江自主创新50指数收益率,被动指数型,E
159797.SZ,医疗器械ETF基金,汇添富基金,股票型,20220428,0.15,0.05,中证全指医疗器械指数收益率,被动指数型,E
513380.SH,恒生科技ETF指数,广发基金,股票型,20220427,0.5,0.1,人民币计价的恒生科技指数收益率,被动指数型,E
561560.SH,电力ETF,华泰柏瑞基金,股票型,20220426,0.5,0.1,中证全指电力公用事业指数收益率,被动指数型,E
159625.SZ,绿色电力ETF,嘉实基金,股票型,20220421,0.5,0.1,国证绿色电力指数收益率,被动指数型,E
508018.SH,华夏中国交建REIT,华夏基金,REITs,20220413,0.1,0.01,,,E
501217.SH,行业配置FOF,华夏基金,股票型,20220408,0.8,0.2,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,股票型,E
159618.SZ,光伏ETF华安,华安基金,股票型,20220408,0.5,0.1,中证光伏产业指数收益率,被动指数型,E
513530.SH,港股通红利ETF,华泰柏瑞基金,股票型,20220408,0.5,0.1,中证港股通高股息投资指数收益率,被动指数型,E
517760.SH,消费TOPETF,浦银安盛基金,股票型,20220401,0.5,0.1,中证沪港深消费龙头指数收益率,被动指数型,E
560880.SH,家电ETF龙头,广发基金,股票型,20220330,0.5,0.1,中证全指家用电器指数同期收益率,被动指数型,E
159831.SZ,上海金ETF基金,嘉实基金,商品型,20220323,0.5,0.1,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率,黄金现货合约,E
161133.SZ,优势回报FOF-LOF,易方达基金,混合型,20220323,1.0,0.15,中证800指数收益率*75%+中债新综合指数(财富)收益率*25%,混合型,E
159833.SZ,上海金基金ETF,大成基金,商品型,20220318,0.5,0.1,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,黄金现货合约,E
517900.SH,银行ETF优选,招商基金,股票型,20220315,0.5,0.1,中证银行AH价格优选指数(人民币)收益率,被动指数型,E
513070.SH,港股消费50ETF,易方达基金,股票型,20220314,0.15,0.05,中证港股通消费主题指数收益率(使用估值汇率折算),被动指数型,E
562520.SH,1000成长ETF,华夏基金,股票型,20220308,0.5,0.1,中证智选1000成长创新策略指数收益率,被动指数型,E
517780.SH,红300ETF,浦银安盛基金,股票型,20220308,0.5,0.1,中华交易服务沪深港300指数收益率,被动指数型,E
159776.SZ,港股通医药ETF,银华基金,股票型,20220307,0.5,0.1,中证港股通医药卫生综合指数收益率(经估值汇率调整),被动指数型,E
159787.SZ,建材ETF易方达,易方达基金,股票型,20220304,0.15,0.05,中证全指建筑材料指数收益率,被动指数型,E
517500.SH,游戏沪港深ETF,国泰基金,股票型,20220303,0.5,0.1,中证沪港深动漫游戏指数收益率,被动指数型,E
159834.SZ,金ETF,南方基金,商品型,20220303,0.5,0.1,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,黄金现货合约,E
513960.SH,港股通消费ETF,博时基金,股票型,20220303,0.5,0.1,中证港股通消费主题指数(人民币)收益率,被动指数型,E
513320.SH,恒生新经济ETF,易方达基金,股票型,20220303,0.5,0.1,恒生港股通新经济指数收益率(使用估值汇率折算),被动指数型,E
560600.SH,医药创新,方正富邦基金,股票型,20220303,0.5,0.1,中证医药及医疗器械创新指数收益率,被动指数型,E
159796.SZ,电池50ETF,汇添富基金,股票型,20220303,0.15,0.05,中证电池主题指数收益率,被动指数型,E
159832.SZ,平安金ETF,平安基金,商品型,20220302,0.5,0.1,上海金集中定价合约的午盘基准价格收益率,黄金现货合约,E
159791.SZ,300ESGETF,华夏基金,股票型,20220224,0.5,0.1,沪深300ESG基准指数收益率,被动指数型,E
159788.SZ,港股通100ETF,易方达基金,股票型,20220222,0.15,0.05,中证港股通中国100指数收益率(使用估值汇率折算),被动指数型,E
159769.SZ,消费电子龙头ETF,银华基金,股票型,20220218,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E
513770.SH,港股互联网ETF,华宝基金,股票型,20220209,0.5,0.1,中证港股通互联网指数收益率,被动指数型,E
159619.SZ,基建ETF,国泰基金,股票型,20220209,0.5,0.1,中证基建指数收益率,被动指数型,E
159795.SZ,智能车ETF基金,汇添富基金,股票型,20220127,0.15,0.05,中证智能汽车主题指数收益率,被动指数型,E
159768.SZ,房地产ETF,银华基金,股票型,20220127,0.5,0.1,中证内地地产主题指数收益率,被动指数型,E
159750.SZ,香港科技50ETF,招商基金,股票型,20220126,0.5,0.15,中证香港科技指数收益率(经汇率调整后),被动指数型,E
560100.SH,中证500增强ETF,南方基金,股票型,20220126,0.5,0.05,中证500指数收益率,增强指数型,E
561120.SH,家电ETF,富国基金,股票型,20220125,0.5,0.1,中证全指家用电器指数收益率,被动指数型,E
513150.SH,港股通科技50ETF,华泰柏瑞基金,股票型,20220125,0.5,0.1,中证港股通科技指数收益率(使用估值汇率折算),被动指数型,E
159778.SZ,工业互联ETF,鹏华基金,股票型,20220125,0.5,0.1,中证工业互联网主题指数收益率,被动指数型,E
561100.SH,消费电子龙头ETF,富国基金,股票型,20220120,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E
517550.SH,消费ETF沪港深,招商基金,股票型,20220120,0.5,0.1,中证沪港深消费龙头指数(人民币)收益率,被动指数型,E
159613.SZ,信息安全ETF,嘉实基金,股票型,20220119,0.5,0.1,中证信息安全主题指数收益率,被动指数型,E
513020.SH,港股科技ETF,国泰基金,股票型,20220119,0.5,0.1,中证港股通科技指数(人民币)收益率,被动指数型,E
513200.SH,港股通医药ETF,易方达基金,股票型,20220119,0.15,0.05,中证港股通医药卫生综合指数收益率(使用估值汇率折算),被动指数型,E
159738.SZ,沪港深云计算ETF,华泰柏瑞基金,股票型,20220118,0.5,0.1,中证沪港深云计算产业指数收益率,被动指数型,E
513160.SH,港股科技30ETF,银华基金,股票型,20220117,0.5,0.1,恒生港股通中国科技指数收益率(经估值汇率调整),被动指数型,E
513230.SH,港股消费ETF,华夏基金,股票型,20220112,0.5,0.1,经估值汇率调整后的中证港股通消费主题指数收益率,被动指数型,E
562950.SH,消费电子50ETF,易方达基金,股票型,20220112,0.15,0.05,中证消费电子主题指数收益率,被动指数型,E
159775.SZ,新能源车电池ETF,建信基金,股票型,20220107,0.5,0.1,国证新能源车电池指数收益率,被动指数型,E
516530.SH,物流快递ETF,银华基金,股票型,20220104,0.5,0.1,中证现代物流指数收益率,被动指数型,E
160326.SZ,优选配置FOF-LOF,华夏基金,股票型,20211230,0.8,0.2,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,股票型,E
517270.SH,沪港深科技TOPETF,浦银安盛基金,股票型,20211230,0.5,0.1,中证沪港深科技龙头指数收益率,被动指数型,E
159728.SZ,在线消费ETF,南方基金,股票型,20211229,0.5,0.1,国证在线消费指数收益率,被动指数型,E
159611.SZ,电力ETF,广发基金,股票型,20211229,0.5,0.1,中证全指电力公用事业指数收益率,被动指数型,E
516810.SH,农业50ETF,华夏基金,股票型,20211229,0.5,0.1,中证农业主题指数收益率,被动指数型,E
562910.SH,高端制造ETF,易方达基金,股票型,20211229,0.15,0.05,中证装备产业指数收益率,被动指数型,E
159743.SZ,湖北ETF,博时基金,股票型,20211229,0.5,0.1,中证湖北新旧动能转换指数收益率,被动指数型,E
560800.SH,数字经济ETF,鹏扬基金,股票型,20211222,0.5,0.1,中证数字经济主题指数收益率,被动指数型,E
562510.SH,旅游ETF,华夏基金,股票型,20211221,0.5,0.1,中证旅游主题指数收益率,被动指数型,E
159758.SZ,红利50ETF,华夏基金,股票型,20211220,0.5,0.1,中证红利质量指数收益率,被动指数型,E
562300.SH,碳中和ETF基金,银华基金,股票型,20211220,0.5,0.1,中证内地低碳经济主题指数收益率,被动指数型,E
513890.SH,恒生科技HKETF,上投摩根基金,股票型,20211217,0.5,0.15,恒生科技指数(HSTECH)收益率(经估值汇率调整),被动指数型,E
517180.SH,开放共赢ETF,南方基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E
517090.SH,共赢ETF,国泰基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E
562500.SH,机器人ETF,华夏基金,股票型,20211217,0.5,0.1,中证机器人指数收益率,被动指数型,E
159606.SZ,中证500成长ETF,易方达基金,股票型,20211217,0.5,0.1,中证500质量成长指数收益率,被动指数型,E
