ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
159795.SZ,智能车ETF基金,汇添富基金,股票型,20220127,0.15,0.05,中证智能汽车主题指数收益率,被动指数型,E,吴振翔,0.67,20220930,,,,,,,,,,,-0.24919999999999998,-0.24919999999999998
159768.SZ,房地产ETF,银华基金,股票型,20220127,0.5,0.1,中证内地地产主题指数收益率,被动指数型,E,张凯,1.78,20220930,,,,,,,,,,,-0.14400000000000002,-0.14400000000000002
159750.SZ,香港科技50ETF,招商基金,股票型,20220126,0.5,0.15,中证香港科技指数收益率(经汇率调整后),被动指数型,E,刘重杰 苏燕青,0.69,20220930,,,,,,,,,,,-0.1977,-0.1977
560100.SH,中证500增强ETF,南方基金,股票型,20220126,0.5,0.05,中证500指数收益率,增强指数型,E,崔蕾,1.35,20220930,,,,,,,,,,,-0.09760000000000002,-0.09760000000000002
561120.SH,家电ETF,富国基金,股票型,20220125,0.5,0.1,中证全指家用电器指数收益率,被动指数型,E,牛志冬,1.27,20220930,,,,,,,,,,,-0.12580000000000002,-0.12580000000000002
513150.SH,港股通科技50ETF,华泰柏瑞基金,股票型,20220125,0.5,0.1,中证港股通科技指数收益率(使用估值汇率折算),被动指数型,E,何琦 谭弘翔,1.88,20220930,,,,,,,,,,,-0.17859999999999998,-0.17859999999999998
159778.SZ,工业互联ETF,鹏华基金,股票型,20220125,0.5,0.1,中证工业互联网主题指数收益率,被动指数型,E,罗英宇,0.51,20220930,,,,,,,,,,,-0.23839999999999995,-0.23839999999999995
561100.SH,消费电子龙头ETF,富国基金,股票型,20220120,0.5,0.1,中证消费电子主题指数收益率,被动指数型,E,张圣贤,2.01,20220930,,,,,,,,,,,-0.31910000000000005,-0.31910000000000005
517550.SH,消费ETF沪港深,招商基金,股票型,20220120,0.5,0.1,中证沪港深消费龙头指数(人民币)收益率,被动指数型,E,许荣漫,0.3,20220930,,,,,,,,,,,-0.1501,-0.1501
159613.SZ,信息安全ETF,嘉实基金,股票型,20220119,0.5,0.1,中证信息安全主题指数收益率,被动指数型,E,李直,1.24,20220930,,,,,,,,,,,-0.2609,-0.2609
513020.SH,港股科技ETF,国泰基金,股票型,20220119,0.5,0.1,中证港股通科技指数(人民币)收益率,被动指数型,E,吴向军 梁杏,1.81,20220930,,,,,,,,,,,-0.20089999999999997,-0.20089999999999997
513200.SH,港股通医药ETF,易方达基金,股票型,20220119,0.15,0.05,中证港股通医药卫生综合指数收益率(使用估值汇率折算),被动指数型,E,成曦,0.77,20220930,,,,,,,,,,,0.026599999999999957,0.026599999999999957
159738.SZ,沪港深云计算ETF,华泰柏瑞基金,股票型,20220118,0.5,0.1,中证沪港深云计算产业指数收益率,被动指数型,E,李茜,0.71,20220930,,,,,,,,,,,-0.17079999999999995,-0.17079999999999995
513160.SH,港股科技30ETF,银华基金,股票型,20220117,0.5,0.1,恒生港股通中国科技指数收益率(经估值汇率调整),被动指数型,E,李宜璇,0.43,20220930,,,,,,,,,,,-0.20479999999999998,-0.20479999999999998
513230.SH,港股消费ETF,华夏基金,股票型,20220112,0.5,0.1,经估值汇率调整后的中证港股通消费主题指数收益率,被动指数型,E,严筱娴,0.5,20220930,,,,,,,,,,,-0.17559999999999998,-0.17559999999999998
562950.SH,消费电子50ETF,易方达基金,股票型,20220112,0.15,0.05,中证消费电子主题指数收益率,被动指数型,E,成曦,0.68,20220930,,,,,,,,,,,-0.34730000000000005,-0.34730000000000005
159775.SZ,新能源车电池ETF,建信基金,股票型,20220107,0.5,0.1,国证新能源车电池指数收益率,被动指数型,E,龚佳佳,0.47,20220930,,,,,,,,,,,-0.2489,-0.2489
516530.SH,物流快递ETF,银华基金,股票型,20220104,0.5,0.1,中证现代物流指数收益率,被动指数型,E,王帅,0.89,20220930,,,,,,,,,,,-0.10660000000000003,-0.10660000000000003
160326.SZ,优选配置FOF-LOF,华夏基金,股票型,20211230,0.8,0.2,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,股票型,E,李晓易,4.08,20220930,,,,,,,,,,0.00019999999999997797,-0.20835832833433315,-0.20820000000000005
517270.SH,沪港深科技TOPETF,浦银安盛基金,股票型,20211230,0.5,0.1,中证沪港深科技龙头指数收益率,被动指数型,E,高钢杰,0.32,20220930,,,,,,,,,,-9.999999999998899e-05,-0.23582358235823583,-0.2359
159728.SZ,在线消费ETF,南方基金,股票型,20211229,0.5,0.1,国证在线消费指数收益率,被动指数型,E,崔蕾,0.33,20220930,,,,,,,,,,9.999999999998899e-05,-0.32616738326167377,-0.32609999999999995
159611.SZ,电力ETF,广发基金,股票型,20211229,0.5,0.1,中证全指电力公用事业指数收益率,被动指数型,E,陆志明,16.62,20220930,,,,,,,,,,0.0021999999999999797,-0.13659948114148876,-0.13470000000000004
516810.SH,农业50ETF,华夏基金,股票型,20211229,0.5,0.1,中证农业主题指数收益率,被动指数型,E,李俊,1.81,20220930,,,,,,,,,,0.0018000000000000238,-0.1657017368736275,-0.1642
