ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,all
160326.SZ,优选配置FOF-LOF,华夏基金,股票型,20211230,0.8,0.2,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,股票型,E,李晓易,3.08,20230630,,,,,,,,,,0.00019999999999997797,-0.20835832833433315,0.02184895175549393,-0.19089999999999996
517270.SH,沪港深科技TOPETF,浦银安盛基金,股票型,20211230,0.5,0.1,中证沪港深科技龙头指数收益率,被动指数型,E,高钢杰,0.19,20230630,,,,,,,,,,-9.999999999998899e-05,-0.23582358235823583,0.052073793013214784,-0.19589999999999996
159743.SZ,湖北ETF,博时基金,股票型,20211229,0.5,0.1,中证湖北新旧动能转换指数收益率,被动指数型,E,尹浩,1.57,20230630,,,,,,,,,,0.0,-0.21489999999999998,0.1429117309896828,-0.10270000000000001
159728.SZ,在线消费ETF,南方基金,股票型,20211229,0.5,0.1,国证在线消费指数收益率,被动指数型,E,崔蕾,0.29,20230630,,,,,,,,,,9.999999999998899e-05,-0.32616738326167377,0.31310283424840474,-0.11509999999999998
159611.SZ,电力ETF,广发基金,股票型,20211229,0.5,0.1,中证全指电力公用事业指数收益率,被动指数型,E,陆志明,36.52,20230630,,,,,,,,,,0.0021999999999999797,-0.13659948114148876,0.07870102854501335,-0.06659999999999999
516810.SH,农业50ETF,华夏基金,股票型,20211229,0.5,0.1,中证农业主题指数收益率,被动指数型,E,李俊,1.8,20230630,,,,,,,,,,0.0018000000000000238,-0.1657017368736275,-0.07573582196697777,-0.22750000000000004
562910.SH,高端制造ETF,易方达基金,股票型,20211229,0.15,0.05,中证装备产业指数收益率,被动指数型,E,宋钊贤,1.23,20230630,,,,,,,,,,9.999999999998899e-05,-0.22357764223577645,-0.03309723116548609,-0.24919999999999998
560800.SH,数字经济ETF,鹏扬基金,股票型,20211222,0.5,0.1,中证数字经济主题指数收益率,被动指数型,E,施红俊,14.13,20230630,,,,,,,,,,0.0041999999999999815,-0.3322047400916152,0.08634059051595595,-0.27149999999999996
562510.SH,旅游ETF,华夏基金,股票型,20211221,0.5,0.1,中证旅游主题指数收益率,被动指数型,E,严筱娴,7.63,20230630,,,,,,,,,,0.012399999999999967,0.11783879889371786,-0.16479632411416445,-0.05479999999999996
159758.SZ,红利50ETF,华夏基金,股票型,20211220,0.5,0.1,中证红利质量指数收益率,被动指数型,E,张弘弢,2.02,20230630,,,,,,,,,,0.0014000000000000679,-0.12402636309167174,0.05198358413132692,-0.07720000000000005
562300.SH,碳中和ETF基金,银华基金,股票型,20211220,0.5,0.1,中证内地低碳经济主题指数收益率,被动指数型,E,张凯,1.12,20230630,,,,,,,,,,0.02200000000000002,-0.24608610567514683,-0.08280337443218685,-0.2933
517090.SH,央企共赢ETF,国泰基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E,徐成城 梁杏,12.1,20230630,,,,,,,,,,-0.0033999999999999586,0.061107766405779716,0.24160756501182015,0.31299999999999994
562500.SH,机器人ETF,华夏基金,股票型,20211217,0.5,0.1,中证机器人指数收益率,被动指数型,E,赵宗庭,5.54,20230630,,,,,,,,,,-0.005099999999999993,-0.30847321338828027,0.22281976744186063,-0.15869999999999995
159606.SZ,中证500成长ETF,易方达基金,股票型,20211217,0.5,0.1,中证500质量成长指数收益率,被动指数型,E,伍臣东 林伟斌,5.41,20230630,,,,,,,,,,0.0025999999999999357,-0.16556951924995006,-0.018527372699019794,-0.17889999999999995
517180.SH,中国国企ETF,南方基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E,龚涛,12.72,20230630,,,,,,,,,,0.0007999999999999119,0.06354916067146293,0.30226439913558195,0.3859999999999999
159719.SZ,国企共赢ETF,平安基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E,成钧,2.08,20230630,,,,,,,,,,-0.0038000000000000256,0.06213611724553309,0.28466118514318106,0.35929999999999995
513890.SH,恒生科技HKETF,摩根基金,股票型,20211217,0.5,0.15,恒生科技指数(HSTECH)收益率(经估值汇率调整),被动指数型,E,何智豪 胡迪,2.51,20230630,,,,,,,,,,9.999999999998899e-05,-0.19898010198980098,0.10760204718512038,-0.11270000000000002
159718.SZ,港股医药ETF,平安基金,股票型,20211216,0.5,0.1,中证港股通医药卫生综合指数收益率(经汇率调整),被动指数型,E,成钧,0.64,20230630,,,,,,,,,,-0.013900000000000023,-0.09410810262650847,-0.14004253890070523,-0.2318
159711.SZ,港股通ETF,华夏基金,股票型,20211216,0.5,0.1,中证港股通50指数收益率(估值汇率调整),被动指数型,E,李俊,0.29,20230630,,,,,,,,,,0.006000000000000005,-0.049204771371769374,0.03408259278619965,-0.01090000000000002
501216.SH,富国行业精选FOF,富国基金,股票型,20211216,0.5,0.1,中证800指数收益率*75%+中债综合全价指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,股票型,E,张子炎,1.05,20230630,,,,,,,,,,0.0012000000000000899,-0.1917698761486217,0.008156203657933686,-0.18420000000000003
159701.SZ,物联网ETF招商,招商基金,股票型,20211215,0.5,0.1,中证物联网主题指数收益率,被动指数型,E,侯昊 刘重杰,0.3,20230630,,,,,,,,,,0.006099999999999994,-0.33465858264586024,0.17777113833283537,-0.2116
516350.SH,芯片50ETF,易方达基金,股票型,20211215,0.15,0.05,中证芯片产业指数收益率,被动指数型,E,张湛,3.01,20230630,,,,,,,,,,0.018999999999999906,-0.366143277723258,0.10047995045672697,-0.2892
501219.SH,智胜先锋LOF,华夏基金,股票型,20211215,1.0,0.2,中证500指数收益率*95%+银行活期存款利率(税后)*5%,股票型,E,孙蒙,10.23,20230630,,,,,,,,,,0.014399999999999968,-0.003154574132491985,0.16643591772151886,0.1795
159608.SZ,稀有金属ETF,广发基金,股票型,20211215,0.5,0.1,中证稀有金属主题指数收益率,被动指数型,E,姚曦,2.27,20230630,,,,,,,,,,-0.0018000000000000238,-0.25646163093568425,-0.0874427378065211,-0.3227
159610.SZ,500ETF增强,景顺长城基金,股票型,20211213,0.5,0.1,中证500指数收益率,增强指数型,E,张晓南 汪洋 郑天行,5.21,20230630,,,,,,,,,,0.013400000000000079,-0.22695875271363733,0.07748276742404898,-0.15590000000000004
159730.SZ,龙头家电ETF,博时基金,股票型,20211213,0.5,0.1,国证龙头家电指数收益率,被动指数型,E,尹浩,0.42,20230630,,,,,,,,,,0.03079999999999994,-0.1958672875436554,0.10025334781035115,-0.08799999999999997
517390.SH,云计算沪港深ETF,天弘基金,股票型,20211210,0.5,0.1,中证沪港深云计算产业指数收益率,被动指数型,E,林心龙,0.31,20230630,,,,,,,,,,0.00770000000000004,-0.2285402401508386,0.2878826858759971,0.0012000000000000899
588150.SH,科创50ETF南方,南方基金,股票型,20211210,0.5,0.1,上证科创板50成份指数收益率,被动指数型,E,龚涛,2.12,20230630,,,,,,,,,,-0.019000000000000017,-0.3118246687054026,0.01792327062657384,-0.31279999999999997
159751.SZ,港股科技ETF,鹏华基金,股票型,20211210,0.6,0.15,中证港股通科技指数收益率,被动指数型,E,张羽翔,0.95,20230630,,,,,,,,,,-0.01100000000000001,-0.24418604651162784,0.0529765886287625,-0.21289999999999998
