stock_name,hold_num
贵州茅台,2602
宁德时代,1976
五粮液,1275
泸州老窖,1135
比亚迪,900
招商银行,874
迈瑞医疗,802
中国中免,800
立讯精密,793
阳光电源,788
中国平安,773
亿纬锂能,768
隆基绿能,740
宁波银行,698
东方财富,680
药明康德,625
山西汾酒,596
美的集团,570
保利发展,570
兴业银行,551
海康威视,494
紫光国微,473
紫金矿业,458
爱尔眼科,451
晶澳科技,445
长江电力,441
天合光能,436
万科A,433
平安银行,432
伊利股份,426
万华化学,415
恒瑞医药,411
金山办公,391
顺丰控股,389
爱美客,378
汇川技术,378
中信证券,366
智飞生物,348
海尔智家,341
恒生电子,338
洋河股份,337
泰格医药,309
华鲁恒升,308
派能科技,307
中航光电,304
尚太科技,288
中国建筑,288
格力电器,282
纳思达,280
古井贡酒,276
北方华创,273
中航重机,270
安井食品,267
温氏股份,262
通威股份,261
振华科技,256
东方电缆,250
东方雨虹,249
TCL中环,249
鹏辉能源,247
人福医药,247
陕西煤业,238
固德威,236
分众传媒,236
德业股份,234
康龙化成,229
天齐锂业,227
广联达,226
海大集团,226
江苏银行,225
西部超导,224
锦浪科技,224
招商蛇口,224
石英股份,223
华东医药,222
中国人寿,222
工商银行,221
华友钴业,218
兆易创新,218
中国神华,218
恩捷股份,209
青岛啤酒,200
上海机场,198
中国国航,198
金地集团,197
澜起科技,194
圣邦股份,193
伯特利,191
今世缘,191
赣锋锂业,191
舍得酒业,189
中国移动,184
晶盛机电,179
重庆啤酒,178
牧原股份,178
邮储银行,178
东山精密,174
深信服,173
广汇能源,173
中国海油,172
华大九天,171
华能国际,169
中天科技,165
中兴通讯,164
通策医疗,163
中科创达,162
国联股份,162
中国软件,161
捷佳伟创,161
三环集团,159
科士达,159
开立医疗,157
中国船舶,153
福斯特,152
亨通光电,152
菲利华,151
锦江酒店,150
科伦药业,149
长春高新,148
广发证券,147
中控技术,147
成都银行,146
绝味食品,145
用友网络,144
中国太保,143
三花智控,141
三一重工,140
常熟银行,140
拓普集团,139
赛轮轮胎,137
福耀玻璃,136
海螺水泥,136
天赐材料,134
晶科能源,133
中航沈飞,132
迈为股份,132
九洲药业,131
中芯国际,128
春秋航空,127
欧派家居,126
光威复材,125
卓胜微,125
华海药业,125
宝信软件,125
片仔癀,124
圆通速递,123
华泰证券,122
东方电气,122
大金重工,122
禾迈股份,122
华电国际,121
凯莱英,121
沃森生物,119
爱旭股份,118
奕瑞科技,116
兖矿能源,116
顾家家居,115
中国核电,115
普瑞眼科,113
华恒生物,113
杭州银行,113
华测检测,112
建发股份,112
中国电信,112
科华数据,111
苏试试验,111
广立微,111
交通银行,109
中微公司,109
昱能科技,108
奥特维,107
迎驾贡酒,107
杭氧股份,106
首旅酒店,105
农业银行,105
华宝新能,104
大北农,103
京沪高铁,103
航发动力,101
海天味业,101
伟星新材,100
韦尔股份,99
百润股份,99
山东黄金,99
三七互娱,98
吉祥航空,98
旗滨集团,97
中炬高新,97
瑞丰新材,96
安琪酵母,96
中国电建,96
永兴材料,95
法拉电子,95
贝泰妮,93
联影医疗,92
宏发股份,92
同仁堂,92
赤峰黄金,92
科达利,91
百利天恒-U,91
银泰黄金,90
斯达半导,90
老白干酒,90
建设银行,90
华润三九,89
德赛西威,89
明阳智能,89
航天电器,89
南方航空,89
传音控股,88
苏州银行,88
科大讯飞,88
抚顺特钢,88
闻泰科技,87
钧达股份,86
巨化股份,86
金域医学,85
京东方A,85
璞泰来,85
益丰药房,85
三峡能源,85
新雷能,85
复旦微电,84
继峰股份,84
中航西飞,83
恒立液压,83
环旭电子,82
鸿路钢构,82
珀莱雅,82
乐普医疗,82
东方证券,81
高测股份,81
大秦铁路,81
思源电气,80
德方纳米,79
江海股份,79
