ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
166301.OF,华商新趋势优选,华商基金,混合型,20150514,1.5,0.25,沪深300指数收益率*65%+上证国债指数收益率*35%,灵活配置型,O,周海栋,57.69,20220930.0,,,,0.0465741155396328,-0.0787334189131365,0.1463074779377612,-0.1482982171799028,0.6951973371374225,0.7741935483870969,0.2284584980237153,0.1360360360360361,2.952978056426332
005233.OF,广发睿毅领先A,广发基金,混合型,20171214,1.5,0.25,沪深300指数收益率*75%+中证全债指数收益率*25%,混合型,O,林英睿,42.36,20220930.0,,,,,,0.0038,-0.0713644971593741,0.4210582805624129,0.6275679758308157,0.231240428790199,0.1120910598522539,1.9506
000390.OF,华商优势行业,华商基金,混合型,20131211,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,O,周海栋,26.43,20220930.0,,0.0029999999999998,0.1829511465603192,0.7956173619890433,-0.0150199483689274,0.1213247557779366,-0.1708384684033827,0.6428751576034032,0.5688123029560128,0.1557100743611189,0.0897058834258256,5.33305519
630002.OF,华商盛世成长,华商基金,混合型,20080923,1.5,0.25,沪深300指数收益率*75%+上证国债指数收益率*25%,混合型,O,周海栋,21.74,20220930.0,-0.0450789615215372,0.2906661205263426,0.2205252300856872,0.8466863847628953,-0.3312916908671701,-0.0271607537635539,-0.1126711031758913,0.3166878124618949,0.3994093621580368,0.1594455882530108,0.0637485117856472,2.644909196694861
000727.OF,融通健康产业A,融通基金,混合型,20141225,1.5,0.25,申万医药生物行业指数收益率*70%+中债综合(全价)指数收益率*30%,灵活配置型,O,万民远,22.63,20220930.0,,,0.0069999999999998,0.3853028798411124,-0.1921146953405018,-0.0780834072759539,-0.1636188642925889,0.8688147295742233,0.6674876847290641,0.1491875923190546,0.0375964010282776,2.229
003304.OF,前海开源沪港深核心资源A,前海开源基金,混合型,20161017,0.6,0.1,沪深300指数收益率*70%+中证全债指数收益率*30%,灵活配置型,O,吴国清,3.45,20220930.0,,,,,-0.004,0.1244979919678715,-0.1089285714285715,0.3230310921843687,0.4681181973109767,0.4533898286941938,0.030976677286421,1.90464172
003305.OF,前海开源沪港深核心资源C,前海开源基金,混合型,20161017,0.6,0.1,沪深300指数收益率*70%+中证全债指数收益率*30%,灵活配置型,O,吴国清,1.89,20220930.0,,,,,-0.004,0.1114457831325301,-0.100271002710027,0.3206565060240965,0.4668227941397163,0.4513038861375359,0.0300696744590607,1.88437567
001208.OF,诺安低碳经济A,诺安基金,股票型,20150512,1.5,0.25,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,股票型,O,蔡宇滨,15.05,20220930.0,,,,-0.138,-0.0823665893271461,0.4096080910240201,-0.1363228699551569,0.3613707165109034,0.3409610983981694,0.3054607508532422,0.0034858387799564,1.303
000556.OF,国投瑞银新机遇A,国投瑞银基金,混合型,20140311,0.6,0.1,中国人民银行公布的1年期定期存款利率(税后)+1%,灵活配置型,O,敬夏玺 桑俊,4.5,20220930.0,,,0.127,0.2047914818101152,0.0332154956547357,0.1015753082899708,-0.1158923256114921,0.4869235965746907,0.5532544410882286,0.0780714164146796,-0.0126464804072337,2.35890357
000557.OF,国投瑞银新机遇C,国投瑞银基金,混合型,20140311,0.6,0.1,中国人民银行公布的1年期定期存款利率(税后)+1%,灵活配置型,O,敬夏玺 桑俊,1.45,20220930.0,,,0.127,0.1948535936113576,0.0282192187732066,0.0941788242091577,-0.1197359735973597,0.4796253899220157,0.5451789002714648,0.0725499471149621,-0.017490424615498,2.21299795
519700.OF,交银主题优选A,交银施罗德基金,混合型,20100630,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,沈楠,18.97,20220930.0,0.1445812507619162,-0.1576312706358503,0.5947654570742192,0.5579164354237691,-0.0169974554707379,0.1378649823980121,-0.1388143227626371,0.6396097263313609,0.402639361135672,0.0978016339503657,-0.0232850548344375,4.689973314640985
002220.OF,南方瑞利,南方基金,混合型,20151223,0.6,0.1,沪深300指数收益率*60%+上证国债指数收益率*40%,灵活配置型,O,刘树坤 陈乐,2.47,20220930.0,,,,0.0,0.034,0.0568665377176015,-0.1454711802378773,0.4340471092077086,0.3932357772136779,0.0547787846310486,-0.0323080205918877,0.90473008
217002.OF,招商安泰平衡,招商基金,混合型,20030428,1.5,0.25,中证国债指数收益率*50%+上证180指数收益率*45%+同业存款利率*5%,平衡型,O,李崟,8.92,20220930.0,0.0451507810542142,0.0925948127722495,0.2842721287490856,0.1838118022328548,-0.1312611268825482,0.078039324286901,-0.1564940402794903,0.3132369472530151,0.3316980999181836,0.1253352097692773,-0.0339688094385044,1.607424546821485
121010.OF,国投瑞银瑞源A,国投瑞银基金,混合型,20150122,1.5,0.25,沪深300指数收益率*55%+中债综合指数收益率*45%,灵活配置型,O,綦缚鹏,9.45,20220930.0,,,,0.1109999999999999,0.044104410441044,0.0568965517241379,-0.0425774877650897,0.3626682569432612,0.5419818693341671,0.281584495621148,-0.0399253377202695,2.0347
161222.SZ,国投瑞利LOF,国投瑞银基金,混合型,20150205,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,E,綦缚鹏,23.9,20220930.0,,,,0.0529999999999999,-0.0207977207977208,0.1952283968577248,-0.1586335605322947,0.3771197801138009,0.39884392537338,0.2851239692591423,-0.0438102902236207,1.45452207
255010.OF,国联安稳健,国联安基金,混合型,20030808,1.5,0.25,沪深300指数*65%+上证国债指数*35%,平衡型,O,刘斌,2.39,20220930.0,0.0023671385472267,0.183969253565475,0.3170636317415619,0.4195866492457536,-0.0495126134794795,0.1653205396245515,-0.1596192706464466,0.3192764961010358,0.4576978896205348,0.0662717100510014,-0.0504611320879776,3.021496885588303
