ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
159891.SZ,医疗ETF基金,建信基金,20210527,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1,龚佳佳,1.29,20220930,,,,,,,,,,-0.22619999999999996,-0.20547945205479454,-0.3852
159898.SZ,器械ETF,招商基金,20210527,股票型,被动指数型,中证全指医疗器械指数收益率,0.5,0.1,苏燕青 许荣漫,1.35,20220930,,,,,,,,,,-0.18120000000000003,-0.2010258915486077,-0.3458
516480.SH,新材料ETF基金,国联安基金,20210527,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1,章椹元 黄欣,0.19,20220930,,,,,,,,,,0.1806000000000001,-0.29391834660342203,-0.1664
516320.SH,高端装备ETF,华夏基金,20210527,股票型,被动指数型,中证装备产业指数收益率,0.5,0.1,严筱娴,0.49,20220930,,,,,,,,,,0.22340000000000004,-0.26254700016347887,-0.0978
159703.SZ,新材料ETF,天弘基金,20210527,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1,刘笑明,0.44,20220930,,,,,,,,,,0.21750000000000003,-0.3008624229979467,-0.14880000000000004
159741.SZ,恒生科技ETF基金,嘉实基金,20210526,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.6,0.1,李直 王紫菡,2.85,20220930,,,,,,,,,,-0.3106,-0.20713664055700615,-0.4534
159735.SZ,港股消费ETF,银华基金,20210525,股票型,被动指数型,中证港股通消费主题指数收益率,0.5,0.1,李宜璇,0.75,20220930,,,,,,,,,,-0.19330000000000003,-0.18333953142432122,-0.34119999999999995
513130.SH,恒生科技ETF,华泰柏瑞基金,20210524,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.2,0.05,何琦 柳军,60.57,20220930,,,,,,,,,,-0.3024,-0.2143061926605504,-0.45189999999999997
517350.SH,中概科技ETF,广发基金,20210520,股票型,被动指数型,中证沪港深科技龙头指数收益率,0.5,0.1,罗国庆,1.07,20220930,,,,,,,,,,-0.15739999999999998,-0.27616900071208167,-0.3901
516310.SH,银行ETF易方达,易方达基金,20210520,股票型,被动指数型,中证银行指数收益率,0.15,0.05,刘树荣,1.55,20220930,,,,,,,,,,-0.10440000000000005,-0.035618579723090585,-0.13629999999999998
513580.SH,恒生科技ETF基金,华安基金,20210520,股票型,被动指数型,恒生科技指数收益率(经汇率调整后),0.5,0.1,倪斌,6.44,20220930,,,,,,,,,,-0.3016,-0.20761741122565866,-0.4466
513010.SH,恒生科技30ETF,易方达基金,20210518,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.2,0.05,成曦 范冰,25.49,20220930,,,,,,,,,,-0.3016,-0.20231958762886595,-0.44289999999999996
159740.SZ,恒生科技ETF,大成基金,20210518,股票型,被动指数型,恒生科技指数收益率,0.5,0.1,冉凌浩,9.95,20220930,,,,,,,,,,-0.30269999999999997,-0.21540226588269037,-0.45289999999999997
513180.SH,恒生科技指数ETF,华夏基金,20210518,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.5,0.15,徐猛,103.92,20220930,,,,,,,,,,-0.3006,-0.21575636259651135,-0.4515
159742.SZ,恒生科技指数ETF,博时基金,20210517,股票型,被动指数型,恒生科技指数收益率(经汇率调整后),0.5,0.15,万琼,6.13,20220930,,,,,,,,,,-0.2982,-0.20803647762895416,-0.44420000000000004
159888.SZ,智能车ETF,华夏基金,20210513,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1,司帆,1.01,20220930,,,,,,,,,,0.34319999999999995,-0.3563132817153067,-0.13539999999999996
