ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date
159830.SZ,上海金ETF,天弘基金,20210706,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约午盘基准价收益率,0.5,0.1,0.36,20210930
518890.SH,中银上海金ETF,中银基金,20200828,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,0.5,0.1,0.85,20210930
518860.SH,黄金ETFAU,建信基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率,0.5,0.1,0.61,20210930
518600.SH,上海金ETF,广发基金,20200708,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,0.5,0.1,1.64,20210930
518680.SH,金ETF,富国基金,20200706,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,0.5,0.1,1.38,20210930
159812.SZ,黄金基金ETF,前海开源基金,20200429,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收益率,0.5,0.1,0.55,20210930
518660.SH,黄金ETF基金,工银瑞信基金,20200424,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价收益率,0.5,0.1,1.05,20210930
518850.SH,黄金ETF9999,华夏基金,20200413,商品型,黄金现货合约,上海黄金交易所黄金现货实盘合约Au99.99价格收益率,0.5,0.1,1.56,20210930
159981.SZ,能源化工ETF,建信基金,20191213,商品型,能源化工期货型,易盛郑商所能源化工指数A收益率,0.5,0.1,2.98,20210930
159980.SZ,有色ETF,大成基金,20191024,商品型,有色金属期货型,上海期货交易所有色金属期货价格指数收益率,0.6,0.1,2.83,20210930
159985.SZ,豆粕ETF,华夏基金,20190924,商品型,豆粕期货型,大连商品交易所豆粕期货价格指数收益率,0.5,0.1,1.51,20210930
161129.SZ,原油LOF易方达,易方达基金,20161219,另类投资型,原油主题基金,标普高盛原油商品指数(S&P GSCI Crude Oil Index ER)收益率,1.0,0.25,2.44,20210930
161226.SZ,国投白银LOF,国投瑞银基金,20150806,商品型,白银期货型,上海期货交易所白银期货主力合约收益率(扣除相关费用),1.0,0.2,11.7,20210930
159937.SZ,黄金ETF基金,博时基金,20140813,商品型,黄金现货合约,黄金现货实盘合约AU99.99收益率,0.5,0.1,86.8,20210930
159934.SZ,黄金ETF,易方达基金,20131129,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价,0.5,0.1,51.1,20210930
518880.SH,黄金ETF,华安基金,20130718,商品型,黄金现货合约,国内黄金现货价格收益率,0.5,0.1,108.95,20210930
518800.SH,黄金基金ETF,国泰基金,20130718,商品型,黄金现货合约,上海黄金交易所挂盘交易的Au99.99合约,0.5,0.1,5.1,20210930
