ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
159611.SZ,电力ETF,广发基金,中国建设银行,股票型,20211229,,20220107,20211220,,12.3276,0.5,0.1,,1.0,0.1,,中证全指电力公用事业指数收益率,L,被动指数型,契约型开放式,,20220107,20220107,E
560800.SH,数字经济ETF,鹏扬基金,招商银行,股票型,20211222,,20220107,20211206,,4.5795,0.5,0.1,,1.0,0.1,,中证数字经济主题指数收益率,L,被动指数型,契约型开放式,,20220107,20220107,E
562510.SH,旅游ETF,华夏基金,中国银行,股票型,20211221,,20211230,20211116,,2.211,0.5,0.1,,1.0,0.1,,中证旅游主题指数收益率,L,被动指数型,契约型开放式,,20211230,20211230,E
562300.SH,碳中和ETF基金,银华基金,招商银行,股票型,20211220,,20220105,20211110,,4.195,0.5,0.1,,1.0,0.1,,中证内地低碳经济主题指数收益率,L,被动指数型,契约型开放式,,20220105,20220105,E
159758.SZ,红利50ETF,华夏基金,中信银行,股票型,20211220,,20211228,20211111,,2.5829,0.5,0.1,,1.0,0.1,,中证红利质量指数收益率,L,被动指数型,契约型开放式,,20211228,20211228,E
159606.SZ,中证500成长ETF,易方达基金,国信证券,股票型,20211217,,20211229,20211202,,9.6522,0.5,0.1,,1.0,0.1,,中证500质量成长指数收益率,L,被动指数型,契约型开放式,,20211229,20211229,E
159719.SZ,开放共赢ETF,平安基金,平安银行,股票型,20211217,,20211228,20210914,,2.122,0.25,0.05,,1.0,0.1,,富时中国国企开放共赢指数收益率,L,被动指数型,契约型开放式,,20211228,20211228,E
517180.SH,开放共赢ETF,南方基金,中国工商银行,股票型,20211217,,20211228,20210914,,2.685,0.25,0.05,,1.0,0.1,,富时中国国企开放共赢指数收益率,L,被动指数型,契约型开放式,,20211228,20211228,E
517090.SH,共赢ETF,国泰基金,中国农业银行,股票型,20211217,,20211228,20210914,,3.1607,0.25,0.05,,1.0,0.1,,富时中国国企开放共赢指数收益率,L,被动指数型,契约型开放式,,20211228,20211228,E
562500.SH,机器人ETF,华夏基金,兴业银行,股票型,20211217,,20211229,20211111,,3.3719,0.5,0.1,,1.0,0.1,,中证机器人指数收益率,L,被动指数型,契约型开放式,,20211229,20211229,E
159718.SZ,港股医药ETF,平安基金,中信建投证券,股票型,20211216,,20211228,20210930,,2.6983,0.5,0.1,,1.0,0.1,,中证港股通医药卫生综合指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20211228,20211228,E
159711.SZ,港股通ETF,华夏基金,中国建设银行,股票型,20211216,,20211228,20210924,,3.1647,0.5,0.1,,1.0,0.1,,中证港股通50指数收益率(估值汇率调整),L,被动指数型,契约型开放式,,20211228,20211228,E
159608.SZ,稀有金属ETF,广发基金,光大证券,股票型,20211215,,20211223,20211206,,5.6081,0.5,0.1,,1.0,0.1,,中证稀有金属主题指数收益率,L,被动指数型,契约型开放式,,20211223,20211223,E
159701.SZ,物联网ETF招商,招商基金,浙商银行,股票型,20211215,,20211223,20210910,,2.0671,0.5,0.1,,1.0,0.1,,中证物联网主题指数收益率,L,被动指数型,契约型开放式,,20211223,20211223,E
516350.SH,芯片50ETF,易方达基金,中国银行,股票型,20211215,,20211223,20210930,,3.1142,0.15,0.05,,1.0,0.1,,中证芯片产业指数收益率,L,被动指数型,契约型开放式,,20211223,20211223,E
159730.SZ,家电ETF基金,博时基金,平安银行,股票型,20211213,,20211224,20211012,,2.2357,0.5,0.1,,1.0,0.1,,国证龙头家电指数收益率,L,被动指数型,契约型开放式,,20211224,20211224,E
