ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,all
515170.SH,食品饮料ETF,华夏基金,20201230,股票型,被动指数型,中证细分食品饮料产业主题指数收益率,0.5,0.1,37.14,20210930,,,,,,,,,0.0003,-0.120563831,-0.1203
515920.SH,智能消费ETF,博时基金,20201230,股票型,被动指数型,中证智能消费主题指数,0.5,0.1,3.42,20210930,,,,,,,,,0.0004,-0.015493802,-0.0151
513550.SH,港股通50ETF,华泰柏瑞基金,20201230,股票型,被动指数型,中证港股通50指数收益率(使用估值汇率折算),0.5,0.1,30.23,20210930,,,,,,,,,0.0003,-0.148955313,-0.1487
159828.SZ,医疗ETF,国泰基金,20201224,股票型,被动指数型,中证医疗指数收益率,0.5,0.1,8.23,20210930,,,,,,,,,-0.0002,-0.159331866,-0.1595
515710.SH,食品ETF,华宝基金,20201224,股票型,被动指数型,中证细分食品饮料产业主题指数收益率,0.5,0.1,13.53,20210930,,,,,,,,,0.0139,-0.101489299,-0.089
515250.SH,智能汽车ETF,富国基金,20201224,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1,2.79,20210930,,,,,,,,,0.005,0.204776119,0.2108
515290.SH,银行ETF天弘,天弘基金,20201211,股票型,被动指数型,中证银行指数收益率,0.5,0.1,84.46,20210930,,,,,,,,,0.0103,-0.009700089,0.0005
159827.SZ,农业50ETF,银华基金,20201210,股票型,被动指数型,中证农业主题指数,0.5,0.1,2.55,20210930,,,,,,,,,0.0298,0.034375607,0.0652
159824.SZ,新能车ETF,博时基金,20201210,股票型,被动指数型,中证新能源汽车指数收益率,0.5,0.1,3.52,20210930,,,,,,,,,0.05,0.439047619,0.511
159825.SZ,农业ETF,富国基金,20201210,股票型,被动指数型,中证农业主题指数收益率,0.5,0.1,19.61,20210930,,,,,,,,,0.0265,-0.008085728,0.0182
515790.SH,光伏ETF,华泰柏瑞基金,20201207,股票型,被动指数型,中证光伏产业指数收益率,0.5,0.1,125.12,20210930,,,,,,,,,0.1366,0.502375506,0.7076
515120.SH,创新药ETF,广发基金,20201203,股票型,被动指数型,中证创新药产业指数,0.5,0.1,11.98,20210930,,,,,,,,,0.0268,-0.094273471,-0.07
515320.SH,电子50ETF,华安基金,20201125,股票型,被动指数型,中证电子50指数收益率,0.5,0.1,2.76,20210930,,,,,,,,,0.0091,0.034287979,0.0437
510860.SH,兴业上证50ETF,兴业基金,20201113,股票型,被动指数型,上证50指数收益率,0.5,0.1,0.14,20210930,,,,,,,,,0.0208,-0.020376176,0
513300.SH,纳斯达克ETF,华夏基金,20201022,股票型,被动指数型,估值汇率调整后的纳斯达克100指数收益,0.6,0.2,3.49,20210930,,,,,,,,,0.0698,0.230510376,0.3164
501206.SH,添富创新未来,汇添富基金,20201013,混合型,混合型,中证800指数收益率*55%+恒生指数收益率(使用估值汇率折算)*25%+中债综合指数收益率*20%,1.5,0.2,78.64,20210930,,,,,,,,,0.0727,-0.073925608,-0.0066
501207.SH,华夏创新未来,华夏基金,20201013,混合型,混合型,中证800指数收益率*70%+上证国债指数收益率*20%+经汇率调整的恒生指数收益率*10%,1.5,0.2,85.88,20210930,,,,,,,,,0.1,0.040363636,0.1444
501208.SH,中欧创新未来,中欧基金,20201009,混合型,混合型,中证800指数收益率*70%+银行活期存款利率(税后)*20%+恒生指数收益率*10%,1.5,0.2,106.12,20210930,,,,,,,,,0.1084,0.110790328,0.2312
501205.SH,鹏华创新未来,鹏华基金,20200930,混合型,混合型,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%(经汇率估值调整),1.5,0.2,60.96,20210930,,,,,,,,,0.0533,-0.27152758,-0.2327
501203.SH,易方达创新未来,易方达基金,20200929,混合型,混合型,中证800指数收益率*65%+中债总指数收益率*20%+中证港股通综合指数收益率*15%,1.5,0.2,96.32,20210930,,,,,,,,,0.0648,0.197407964,0.275
159821.SZ,BOCI创业板ETF,中银证券,20200929,股票型,被动指数型,创业板指数收益率,0.15,0.05,0.29,20210930,,,,,,,,,0.1054,0.107381943,0.2241
159822.SZ,新经济ETF,银华基金,20200929,股票型,被动指数型,标普中国新经济行业(A股上限)指数收益率,0.25,0.1,3.08,20210930,,,,,,,,,0.0694,-0.292032916,-0.2429
588090.SH,科创板ETF,华泰柏瑞基金,20200928,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1,31.45,20210930,,,,,,,,,0.00519204,0.007849943,0.01308274
588050.SH,科创ETF,工银瑞信基金,20200928,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1,49.72,20210930,,,,,,,,,-0.00741024,0.010600956,0.00311216
