ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date
008827.OF,建信易盛郑商所能源化工期货ETF联接A,建信基金,20201016,商品型,能源化工期货型,易盛郑商所能源化工指数A收益率*95%+银行活期存款收益率(税后)*5%,1.0,0.1,0.96,20210930
008828.OF,建信易盛郑商所能源化工期货ETF联接C,建信基金,20201016,商品型,能源化工期货型,易盛郑商所能源化工指数A收益率*95%+银行活期存款收益率(税后)*5%,1.0,0.1,1.87,20210930
009478.OF,中银上海金ETF联接C,中银基金,20200929,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.39,20210930
009477.OF,中银上海金ETF联接A,中银基金,20200929,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.09,20210930
008986.OF,广发上海金ETF联接A,广发基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,0.5,0.1,0.38,20210930
009034.OF,建信上海金ETF联接C,建信基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率*95%+银行活期存款收益率(税后)*5%,0.5,0.1,0.08,20210930
009033.OF,建信上海金ETF联接A,建信基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率*95%+银行活期存款收益率(税后)*5%,0.5,0.1,0.38,20210930
008987.OF,广发上海金ETF联接C,广发基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,0.5,0.1,0.39,20210930
009504.OF,富国上海金ETF联接A,富国基金,20200724,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,0.53,20210930
009505.OF,富国上海金ETF联接C,富国基金,20200724,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,0.35,20210930
008701.OF,华夏黄金ETF联接A,华夏基金,20200716,商品型,黄金现货合约,上海黄金交易所黄金现货实盘合约Au9999价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.43,20210930
008702.OF,华夏黄金ETF联接C,华夏基金,20200716,商品型,黄金现货合约,上海黄金交易所黄金现货实盘合约Au9999价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.92,20210930
008142.OF,工银黄金ETF联接A,工银瑞信基金,20200521,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.48,20210930
008143.OF,工银黄金ETF联接C,工银瑞信基金,20200521,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.09,20210930
009198.OF,前海开源黄金ETF联接,前海开源基金,20200514,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价收益率*90%+人民币活期存款利率(税后)*10%,0.5,0.1,0.39,20210930
007937.OF,华夏饲料豆粕期货ETF联接A,华夏基金,20200113,商品型,豆粕期货型,大连商品交易所豆粕期货价格指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.52,20210930
007938.OF,华夏饲料豆粕期货ETF联接C,华夏基金,20200113,商品型,豆粕期货型,大连商品交易所豆粕期货价格指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,0.04,20210930
007911.OF,大成有色金属期货ETF联接C,大成基金,20191030,商品型,有色金属期货型,上海期货交易所有色金属期货价格指数收益率*95%+银行活期存款利率(税后)*5%,0.6,0.1,1.75,20210930
007910.OF,大成有色金属期货ETF联接A,大成基金,20191030,商品型,有色金属期货型,上海期货交易所有色金属期货价格指数收益率*95%+银行活期存款利率(税后)*5%,0.6,0.1,0.22,20210930
004253.OF,国泰黄金ETF联接C,国泰基金,20170502,商品型,黄金现货合约,上海黄金交易所挂盘交易的Au99.99合约收益率*95%+银行活期存款收益率(税后)*5%,0.5,0.1,1.34,20210930
003322.OF,易方达原油A美元现汇,易方达基金,20161219,另类投资型,原油主题基金,标普高盛原油商品指数(S&P GSCI Crude Oil Index ER)收益率,1.0,0.25,0.38,20210930
003323.OF,易方达原油C美元现汇,易方达基金,20161219,另类投资型,原油主题基金,标普高盛原油商品指数(S&P GSCI Crude Oil Index ER)收益率,1.0,0.25,0.21,20210930
003321.OF,易方达原油C人民币,易方达基金,20161219,另类投资型,原油主题基金,标普高盛原油商品指数(S&P GSCI Crude Oil Index ER)收益率,1.0,0.25,1.37,20210930
002963.OF,易方达黄金ETF联接C,易方达基金,20160701,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率*95%+活期存款利率(税后)*5%,0.5,0.1,33.66,20210930
002610.OF,博时黄金ETF联接A,博时基金,20160527,商品型,黄金现货合约,上海黄金交易所AU99.99收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,6.65,20210930
002611.OF,博时黄金ETF联接C,博时基金,20160527,商品型,黄金现货合约,上海黄金交易所AU99.99收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,86.38,20210930
000307.OF,易方达黄金ETF联接A,易方达基金,20160526,商品型,黄金现货合约,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率*95%+活期存款利率(税后)*5%,0.5,0.1,6.45,20210930
000218.OF,国泰黄金ETF联接A,国泰基金,20160413,商品型,黄金现货合约,上海黄金交易所挂盘交易的Au99.99合约收益率*95%+银行活期存款收益率(税后)*5%,0.5,0.1,1.26,20210930
000929.OF,博时黄金ETF D,博时基金,20141218,商品型,黄金现货合约,黄金现货实盘合约AU99.99收益率,0.5,0.1,0.07,20210930
000930.OF,博时黄金ETF I,博时基金,20141218,商品型,黄金现货合约,黄金现货实盘合约AU99.99收益率,0.5,0.1,3.97,20210930
000217.OF,华安易富黄金ETF联接C,华安基金,20130822,商品型,黄金现货合约,国内黄金现货价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,57.75,20210930
000216.OF,华安易富黄金ETF联接A,华安基金,20130822,商品型,黄金现货合约,国内黄金现货价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,13.45,20210930
