ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,all
531030.OF,建信周盈安心理财B,建信基金,20201231,债券型,债券型,七天通知存款利率(税前),0.27,0.08,0.03,20210930,,0.014299519999999939,0.04832448308759928,0.040119625132352586,0.028603526434715715,0.03659977252885139,0.04193951400261569,0.02922191113063187,-0.9999208364250052,0.018590704647676114,-0.9998980900000001
530030.OF,建信周盈安心理财A,建信基金,20201231,债券型,债券型,七天通知存款利率(税前),0.27,0.08,0.86,20210930,,0.013454160000000047,0.045502196172345785,0.03724529196341285,0.025618487402497118,0.03358793924586113,0.03891432817175467,0.02620853793012853,-0.9999194062363816,0.015492253873063539,-0.9998984000000001
008522.OF,富荣富合一年定开,富荣基金,20201231,债券型,债券型,中债综合指数(总财富)收益率*90%+一年期定期存款利率(税后)*10%,0.3,0.05,10.17,20210930,,,,,,,,,0.0,0.02279999999999993,0.02279999999999993
011126.OF,富国互联科技C,富国基金,20201230,股票型,股票型,中证互联网指数收益率*80%+中证全债指数收益率*20%,1.5,0.25,2.1,20210930,,,,,,,,,0.026116489693941272,0.1228457295035192,0.15217051842598384
011114.OF,富国沪港深行业精选C,富国基金,20201230,混合型,灵活配置型,恒生综合指数收益率*60%+中债综合全价(总值)指数*30%+沪深300指数收益率*10%,0.6,0.1,4.12,20210930,,,,,,,,,0.014620792633609206,-0.10755457444199167,-0.0945063149380949
011149.OF,创金合信ESG责任投资A,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中证港股通综合指数收益率*10%+人民币活期存款利率(税后)*10%,1.5,0.25,0.1,20210930,,,,,,,,,0.0041999999999999815,0.10744871539533968,0.11210000000000009
010713.OF,中欧瑾利C,中欧基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,0.6,0.1,6.17,20210930,,,,,,,,,0.0007999999999999119,0.07174260591526788,0.0726
010712.OF,中欧瑾利A,中欧基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,0.6,0.1,2.97,20210930,,,,,,,,,0.0007999999999999119,0.0727418065547564,0.07360000000000011
010668.OF,工银优选对冲A,工银瑞信基金,20201230,混合型,灵活配置型,中国人民银行公布的一年期定期存款基准利率(税后)+3%,1.2,0.2,2.14,20210930,,,,,,,,,0.0,0.06519999999999992,0.06519999999999992
010514.OF,淳厚益加增强C,淳厚基金,20201230,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+经人民币汇率调整的中证港股通综合指数收益率*5%,0.7,0.1,0.03,20210930,,,,,,,,,9.999999999998899e-05,0.05819418058194183,0.05830000000000002
010495.OF,创金合信创新驱动A,创金合信基金,20201230,股票型,股票型,中证科技驱动100指数收益率*90%+中证全债指数收益率*10%,1.5,0.25,1.72,20210930,,,,,,,,,-0.00029999999999996696,0.08172451735520644,0.08139999999999992
010408.OF,安信浩盈6个月持有,安信基金,20201230,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,0.8,0.2,6.59,20210930,,,,,,,,,0.0004999999999999449,0.05407296351824092,0.05459999999999998
011142.OF,创金合信新材料新能源A,创金合信基金,20201230,股票型,股票型,中证全指一级行业能源指数收益率*45%+中证全指一级行业材料指数收益率*45%+中债综合指数收益率*10%,1.5,0.25,3.41,20210930,,,,,,,,,0.0006999999999999229,0.3619466373538524,0.3629
010771.OF,天弘国证消费100指数增强A,天弘基金,20201230,股票型,增强指数型,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,0.6,0.1,0.41,20210930,,,,,,,,,0.001100000000000101,-0.015283188492658166,-0.01419999999999999
010411.OF,长城品质成长C,长城基金,20201230,混合型,混合型,中证800指数收益率*70%+中债综合财富指数收益率*20%+中证港股通综合指数收益率*10%,1.5,0.25,3.29,20210930,,,,,,,,,9.999999999998899e-05,-0.015298470152984682,-0.015199999999999991
010496.OF,创金合信创新驱动C,创金合信基金,20201230,股票型,股票型,中证科技驱动100指数收益率*90%+中证全债指数收益率*10%,1.5,0.25,0.64,20210930,,,,,,,,,-0.00029999999999996696,0.07312193658097424,0.07279999999999998
010735.OF,申万菱信稳健养老,申万菱信基金,20201230,混合型,混合型,上证国债指数收益率*80%+沪深300指数收益率*20%,0.6,0.15,3.08,20210930,,,,,,,,,0.0,0.04249999999999998,0.04249999999999998
011150.OF,创金合信ESG责任投资C,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中证港股通综合指数收益率*10%+人民币活期存款利率(税后)*10%,1.5,0.25,0.07,20210930,,,,,,,,,0.0040999999999999925,0.10188228264117126,0.10640000000000005
010669.OF,工银优选对冲C,工银瑞信基金,20201230,混合型,灵活配置型,中国人民银行公布的一年期定期存款基准利率(税后)+3%,1.2,0.2,1.44,20210930,,,,,,,,,0.0,0.060799999999999965,0.060799999999999965
010410.OF,长城品质成长A,长城基金,20201230,混合型,混合型,中证800指数收益率*70%+中债综合财富指数收益率*20%+中证港股通综合指数收益率*10%,1.5,0.25,35.4,20210930,,,,,,,,,9.999999999998899e-05,-0.009399060093990564,-0.009299999999999975
011147.OF,创金合信气候变化C,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中债综合全价指数收益率*10%+恒生指数收益率*10%,1.5,0.25,1.98,20210930,,,,,,,,,0.0129999999999999,0.4956564659427444,0.5150999999999999
010137.OF,华泰柏瑞量化创享A,华泰柏瑞基金,20201230,混合型,混合型,创业板指数收益率*85%+上证科创板50成份指数收益率*10%+银行活期存款利率(税后)*5%,1.5,0.25,4.46,20210930,,,,,,,,,9.999999999998899e-05,0.06759324067593252,0.0677000000000001
010099.OF,民生加银汇智3个月定开,民生加银基金,20201230,债券型,债券型,中国债券综合指数收益率,0.3,0.1,20.49,20210930,,,,,,,,,9.999999999998899e-05,0.11001292870712939,0.11012393000000009
010772.OF,天弘国证消费100指数增强C,天弘基金,20201230,股票型,增强指数型,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,0.6,0.1,1.38,20210930,,,,,,,,,0.001100000000000101,-0.01818000199780252,-0.017100000000000004
011143.OF,创金合信新材料新能源C,创金合信基金,20201230,股票型,股票型,中证全指一级行业能源指数收益率*45%+中证全指一级行业材料指数收益率*45%+中债综合指数收益率*10%,1.5,0.25,3.01,20210930,,,,,,,,,0.0006999999999999229,0.35375237333866305,0.3547
010963.OF,信达澳银周期动力,信达澳银基金,20201230,混合型,混合型,中证资源优选指数收益率*45%+中证先进制造100策略指数收益率*45%+中证港股通综合指数*5%+银行活期存款利率(税后)*5%,1.5,0.25,9.34,20210930,,,,,,,,,0.0,0.728,0.728
010874.OF,泰康品质生活A,泰康资产,20201230,混合型,混合型,沪深300指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,1.5,0.25,6.73,20210930,,,,,,,,,0.0016000000000000458,0.3828873801916932,0.3851
011000.OF,兴华瑞丰C,兴华基金,20201230,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.6,0.2,0.05,20210930,,,,,,,,,9.999999999998899e-05,0.03109689031096881,0.031199999999999894
010872.OF,博时沪深300指数增强A,博时基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15,0.27,20210930,,,,,,,,,-0.0008000000000000229,-0.13871096877501995,-0.13939999999999997
010875.OF,泰康品质生活C,泰康资产,20201230,混合型,混合型,沪深300指数收益率*70%+中债新综合全价(总值)指数收益率*15%+恒生指数收益率*10%+金融机构人民币活期存款利率(税后)*5%,1.5,0.25,4.22,20210930,,,,,,,,,0.0016000000000000458,0.37599840255591055,0.3782000000000001
010138.OF,华泰柏瑞量化创享C,华泰柏瑞基金,20201230,混合型,混合型,创业板指数收益率*85%+上证科创板50成份指数收益率*10%+银行活期存款利率(税后)*5%,1.5,0.25,0.48,20210930,,,,,,,,,0.0,0.06119999999999992,0.06119999999999992
011146.OF,创金合信气候变化A,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中债综合全价指数收益率*10%+恒生指数收益率*10%,1.5,0.25,1.83,20210930,,,,,,,,,0.0129999999999999,0.5015794669299112,0.5210999999999999
010803.OF,天弘庆享A,天弘基金,20201230,债券型,债券型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.3,0.1,20.12,20210930,,,,,,,,,0.0,0.021369420000000083,0.021369420000000083
011067.OF,财通资管鸿达纯债I,财通证券资管,20201230,债券型,债券型,中债综合(全价)指数收益率,0.4,0.1,2.14,20210930,,,,,,,,,0.0,0.02950000000000008,0.02950000000000008
010873.OF,博时沪深300指数增强C,博时基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15,0.05,20210930,,,,,,,,,-0.0008000000000000229,-0.14131305044035228,-0.14200000000000002
011074.OF,鹏华安润C,鹏华基金,20201230,混合型,混合型,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),0.6,0.1,0.51,20210930,,,,,,,,,0.0,0.05889999999999995,0.05889999999999995
010663.OF,长江均衡成长A,长江资管,20201230,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*30%,1.5,0.2,0.34,20210930,,,,,,,,,0.0009999999999998899,0.10999000999001009,0.11109999999999998
010513.OF,淳厚益加增强A,淳厚基金,20201230,债券型,债券型,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*5%+经人民币汇率调整的中证港股通综合指数收益率*5%,0.7,0.1,3.1,20210930,,,,,,,,,9.999999999998899e-05,0.062393760623937616,0.0625
011073.OF,鹏华安润A,鹏华基金,20201230,混合型,混合型,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),0.6,0.1,2.45,20210930,,,,,,,,,0.0,0.06220000000000003,0.06220000000000003
010643.OF,平安养老2025一年持有,平安基金,20201230,混合型,混合型,中债新综合(财富)指数收益率*69%+沪深300指数收益率*26%+同期银行活期存款利率*5%,0.6,0.15,6.8,20210930,,,,,,,,,0.0,0.06840000000000002,0.06840000000000002
010804.OF,天弘庆享C,天弘基金,20201230,债券型,债券型,中债综合全价指数收益率*80%+沪深300指数收益率*20%,0.3,0.1,0.05,20210930,,,,,,,,,0.0,0.0027999999999999137,0.0027999999999999137
010664.OF,长江均衡成长C,长江资管,20201230,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*30%,1.5,0.2,0.1,20210930,,,,,,,,,0.0009999999999998899,0.10549450549450565,0.10660000000000003
010788.OF,华安优势企业C,华安基金,20201230,混合型,混合型,中证800指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,1.5,0.25,2.93,20210930,,,,,,,,,0.0,-0.08209999999999995,-0.08209999999999995
010737.OF,易方达沪深300精选增强C,易方达基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+活期存款利率(税后)*5%,1.2,0.2,6.25,20210930,,,,,,,,,0.0,-0.09550000000000003,-0.09550000000000003
010762.OF,博时恒康一年持有A,博时基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率*5%+银行活期存款利率(税后)*5%,0.8,0.2,1.92,20210930,,,,,,,,,0.0,0.03279999999999994,0.03279999999999994
010999.OF,兴华瑞丰A,兴华基金,20201230,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.6,0.2,0.01,20210930,,,,,,,,,9.999999999998899e-05,0.035296470352964814,0.0354000000000001
010763.OF,博时恒康一年持有C,博时基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率*5%+银行活期存款利率(税后)*5%,0.8,0.2,0.43,20210930,,,,,,,,,0.0,0.024599999999999955,0.024599999999999955
010626.OF,华融荣赢63个月定开债,华融基金,20201230,债券型,债券型,封闭期起始日中国人民银行公布的银行三年期定期存款利率(税后)+1%,0.15,0.05,20.45,20210930,,,,,,,,,9.999999999998899e-05,0.034931806819318185,0.0350353000000001
010787.OF,华安优势企业A,华安基金,20201230,混合型,混合型,中证800指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*15%,1.5,0.25,48.06,20210930,,,,,,,,,0.0,-0.0766,-0.0766
010736.OF,易方达沪深300精选增强A,易方达基金,20201230,股票型,增强指数型,沪深300指数收益率*95%+活期存款利率(税后)*5%,1.2,0.2,19.69,20210930,,,,,,,,,0.0,-0.0928,-0.0928
011117.OF,富国沪港深业绩驱动C,富国基金,20201229,混合型,混合型,中证港股通综合指数收益率*75%+同期银行活期存款利率(税后)*25%,1.5,0.25,1.61,20210930,,,,,,,,,0.03693970646568823,-0.06230574283938214,-0.027667592225307343
011131.OF,富国沪港深价值精选C,富国基金,20201229,混合型,灵活配置型,沪深300指数收益率*45%+恒生指数收益率*45%+中债综合财富指数收益率*10%,1.5,0.25,0.6,20210930,,,,,,,,,0.041739130434782515,-0.10562012799109628,-0.06828948985507256
580008.OF,东吴新产业精选A,东吴基金,20201229,股票型,股票型,中证新兴产业指数收益率*60%+恒生综合指数收益率*20%+中国债券综合全价指数收益率*20%,1.5,0.25,2.56,20210930,-0.033790918690601815,0.3300546448087432,0.28348397699260475,0.6030729833546734,-0.32188498402555915,0.03531489111241897,-0.245025582717453,0.5707831325301203,0.6528763183125601,0.08642942080686783,2.9555438225976767
