ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
012008.OF,易方达稳健回报A,易方达基金,20210531,混合型,混合型,中债总指数收益率*60%+沪深300指数收益率*35%+中证港股通综合指数收益率*5%,1.2,0.25,孙松,13.6,20220930,,,,,,,,,,-0.0028000000000000247,-0.13588046530284792,-0.13829999999999998
012009.OF,易方达稳健回报C,易方达基金,20210531,混合型,混合型,中债总指数收益率*60%+沪深300指数收益率*35%+中证港股通综合指数收益率*5%,1.2,0.25,孙松,1.58,20220930,,,,,,,,,,-0.0044999999999999485,-0.13852335509794075,-0.14239999999999997
011728.OF,工银瑞信聚瑞C,工银瑞信基金,20210528,混合型,混合型,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,0.5,0.1,景晓达,0.0,20220930,,,,,,,,,,0.03210000000000002,-0.07373316539095054,-0.04400000000000004
012218.OF,博时乐享A,博时基金,20210528,混合型,混合型,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,0.6,0.2,卓若伟 陈鹏扬,10.05,20220930,,,,,,,,,,0.05879999999999996,-0.10247449943332068,-0.049699999999999966
012219.OF,博时乐享C,博时基金,20210528,混合型,混合型,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,0.6,0.2,卓若伟 陈鹏扬,0.42,20220930,,,,,,,,,,0.05630000000000002,-0.10621982391366086,-0.05589999999999995
012178.OF,银华富饶精选三年持有,银华基金,20210528,混合型,混合型,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数收益率*20%,1.5,0.25,焦巍 魏卓,10.95,20220930,,,,,,,,,,-0.15139999999999998,-0.18359651190195622,-0.30720000000000003
011727.OF,工银瑞信聚瑞A,工银瑞信基金,20210528,混合型,混合型,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,0.5,0.1,景晓达,1.23,20220930,,,,,,,,,,0.034599999999999964,-0.0626329016044848,-0.030200000000000005
011533.OF,工银瑞信聚丰C,工银瑞信基金,20210528,混合型,混合型,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,0.5,0.1,景晓达 陈丹琳,0.0,20220930,,,,,,,,,,0.00029999999999996696,-0.07197840647805653,-0.07169999999999999
011670.OF,长信优质企业C,长信基金,20210528,混合型,混合型,中证800指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.25,王祺,0.65,20220930,,,,,,,,,,-0.06840000000000002,-0.19815371404036067,-0.253
011532.OF,工银瑞信聚丰A,工银瑞信基金,20210528,混合型,混合型,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,0.5,0.1,景晓达 陈丹琳,0.48,20220930,,,,,,,,,,0.0026999999999999247,-0.06831554802034497,-0.06579999999999997
012056.OF,华商嘉悦平衡养老FOFA,华商基金,20210528,混合型,混合型,中证800指数收益率*50%+中债综合(全价)指数收益率*40%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,0.6,0.15,孙志远,1.54,20220930,,,,,,,,,,0.057600000000000096,-0.0361195158850227,0.019400000000000084
011669.OF,长信优质企业A,长信基金,20210528,混合型,混合型,中证800指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,1.5,0.25,王祺,3.61,20220930,,,,,,,,,,-0.06499999999999995,-0.19336898395721933,-0.24580000000000002
011867.OF,广发价值增长C,广发基金,20210527,混合型,混合型,沪深300指数收益率*50%+人民币计价的恒生指数收益率*30%+中证全债指数收益率*20%,1.5,0.25,程琨,0.73,20220930,,,,,,,,,,0.06440000000000001,-0.13791807591131158,-0.08240000000000003
011918.OF,山西证券品质生活C,山西证券,20210527,混合型,混合型,沪深300指数收益率*60%+恒生指数收益率(经汇率估值调整)*20%+中债综合财富(总值)指数收益率*20%,1.5,0.25,李惟愚,0.19,20220930,,,,,,,,,,-0.02510000000000001,-0.13580880090265665,-0.15749999999999997
011917.OF,山西证券品质生活A,山西证券,20210527,混合型,混合型,沪深300指数收益率*60%+恒生指数收益率(经汇率估值调整)*20%+中债综合财富(总值)指数收益率*20%,1.5,0.25,李惟愚,1.8,20220930,,,,,,,,,,-0.021299999999999986,-0.13058138346786555,-0.1491
011866.OF,广发价值增长A,广发基金,20210527,混合型,混合型,沪深300指数收益率*50%+人民币计价的恒生指数收益率*30%+中证全债指数收益率*20%,1.5,0.25,程琨,15.73,20220930,,,,,,,,,,0.06689999999999996,-0.1345018277251851,-0.0766
012303.OF,浦银安盛鑫福C,浦银安盛基金,20210527,混合型,混合型,中证全债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率(使用估值汇率折算)*5%,0.6,0.15,陈士俊,0.57,20220930,,,,,,,,,,0.0007999999999999119,-0.03926858513189438,-0.03849999999999998
011648.OF,博时港股通红利精选C,博时基金,20210527,混合型,混合型,中证港股通高股息投资指数(CNY)收益率*65%+中债综合财富(总值)指数收益率*20%+中证红利指数收益率*15%,1.5,0.25,赵宪成,0.02,20220930,,,,,,,,,,-0.1503,-0.07284924090855603,-0.21220000000000006
011647.OF,博时港股通红利精选A,博时基金,20210527,混合型,混合型,中证港股通高股息投资指数(CNY)收益率*65%+中债综合财富(总值)指数收益率*20%+中证红利指数收益率*15%,1.5,0.25,赵宪成,0.11,20220930,,,,,,,,,,-0.14629999999999999,-0.06524540236617075,-0.20199999999999996
012302.OF,浦银安盛鑫福A,浦银安盛基金,20210527,混合型,混合型,中证全债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率(使用估值汇率折算)*5%,0.6,0.15,陈士俊,0.53,20220930,,,,,,,,,,0.0028999999999999027,-0.036693588593080015,-0.03390000000000004
012201.OF,新华鑫科技3个月滚动持有C,新华基金,20210526,混合型,灵活配置型,中证科技100指数收益率*60%+中债综合指数(总财富)收益率*30%+恒生指数收益率*10%,1.5,0.25,王永明,0.45,20220930,,,,,,,,,,0.1561999999999999,-0.33523611831863,-0.23140000000000005
012086.OF,博时健康生活A,博时基金,20210526,混合型,混合型,中证800医药卫生指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,1.5,0.25,张弘,2.31,20220930,,,,,,,,,,-0.09719999999999995,-0.21322552060256977,-0.28969999999999996
010543.OF,中加科鑫A,中加基金,20210526,混合型,混合型,中债总全价(总值)指数收益率*60%+沪深300指数收益率*40%,0.8,0.2,王梁,1.19,20220930,,,,,,,,,,0.04709999999999992,-0.11784929806131215,-0.07630000000000003
012087.OF,博时健康生活C,博时基金,20210526,混合型,混合型,中证800医药卫生指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,1.5,0.25,张弘,0.57,20220930,,,,,,,,,,-0.09940000000000004,-0.21641128136797688,-0.2943
010544.OF,中加科鑫C,中加基金,20210526,混合型,混合型,中债总全价(总值)指数收益率*60%+沪深300指数收益率*40%,0.8,0.2,王梁,0.01,20220930,,,,,,,,,,0.044499999999999984,-0.12139779798946868,-0.08230000000000004
012127.OF,泰达宏利新能源C,泰达宏利基金,20210526,股票型,股票型,中证新能源指数收益率*75%+中证综合债券指数收益率*15%+中证港股通能源综合指数收益率(人民币)*10%,1.5,0.25,张勋,5.11,20220930,,,,,,,,,,0.4171,-0.09829934373015312,0.27780000000000005
012126.OF,泰达宏利新能源A,泰达宏利基金,20210526,股票型,股票型,中证新能源指数收益率*75%+中证综合债券指数收益率*15%+中证港股通能源综合指数收益率(人民币)*10%,1.5,0.25,张勋,5.38,20220930,,,,,,,,,,0.4196,-0.09559030712876862,0.28390000000000004
012200.OF,新华鑫科技3个月滚动持有A,新华基金,20210526,混合型,灵活配置型,中证科技100指数收益率*60%+中债综合指数(总财富)收益率*30%+恒生指数收益率*10%,1.5,0.25,王永明,1.28,20220930,,,,,,,,,,0.15959999999999996,-0.3318385650224215,-0.22519999999999996
011845.OF,博时周期优选A,博时基金,20210525,混合型,混合型,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,1.5,0.25,沙炜,2.21,20220930,,,,,,,,,,0.04689999999999994,-0.23163625943261051,-0.1956
011635.OF,富国港股通策略精选A,富国基金,20210525,混合型,混合型,恒生港股通指数收益率(经汇率调整后)*70%+中债综合全价指数收益率*20%+沪深300指数收益率*10%,1.5,0.25,汪孟海 王菀宜,6.21,20220930,,,,,,,,,,-0.03049999999999997,-0.16235172769468798,-0.18789999999999996
012184.OF,大成创新趋势A,大成基金,20210525,混合型,混合型,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,1.5,0.25,魏庆国,7.68,20220930,,,,,,,,,,-0.03280000000000005,-0.08643507030603795,-0.11639999999999995
011808.OF,平安研究精选C,平安基金,20210525,混合型,混合型,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,1.5,0.25,张晓泉,0.61,20220930,,,,,,,,,,0.23409999999999997,-0.1957701969046268,-0.007499999999999951
010163.OF,财通资管价值精选一年持有A,财通证券资管,20210525,混合型,混合型,沪深300指数收益率*70%+中债综合指数收益率*30%,1.5,0.25,姜永明,10.26,20220930,,,,,,,,,,0.18999999999999995,-0.24319327731092438,-0.09940000000000004
011537.OF,惠升惠益C,惠升基金,20210525,混合型,混合型,中债综合全价指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%,1.2,0.15,孙庆,0.32,20220930,,,,,,,,,,0.008499999999999952,-0.07645017352503714,-0.0686
010164.OF,财通资管价值精选一年持有C,财通证券资管,20210525,混合型,混合型,沪深300指数收益率*70%+中债综合指数收益率*30%,1.5,0.25,姜永明,0.39,20220930,,,,,,,,,,0.1842999999999999,-0.2492611669340538,-0.1109
012079.OF,信澳新能源精选,信达澳亚基金,20210525,混合型,混合型,中证新能源汽车指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,1.5,0.25,曾国富 李博,50.03,20220930,,,,,,,,,,0.5239,-0.27541177242601217,0.10420000000000007
010361.OF,嘉实品质优选A,嘉实基金,20210525,股票型,股票型,中证800指数收益率*60%+恒生指数收益率*20%+中债综合财富指数收益率*20%,1.5,0.25,洪流,22.9,20220930,,,,,,,,,,-0.09770000000000001,-0.3054416491189183,-0.37329999999999997
011536.OF,惠升惠益A,惠升基金,20210525,混合型,混合型,中债综合全价指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%,1.2,0.15,孙庆,0.64,20220930,,,,,,,,,,0.011600000000000055,-0.07186635033610132,-0.06110000000000004
011853.OF,招商中证消费龙头指数增强A,招商基金,20210525,股票型,增强指数型,中证消费龙头指数收益率*85%+恒生综合指数收益率(使用估值汇率折算)*10%+中国人民银行人民币活期存款利率(税后)*5%,1.0,0.2,侯昊,4.91,20220930,,,,,,,,,,0.014799999999999924,-0.18190776507686232,-0.16979999999999995
