ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
014504.OF,鹏扬淳开D,鹏扬基金,浦发银行,债券型,20220112,,,,,,0.3,0.1,,1.0,,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,,20220112,20220113,O
851399.OF,海通品质升级一年持有C,海通资管,中国民生银行,混合型,20220110,,,,,,0.8,0.15,,1.0,,,中证800指数收益率*60%+中证全债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
850013.OF,海通品质升级一年持有A,海通资管,中国民生银行,混合型,20220110,,,20220110,,,0.8,0.15,,1.0,,,中证800指数收益率*60%+中证全债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
014758.OF,民生加银医药健康C,民生加银基金,中信证券,股票型,20220110,,,,,,1.5,0.2,,1.0,,,中证医药卫生指数收益率*70%+中债综合财富指数收益率*20%+恒生医疗保健指数收益率(经汇率调整)*10%,L,股票型,契约型开放式,,20220110,20220111,O
863001.OF,光大阳光现金宝,光证资管,中国证券登记结算公司,货币市场型,20220110,,,20220110,,,0.9,0.05,,1.0,,,同期中国人民银行公布的七天通知存款利率(税后),L,货币型,契约型开放式,,20220110,20220110,O
851890.OF,海通安泰A,海通资管,上海银行,债券型,20220107,,,20220107,,,0.5,0.05,,1.0,,,中债-综合全价(总值)指数收益率*90%+同期中国人民银行公布的一年期银行定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
851986.OF,海通安悦C,海通资管,上海银行,债券型,20220107,,,,,,0.3,0.05,,1.0,,,中债-综合全价(总值)指数收益率*95%+银行活期存款利率(税后)*5%,L,债券型,契约型开放式,,,,O
851900.OF,海通安悦A,海通资管,上海银行,债券型,20220107,,,20220107,,,0.3,0.05,,1.0,,,中债-综合全价(总值)指数收益率*95%+银行活期存款利率(税后)*5%,L,债券型,契约型开放式,,,,O
851896.OF,海通安泰C,海通资管,上海银行,债券型,20220107,,,,,,0.5,0.05,,1.0,,,中债-综合全价(总值)指数收益率*90%+同期中国人民银行公布的一年期银行定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
014713.OF,恒生前海恒裕C,恒生前海基金,南京银行,债券型,20220107,,,20211231,,2.5013,0.3,0.05,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
159775.OF,建信国证新能源车电池ETF,建信基金,中信证券,股票型,20220107,,,20211201,,2.1265,0.5,0.1,,1.0,0.1,,国证新能源车电池指数收益率,L,被动指数型,契约型开放式,,,,O
014712.OF,恒生前海恒裕A,恒生前海基金,南京银行,债券型,20220107,,,20211231,,0.0103,0.3,0.05,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
013796.OF,富国智申精选3个月持有E,富国基金,招商银行,混合型,20220107,,,20211220,,2.0141,1.0,0.2,,1.0,0.001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
013795.OF,富国智申精选3个月持有A,富国基金,招商银行,混合型,20220107,,,20211220,,0.9953,1.0,0.2,,1.0,0.001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,,,O
013225.OF,景顺长城安景一年持有期A,景顺长城基金,平安银行,混合型,20220106,,,20211227,,5.5376,1.0,0.15,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,,,O
013628.OF,广发集悦A,广发基金,上海银行,债券型,20220106,,,20211220,,9.6388,0.7,0.15,,1.0,0.0001,,中债新综合财富(总值)指数收益率*90%+沪深300指数收益率*5%+人民币计价的恒生指数收益率*5%,L,债券型,契约型开放式,,,,O
013629.OF,广发集悦C,广发基金,上海银行,债券型,20220106,,,20211220,,0.3091,0.7,0.15,,1.0,0.0001,,中债新综合财富(总值)指数收益率*90%+沪深300指数收益率*5%+人民币计价的恒生指数收益率*5%,L,债券型,契约型开放式,,,,O
014724.OF,东方量化多策略C,东方基金,中国农业银行,混合型,20220106,,,,,,0.8,0.15,,1.0,,,沪深300指数收益率*95%+商业银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20220106,20220107,O
013060.OF,工银养老目标日期2060五年持有,工银瑞信基金,招商银行,混合型,20220106,,,20211220,,0.1061,0.9,0.2,,1.0,0.0001,,中证800指数收益率*70%+中债新综合(财富)指数收益率*30%,L,混合型,契约型开放式,,,,O
014074.OF,嘉实内需精选A,嘉实基金,招商银行,混合型,20220106,,,20211213,,8.5273,1.5,0.25,,1.0,0.0001,,中证内地消费主题指数收益率*70%+中债综合财富指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
014572.OF,长信银利精选C,长信基金,中国农业银行,混合型,20220106,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20220106,20220107,O
014075.OF,嘉实内需精选C,嘉实基金,招商银行,混合型,20220106,,,20211213,,3.5641,1.5,0.25,,1.0,0.0001,,中证内地消费主题指数收益率*70%+中债综合财富指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
013226.OF,景顺长城安景一年持有期C,景顺长城基金,平安银行,混合型,20220106,,,20211227,,2.8204,1.0,0.15,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,,,O
012037.OF,招商和惠养老目标日期2040三年持有,招商基金,浦发银行,混合型,20220105,,,20210930,,2.4811,0.9,0.15,,1.0,0.001,,中债综合指数收益率*50%+沪深300指数收益率*50%,L,混合型,契约型开放式,,,,O
014608.OF,中欧周期景气A,中欧基金,招商银行,混合型,20220105,,,20211224,,0.2886,1.5,0.25,,1.0,0.0001,,国证周期100指数收益率*90%+中证港股通综合指数(人民币)收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
013010.OF,万家港股通精选C,万家基金,招商银行,混合型,20220105,,,20211213,,1.0165,1.5,0.25,,1.0,0.001,,恒生指数收益率*70%+中证全债指数收益率*20%+沪深300指数收益率*10%,L,混合型,契约型开放式,,,,O
014189.OF,南方专精特新A,南方基金,招商银行,混合型,20220105,,,20211216,,4.0513,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*70%+中债总指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
