ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee
159611.SZ,电力ETF,广发基金,20211229,股票型,被动指数型,中证全指电力公用事业指数收益率,0.5,0.1
560800.SH,数字经济ETF,鹏扬基金,20211222,股票型,被动指数型,中证数字经济主题指数收益率,0.5,0.1
562510.SH,旅游ETF,华夏基金,20211221,股票型,被动指数型,中证旅游主题指数收益率,0.5,0.1
562300.SH,碳中和ETF基金,银华基金,20211220,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.5,0.1
159758.SZ,红利50ETF,华夏基金,20211220,股票型,被动指数型,中证红利质量指数收益率,0.5,0.1
159606.SZ,中证500成长ETF,易方达基金,20211217,股票型,被动指数型,中证500质量成长指数收益率,0.5,0.1
159719.SZ,开放共赢ETF,平安基金,20211217,股票型,被动指数型,富时中国国企开放共赢指数收益率,0.25,0.05
517180.SH,开放共赢ETF,南方基金,20211217,股票型,被动指数型,富时中国国企开放共赢指数收益率,0.25,0.05
517090.SH,共赢ETF,国泰基金,20211217,股票型,被动指数型,富时中国国企开放共赢指数收益率,0.25,0.05
562500.SH,机器人ETF,华夏基金,20211217,股票型,被动指数型,中证机器人指数收益率,0.5,0.1
159718.SZ,港股医药ETF,平安基金,20211216,股票型,被动指数型,中证港股通医药卫生综合指数收益率(经汇率调整),0.5,0.1
159711.SZ,港股通ETF,华夏基金,20211216,股票型,被动指数型,中证港股通50指数收益率(估值汇率调整),0.5,0.1
159608.SZ,稀有金属ETF,广发基金,20211215,股票型,被动指数型,中证稀有金属主题指数收益率,0.5,0.1
159701.SZ,物联网ETF招商,招商基金,20211215,股票型,被动指数型,中证物联网主题指数收益率,0.5,0.1
516350.SH,芯片50ETF,易方达基金,20211215,股票型,被动指数型,中证芯片产业指数收益率,0.15,0.05
159730.SZ,家电ETF基金,博时基金,20211213,股票型,被动指数型,国证龙头家电指数收益率,0.5,0.1
517390.SH,云计算AH,天弘基金,20211210,股票型,被动指数型,中证沪港深云计算产业指数收益率,0.5,0.1
588150.SH,科创龙头,南方基金,20211210,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1
159751.SZ,港股科技ETF,鹏华基金,20211210,股票型,被动指数型,中证港股通科技指数收益率,0.6,0.15
159706.SZ,深证100ETF华安,华安基金,20211209,股票型,被动指数型,深证100指数收益率,0.15,0.05
516690.SH,化工产业ETF,银华基金,20211207,股票型,被动指数型,中证细分化工产业主题指数收益率,0.5,0.1
501211.SH,民生加银优享FOF,民生加银基金,20211207,混合型,混合型,中债综合指数收益率*65%+沪深300指数收益率*25%+恒生综合指数收益率(经汇率估值调整)*5%+1年期定期存款收益率(税后)*5%,1.0,0.15
159760.SZ,公共卫生健康ETF,泰康资产,20211206,股票型,被动指数型,国证公共卫生与健康指数收益率,0.5,0.1
508099.SH,建信中关村REIT,建信基金,20211203,混合型,,,0.24,0.02
180202.SZ,华夏越秀高速REIT,华夏基金,20211203,混合型,,,0.45,0.03
159731.SZ,石化ETF,华夏基金,20211202,股票型,被动指数型,中证石化产业指数收益率,0.5,0.1
562900.SH,现代农业ETF,易方达基金,20211202,股票型,被动指数型,中证现代农业主题指数收益率,0.15,0.05
561990.SH,沪深300增强ETF,招商基金,20211202,股票型,增强指数型,沪深300指数收益率,0.5,0.1
561550.SH,500增强ETF,华泰柏瑞基金,20211202,股票型,增强指数型,中证500指数收益率,0.7,0.1
561300.SH,300增强ETF,国泰基金,20211201,股票型,增强指数型,沪深300指数收益率,1.0,0.1
517330.SH,长江保护ETF,易方达基金,20211126,股票型,被动指数型,中证长江保护主题指数收益率,0.15,0.05
517160.SH,长江保护主题ETF,南方基金,20211126,股票型,被动指数型,中证长江保护主题指数收益率,0.15,0.05
159789.SZ,饮料ETF,建信基金,20211125,股票型,被动指数型,中证饮料主题指数收益率,0.5,0.1
517770.SH,游戏传媒ETF,浦银安盛基金,20211125,股票型,被动指数型,中证沪港深游戏及文化传媒指数收益率,0.5,0.1
159761.SZ,新材料50ETF,国泰基金,20211124,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1
159607.SZ,中概互联网ETF,嘉实基金,20211124,股票型,被动指数型,中证海外中国互联网30指数收益率(经估值汇率调整),0.5,0.1
501218.SH,工银睿智进取FOF,工银瑞信基金,20211124,股票型,股票型,中证800指数收益率*90%+中债-新综合财富(总值)指数收益率*10%,0.5,0.1
159605.SZ,中概互联ETF,广发基金,20211124,股票型,被动指数型,人民币计价的中证海外中国互联网30指数收益率,0.5,0.15
159748.SZ,沪港深创新药ETF,富国基金,20211124,股票型,被动指数型,中证沪港深创新药产业指数收益率,0.5,0.1
517960.SH,科技AHETF,上投摩根基金,20211122,股票型,被动指数型,中证沪港深科技100指数收益率,0.3,0.1
588310.SH,双创ETF基金,方正富邦基金,20211122,股票型,被动指数型,中证科创创业50指数收益率,0.5,0.1
159779.SZ,消费电子ETF招商,招商基金,20211118,股票型,被动指数型,中证消费电子主题指数收益率,0.5,0.1
517880.SH,品牌消费ETF,华泰柏瑞基金,20211117,股票型,被动指数型,中证沪港深品牌消费50指数收益率,0.5,0.1
517280.SH,网购ETF,天弘基金,20211116,股票型,被动指数型,中证沪港深线上消费主题指数收益率,0.5,0.1
159896.SZ,物联网龙头ETF,南方基金,20211115,股票型,被动指数型,中证物联网主题指数收益率,0.5,0.1
501215.SH,积极配置FOF,兴证全球基金,20211112,混合型,混合型,中证偏股型基金指数收益率*85%+中债综合(全价)指数收益率*15%,1.1,0.15
159726.SZ,恒生红利ETF,华夏基金,20211111,股票型,被动指数型,恒生中国内地企业高股息率指数收益率(经估值汇率调整),0.5,0.1
501210.SH,交银智选星光FOF,交银施罗德基金,20211110,混合型,混合型,沪深300指数收益率*80%+中债综合全价指数收益率*20%,1.0,0.2
561310.SH,消电ETF,国泰基金,20211110,股票型,被动指数型,中证消费电子主题指数收益率,0.5,0.1
501213.SH,中欧汇选FOF,中欧基金,20211110,混合型,混合型,中证800指数收益率*80%+银行活期存款利率(税后)*20%,1.0,0.2
159793.SZ,线上消费ETF平安,平安基金,20211109,股票型,被动指数型,中证沪港深线上消费主题指数收益率,0.5,0.1
516730.SH,证券公司ETF,浦银安盛基金,20211104,股票型,被动指数型,中证证券公司30指数收益率,0.5,0.1
159707.SZ,地产ETF,华宝基金,20211104,股票型,被动指数型,中证800地产指数收益率,0.5,0.1
159739.SZ,大数据ETF,鹏华基金,20211103,股票型,被动指数型,中证云计算与大数据主题指数收益率,0.5,0.1
501212.SH,广发优选配置FOF,广发基金,20211102,混合型,混合型,中债-综合全价(总值)指数收益率*50%+中证800指数收益率*45%+人民币计价的恒生指数收益率*5%,1.0,0.2
159601.SZ,A50ETF,华夏基金,20211101,股票型,被动指数型,MSCI中国A50互联互通人民币指数收益率,0.5,0.1
560050.SH,MSCI中国A50ETF,汇添富基金,20211029,股票型,被动指数型,MSCI中国A50互联互通人民币指数收益率,0.5,0.1
159602.SZ,中国A50ETF,南方基金,20211029,股票型,被动指数型,MSCI中国A50互联互通指数(人民币)收益率,0.5,0.1
563000.SH,中国A50ETF,易方达基金,20211029,股票型,被动指数型,MSCI中国A50互联互通人民币指数收益率,0.5,0.1
516750.SH,建材ETF,富国基金,20211028,股票型,被动指数型,中证全指建筑材料指数收益率,0.5,0.1
159712.SZ,港股通50ETF,国泰基金,20211027,股票型,被动指数型,中证港股通50指数收益率,0.5,0.1
159770.SZ,机器人ETF,天弘基金,20211026,股票型,被动指数型,中证机器人指数收益率,0.5,0.1
159862.SZ,食品ETF,银华基金,20211026,股票型,被动指数型,中证细分食品饮料产业主题指数收益率,0.5,0.1
159877.SZ,医疗产业ETF,南方基金,20211022,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1
516620.SH,影视ETF,国泰基金,20211020,股票型,被动指数型,中证影视主题指数收益率,0.5,0.1
159895.SZ,物联网50ETF,易方达基金,20211013,股票型,被动指数型,中证物联网主题指数收益率,0.15,0.05
517660.SH,物联网AH,天弘基金,20211012,股票型,被动指数型,中证沪港深物联网主题指数收益率,0.5,0.1
588280.SH,科创50ETF华安,华安基金,20211012,股票型,被动指数型,上证科创板50成份指数收益率,0.5,0.1
159892.SZ,恒生生物科技ETF,华夏基金,20210929,股票型,被动指数型,恒生香港上市生物科技指数收益率(使用估值汇率折算),0.5,0.15
159853.SZ,科技100ETF,南方基金,20210929,股票型,被动指数型,中证科技100指数收益率,0.15,0.05
516130.SH,消费龙头ETF,华宝基金,20210928,股票型,被动指数型,中证消费龙头指数收益率,0.5,0.1
159777.SZ,创科技ETF基金,国联安基金,20210927,股票型,被动指数型,创业板科技指数收益率,0.5,0.1
561130.SH,国货ETF,富国基金,20210927,股票型,被动指数型,中证新华社民族品牌工程指数收益率,0.5,0.1
159723.SZ,科技龙头ETF,汇添富基金,20210927,股票型,被动指数型,中证沪港深科技龙头指数收益率,0.15,0.05
516860.SH,金融科技ETF,博时基金,20210924,股票型,被动指数型,中证金融科技主题指数收益率,0.5,0.1
159773.SZ,创科技ETF,华泰柏瑞基金,20210923,股票型,被动指数型,创业板科技指数收益率,0.5,0.1
562360.SH,机器人50ETF,银华基金,20210922,股票型,被动指数型,中证机器人指数收益率,0.5,0.1
560000.SH,智慧电车ETF,浦银安盛基金,20210917,股票型,被动指数型,中证智能电动汽车指数收益率,0.5,0.1
510770.SH,G60创新ETF,申万菱信基金,20210916,股票型,被动指数型,上证G60战略新兴产业成份指数收益率,0.5,0.1
159717.SZ,ESGETF,鹏华基金,20210915,股票型,被动指数型,国证ESG300指数收益率,0.5,0.1
159733.SZ,消费电子50ETF,景顺长城基金,20210915,股票型,被动指数型,中证消费电子主题指数收益率,0.5,0.1
517030.SH,沪港深300ETF基金,易方达基金,20210915,股票型,被动指数型,中证沪港深300指数收益率,0.15,0.05
159792.SZ,港股通互联网ETF,富国基金,20210915,股票型,被动指数型,中证港股通互联网指数收益率,0.5,0.1
562800.SH,稀有金属ETF,嘉实基金,20210915,股票型,被动指数型,中证稀有金属主题指数收益率,0.5,0.1
159736.SZ,饮食ETF,天弘基金,20210909,股票型,被动指数型,中证食品饮料指数收益率,0.5,0.1
516190.SH,文娱传媒ETF,华夏基金,20210909,股票型,被动指数型,中证文娱传媒指数收益率,0.5,0.1
