ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee
017677.OF,中加丰尚纯债C,中加基金,20221229,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1
017512.OF,广发北证50成份A,广发基金,20221228,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
017513.OF,广发北证50成份C,广发基金,20221228,股票型,被动指数型,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
007156.OF,京管泰富京元一年定开,北京京管泰富基金,20221228,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1
017676.OF,广发积极养老目标五年持有,广发基金,20221228,混合型,混合型,中证800指数收益率*65%+中债-综合全价(总值)指数收益率*20%+人民币计价的恒生指数收益率*5%+上海黄金交易所Au99.99现货实盘合约收益率*5%+银行活期存款利率(税后)*5%,0.8,0.15
017558.OF,华夏中证沪港深500联接C,华夏基金,20221228,股票型,被动指数型,中证沪港深500指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1
016514.OF,创金合信信用红利E,创金合信基金,20221228,债券型,债券型,中债高信用等级债券财富(1-3年)指数收益率*90%+一年期定期存款利率(税后)*10%,0.5,0.15
017678.OF,中加颐合纯债C,中加基金,20221228,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1
016572.OF,招商中证银行AH价格优选联接A,招商基金,20221228,股票型,被动指数型,中证银行AH价格优选指数(人民币)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,0.5,0.1
017557.OF,华夏中证沪港深500联接A,华夏基金,20221228,股票型,被动指数型,中证沪港深500指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1
016573.OF,招商中证银行AH价格优选联接C,招商基金,20221228,股票型,被动指数型,中证银行AH价格优选指数(人民币)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,0.5,0.1
588320.OF,广发中证科创创业50增强策略ETF,广发基金,20221228,股票型,增强指数型,中证科创创业50指数收益率,0.5,0.05
016827.OF,安信稳健启航一年持有C,安信基金,20221228,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,0.8,0.2
017526.OF,华夏北证50成份C,华夏基金,20221228,股票型,被动指数型,北证50成份指数收益率*95%+人民币活期存款(税后)利率*5%,0.5,0.1
016826.OF,安信稳健启航一年持有A,安信基金,20221228,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,0.8,0.2
017445.OF,上投摩根沪深300指数增强A,上投摩根基金,20221228,股票型,指数增强型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
017525.OF,华夏北证50成份A,华夏基金,20221228,股票型,被动指数型,北证50成份指数收益率*95%+人民币活期存款(税后)利率*5%,0.5,0.1
017446.OF,上投摩根沪深300指数增强C,上投摩根基金,20221228,股票型,指数增强型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1
159656.OF,万家沪深300成长ETF,万家基金,20221228,股票型,被动指数型,沪深300成长指数收益率,0.5,0.1
017441.OF,英大安旸纯债C,英大基金,20221228,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.08
017440.OF,英大安旸纯债A,英大基金,20221228,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.08
016986.OF,淳厚瑞和A,淳厚基金,20221227,债券型,债券型,中债-综合全价(总值)指数收益率,0.3,0.1
016987.OF,淳厚瑞和C,淳厚基金,20221227,债券型,债券型,中债-综合全价(总值)指数收益率,0.3,0.1
017520.OF,汇添富北证50成份C,汇添富基金,20221227,股票型,被动指数型,北证50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.5,0.1
017572.OF,华夏中证新能源联接C,华夏基金,20221227,股票型,被动指数型,中证新能源指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1
017571.OF,华夏中证新能源联接A,华夏基金,20221227,股票型,被动指数型,中证新能源指数收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1
017559.OF,华安上证科创板芯片联接A,华安基金,20221227,股票型,被动指数型,上证科创板芯片指数收益率*95%+商业银行活期存款利率(税后)*5%,0.5,0.1
017438.OF,博时安悦短债A,博时基金,20221227,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,0.3,0.05
017560.OF,华安上证科创板芯片联接C,华安基金,20221227,股票型,被动指数型,上证科创板芯片指数收益率*95%+商业银行活期存款利率(税后)*5%,0.5,0.1
017439.OF,博时安悦短债C,博时基金,20221227,债券型,债券型,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,0.3,0.05
017515.OF,易方达北证50成份A,易方达基金,20221227,股票型,被动指数型,北证50成份指数收益率*95%+活期存款利率(税后)*5%,0.5,0.1
017519.OF,汇添富北证50成份A,汇添富基金,20221227,股票型,被动指数型,北证50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.5,0.1
016761.OF,嘉合锦荣A,嘉合基金,20221227,混合型,混合型,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,1.5,0.25
017516.OF,易方达北证50成份C,易方达基金,20221227,股票型,被动指数型,北证50成份指数收益率*95%+活期存款利率(税后)*5%,0.5,0.1
008931.OF,中加安瑞积极养老目标五年持有,中加基金,20221227,混合型,混合型,沪深300指数收益率*65%+中债综合全价(总值)指数收益率*25%+中证港股通综合指数(人民币)收益率*5%+1年定期存款利率(税后)*5%,0.9,0.15
016762.OF,嘉合锦荣C,嘉合基金,20221227,混合型,混合型,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,1.5,0.25
016103.OF,申万菱信沪深300优选指数增强A,申万菱信基金,20221226,股票型,增强指数型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,1.0,0.15
016995.OF,华泰紫金安恒平衡配置A,华泰证券资管,20221226,混合型,混合型,中债国债总财富(总值)指数收益率*60%+沪深300指数收益率*15%+中证500指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,1.0,0.2
016996.OF,华泰紫金安恒平衡配置C,华泰证券资管,20221226,混合型,混合型,中债国债总财富(总值)指数收益率*60%+沪深300指数收益率*15%+中证500指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,1.0,0.2
015547.OF,华商核心成长一年持有A,华商基金,20221226,混合型,混合型,中证500指数收益率*60%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*20%,1.5,0.25
016104.OF,申万菱信沪深300优选指数增强C,申万菱信基金,20221226,股票型,增强指数型,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,1.0,0.15
513140.OF,华泰柏瑞中证香港300金融服务ETF,华泰柏瑞基金,20221226,股票型,被动指数型,中证香港300金融服务指数收益率(使用估值汇率折算),0.5,0.1
015548.OF,华商核心成长一年持有C,华商基金,20221226,混合型,混合型,中证500指数收益率*60%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*20%,1.5,0.25
016446.OF,财通资管现金聚财,财通证券资管,20221226,货币市场型,货币型,同期中国人民银行公布的七天通知存款利率(税后),0.4,0.05
017483.OF,财通资管数字经济A,财通证券资管,20221226,混合型,混合型,中证数字经济主题指数收益率*75%+中债综合指数(全价)收益率*25%,1.5,0.25
016785.OF,鹏华中证1000指数增强A,鹏华基金,20221226,股票型,增强指数型,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15
017484.OF,财通资管数字经济C,财通证券资管,20221226,混合型,混合型,中证数字经济主题指数收益率*75%+中债综合指数(全价)收益率*25%,1.5,0.25
016786.OF,鹏华中证1000指数增强C,鹏华基金,20221226,股票型,增强指数型,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,0.8,0.15
017674.OF,东方红颐和平衡养老目标三年Y,东证资管,20221224,混合型,混合型,沪深300指数收益率*50%+中国债券总指数收益率*40%+恒生指数收益率*5%+银行活期存款利率(税后)*5%,0.325,0.075
