ts_code,end_date,symbol,mkv,amount,stk_float_ratio,stock_name
159758.SZ,20211221,603605.SH,0.0142766,0.68,0.0,珀莱雅
159758.SZ,20211221,300760.SZ,0.01488,0.4,0.0,迈瑞医疗
159758.SZ,20211221,000799.SZ,0.012243,0.55,0.0,酒鬼酒
159758.SZ,20211221,600398.SH,0.0123456,19.2,0.0,海澜之家
159758.SZ,20211221,600566.SH,0.01857519,7.73,0.01,济川药业
159758.SZ,20211221,002027.SZ,0.0144452,18.76,0.0,分众传媒
159758.SZ,20211221,300033.SZ,0.0142396,0.97,0.0,同花顺
159758.SZ,20211221,300122.SZ,0.01566397,1.19,0.0,智飞生物
159758.SZ,20211221,603444.SH,0.0151905,0.41,0.01,吉比特
159758.SZ,20211221,300661.SZ,0.01321476,0.43,0.0,圣邦股份
159719.SZ,20211221,600688.SH,0.006285,15.0,0.0,上海石化
159719.SZ,20211221,600900.SH,0.016485,7.5,0.0,长江电力
159719.SZ,20211221,600027.SH,0.0170256,35.47,0.0,华电国际
159719.SZ,20211221,601669.SH,0.0204624,24.36,0.0,中国电建
517180.SH,20211221,600011.SH,0.01971,21.9,0.0,华能国际
517180.SH,20211221,600019.SH,0.0243848,32.6,0.0,宝钢股份
517180.SH,20211221,600028.SH,0.01488235,35.35,0.0,中国石化
517180.SH,20211221,600036.SH,0.01341695,2.65,0.0,招商银行
517180.SH,20211221,600900.SH,0.01668282,7.59,0.0,长江电力
517180.SH,20211221,600027.SH,0.0168336,35.07,0.0,华电国际
517180.SH,20211221,601088.SH,0.0264402,11.91,0.0,中国神华
517180.SH,20211221,601668.SH,0.0227908,45.4,0.0,中国建筑
517180.SH,20211221,601669.SH,0.0412608,49.12,0.0,中国电建
517180.SH,20211221,601800.SH,0.01245879,14.37,0.0,中国交建
517090.SH,20211221,0688.HK,0.059710531100000006,39.0,,
517090.SH,20211221,0728.HK,0.0611755576,294.8,0.07,
517090.SH,20211221,0762.HK,0.0186837443,59.4,,
517090.SH,20211221,0883.HK,0.0157199497,24.7,,
517090.SH,20211221,0941.HK,0.1787308598,47.25,,
517090.SH,20211221,1109.HK,0.0228528443,8.4,,
517090.SH,20211221,0552.HK,0.0216489278,73.2,,
517090.SH,20211221,1099.HK,0.0184410983,13.68,,
517090.SH,20211221,600050.SH,0.00032554,0.82,0.0,中国联通
517090.SH,20211221,600027.SH,0.0172704,35.98,0.0,华电国际
517090.SH,20211221,601669.SH,0.021798,25.95,0.0,中国电建
159718.SZ,20211221,0241.HK,0.058333086,105.0,,
159718.SZ,20211221,0013.HK,0.05308596769999999,11.75,,
159718.SZ,20211221,1177.HK,0.1138018051,257.0,,
159718.SZ,20211221,1093.HK,0.1242470222,186.6,,
159718.SZ,20211221,6618.HK,0.1266863501,24.91,,
159718.SZ,20211221,0853.HK,0.0422968795,17.73,,
159718.SZ,20211221,1548.HK,0.0683755271,24.4,,
159718.SZ,20211221,2269.HK,0.2090673325,28.85,,
159718.SZ,20211221,1801.HK,0.1234516824,28.35,,
159718.SZ,20211221,2359.HK,0.08457643880000001,7.64,0.0,
159711.SZ,20211221,0005.HK,0.0718879305,19.36,,
159711.SZ,20211221,0388.HK,0.0446135363,1.22,,
159711.SZ,20211221,0700.HK,0.08787152279999999,2.44,,
159711.SZ,20211221,0939.HK,0.048431330599999996,112.7,0.01,
159711.SZ,20211221,1398.HK,0.0283234093,81.0,0.0,
159711.SZ,20211221,2318.HK,0.032047658199999995,6.9,0.0,
159711.SZ,20211221,1299.HK,0.0726001824,11.4,,
159711.SZ,20211221,2269.HK,0.029349140299999996,4.05,,
159711.SZ,20211221,1810.HK,0.0250443383,16.66,,
159711.SZ,20211221,3690.HK,0.0879326337,4.7,,
159608.SZ,20211216,600111.SH,0.0724812,14.45,0.0,北方稀土
159608.SZ,20211216,600392.SH,0.01929032,9.31,0.01,盛和资源
159608.SZ,20211216,002240.SZ,0.02404764,4.02,0.01,盛新锂能
159608.SZ,20211216,002466.SZ,0.0745965,6.85,0.0,天齐锂业
159608.SZ,20211216,002460.SZ,0.0813891,5.33,0.01,赣锋锂业
159608.SZ,20211216,002497.SZ,0.0216212,7.64,0.01,雅化集团
159608.SZ,20211216,603993.SH,0.02679248,46.84,0.0,洛阳钼业
159608.SZ,20211216,300390.SZ,0.0208104,2.32,0.01,天华超净
159608.SZ,20211216,002176.SZ,0.0238641,11.31,0.01,江特电机
159608.SZ,20211216,603799.SH,0.07786368,6.48,0.01,华友钴业
159701.SZ,20211216,000063.SZ,0.03833438,11.62,0.0,中兴通讯
159701.SZ,20211216,600690.SH,0.034452,11.6,0.0,海尔智家
159701.SZ,20211216,002049.SZ,0.0354158,1.64,0.0,紫光国微
159701.SZ,20211216,002230.SZ,0.03614688,6.72,0.0,科大讯飞
159701.SZ,20211216,002241.SZ,0.0490428,8.55,0.0,歌尔股份
159701.SZ,20211216,300124.SZ,0.0488117,6.77,0.0,汇川技术
159701.SZ,20211216,002475.SZ,0.08399424,18.04,0.0,立讯精密
159701.SZ,20211216,000333.SZ,0.0375232,5.33,0.0,美的集团
159701.SZ,20211216,603986.SH,0.03179112,1.86,0.0,兆易创新
516350.SH,20211216,600703.SH,0.00103965,0.29,0.0,三安光电
516350.SH,20211216,600745.SH,0.00110224,0.08,0.0,闻泰科技
