ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date
511360.SH,短融ETF,海富通基金,20200803,债券型,被动指数型,中证短融指数收益率,0.15,0.05,12.17,20210930
159816.SZ,0-4地债ETF,鹏华基金,20200730,债券型,被动指数型,中证0-4年期地方政府债指数收益率,0.15,0.05,18.87,20210930
511180.SH,上证可转债ETF,海富通基金,20200713,债券型,被动指数型,上证投资级可转债及可交换债券指数收益率,0.25,0.05,2.55,20210930
159988.SZ,粤债ETF,平安基金,20200429,债券型,被动指数型,中债-0-5年广东省地方政府债指数,0.15,0.05,1.14,20210930
511380.SH,可转债ETF,博时基金,20200306,债券型,被动指数型,中证可转债及可交换债券指数收益率,0.15,0.05,6.63,20210930
511060.SH,5年地方债ETF,海富通基金,20191107,债券型,被动指数型,上证5年期地方政府债指数收益率,0.15,0.05,5.68,20210930
159972.SZ,5年地债ETF,鹏华基金,20190823,债券型,被动指数型,中证5年期地方政府债指数收益率,0.15,0.05,35.03,20210930
511030.SH,公司债ETF,平安基金,20181227,债券型,被动指数型,中债-中高等级公司债利差因子指数收益率,0.25,0.08,52.29,20210930
511020.SH,活跃国债ETF,平安基金,20181221,债券型,被动指数型,中证5-10年期国债活跃券指数收益率*100%,0.25,0.05,12.11,20210930
511270.SH,10年地方债ETF,海富通基金,20181012,债券型,被动指数型,上证10年期地方政府债指数收益率,0.25,0.1,7.07,20210930
511310.SH,10年国债ETF,富国基金,20180319,债券型,被动指数型,中证10年期国债指数收益率,0.25,0.05,0.27,20210930
161014.SZ,富国汇利定开,富国基金,20171211,债券型,债券型,中债综合指数收益率,0.5,0.15,5.43,20210930
511260.SH,十年国债ETF,国泰基金,20170804,债券型,被动指数型,上证10年期国债指数收益率,0.3,0.1,9.67,20210930
164509.SZ,国富恒利债券LOF,国海富兰克林基金,20170310,债券型,债券型,中债综合指数(全价),0.3,0.1,8.43,20210930
161626.SZ,融通通福LOF,融通基金,20161213,债券型,债券型,中债综合(全价)指数收益率,0.7,0.2,0.12,20210930
501300.SH,美元债LOF,海富通基金,20161128,债券型,债券型,巴克莱资本美国综合债券指数收益率*90%+商业银行活期存款基准利率(税后)*10%,0.9,0.25,0.22,20210930
164703.SZ,汇添富纯债LOF,汇添富基金,20161107,债券型,债券型,中债综合指数,0.3,0.1,15.5,20210930
164814.SZ,工银双债LOF,工银瑞信基金,20160926,债券型,债券型,中债企业债总全价指数收益率*60%+天相可转债指数收益率*40%,0.75,0.2,0.67,20210930
164210.SZ,天弘同利LOF,天弘基金,20160919,债券型,债券型,中债综合指数,0.35,0.1,1.17,20210930
163003.SZ,长信利鑫LOF,长信基金,20160624,债券型,债券型,中债综合指数,0.7,0.2,0.09,20210930
162215.SZ,泰达聚利债券LOF,泰达宏利基金,20160513,债券型,债券型,中债企业债总全价指数收益率*90%+中债国债总全价指数收益率*10%,0.7,0.2,0.37,20210930
160622.SZ,鹏华丰利LOF,鹏华基金,20160425,债券型,债券型,中债总指数收益率,0.7,0.2,43.61,20210930
163005.SZ,长信利众LOF,长信基金,20160204,债券型,债券型,中债综合(全价)指数,0.7,0.2,19.96,20210930
166016.SZ,中欧纯债LOF,中欧基金,20160202,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1,0.06,20210930
161823.SZ,银华永兴LOF,银华基金,20160118,债券型,债券型,中证全债指数,0.315,0.1,0.72,20210930
163907.SZ,中海惠裕LOF,中海基金,20160108,债券型,债券型,中证全债指数,0.7,0.2,0.09,20210930
164206.SZ,天弘添利LOF,天弘基金,20151203,债券型,债券型,中国债券总指数,0.35,0.1,15.85,20210930
167501.SZ,安信宝利债券LOF,安信基金,20150724,债券型,债券型,中债综合指数,0.7,0.2,3.95,20210930
166105.SZ,信达鑫安LOF,信达澳银基金,20150507,债券型,债券型,中债总财富(总值)指数收益率*80%+沪深300指数收益率*15%+金融机构人民币活期存款基准利率(税后)*5%,0.6,0.2,7.04,20210930
162108.SZ,金鹰元盛债券LOF,金鹰基金,20150504,债券型,债券型,中国债券综合财富指数收益率,0.7,0.2,0.52,20210930
166012.SZ,中欧信用LOF,中欧基金,20150420,债券型,债券型,中债综合(全价)指数,0.5,0.1,0.17,20210930
165517.SZ,信诚双盈LOF,中信保诚基金,20150414,债券型,债券型,中证综合债指数收益率,0.7,0.2,25.42,20210930
162105.SZ,金鹰持久增利LOF,金鹰基金,20150309,债券型,债券型,中国债券综合指数(财富)增长率*95%+沪深300指数增长率*5%,0.7,0.2,10.81,20210930
161716.SZ,招商双债LOF,招商基金,20150302,债券型,债券型,中债综合指数收益率*60%+天相可转债指数收益率*40%,0.6,0.2,99.27,20210930
166401.SZ,稳健增利LOF,浦银安盛基金,20141215,债券型,债券型,中证全债指数,0.3,0.1,0.2,20210930
160618.SZ,鹏华丰泽LOF,鹏华基金,20141208,债券型,债券型,中债总指数收益率,0.7,0.2,9.53,20210930
164208.SZ,天弘丰利LOF,天弘基金,20141124,债券型,债券型,中债综合指数,0.3,0.1,4.71,20210930
511220.SH,城投债ETF,海富通基金,20141113,债券型,被动指数型,上证城投债指数收益率,0.3,0.1,12.65,20210930
160513.SZ,稳健债LOF,博时基金,20140610,债券型,债券型,中证全债指数收益率,0.6,0.15,4.62,20210930
161908.SZ,万家添利LOF,万家基金,20140603,债券型,债券型,中国债券总指数,0.7,0.2,0.7,20210930
161015.SZ,富国天盈LOF,富国基金,20140523,债券型,债券型,中债综合指数,0.7,0.2,18.63,20210930
161505.SZ,银河通利债券LOF,银河基金,20140425,债券型,债券型,中债综合全价指数,0.7,0.2,6.09,20210930
160515.SZ,安丰18定开,博时基金,20130822,债券型,债券型,1年期定期存款利率(税后)*150%,0.6,0.18,5.99,20210930
166904.SZ,民生添利定开,民生加银基金,20130812,债券型,债券型,中国债券综合指数收益率,0.5,0.1,5.31,20210930
159926.SZ,国债ETF,嘉实基金,20130510,债券型,被动指数型,中证金边中期国债指数,0.3,0.1,0.06,20210930
162715.SZ,广发聚源LOF,广发基金,20130508,债券型,债券型,中债总全价指数收益率,0.3,0.1,4.39,20210930
161911.SZ,万家强化收益定开,万家基金,20130507,债券型,债券型,三年期银行定期存款收益率(税后),0.7,0.2,3.51,20210930
163210.SZ,诺安纯债定开,诺安基金,20130327,债券型,债券型,三年期定期存款收益率(税后),0.7,0.2,1.42,20210930
511010.SH,国债ETF,国泰基金,20130305,债券型,被动指数型,上证5年期国债指数收益率,0.3,0.1,9.4,20210930
166902.SZ,民生增利定开,民生加银基金,20121115,债券型,债券型,中国债券综合指数收益率,0.7,0.2,0.31,20210930
161119.SZ,易方达新综债LOF,易方达基金,20121108,债券型,被动指数型,中债-新综合指数,0.3,0.1,11.7,20210930
160621.SZ,鹏华丰和LOF,鹏华基金,20121105,债券型,债券型,中债综合指数收益率,0.8,0.2,2.59,20210930
161820.SZ,银华纯债LOF,银华基金,20120809,债券型,债券型,中债综合指数(全价),0.3,0.2,17.43,20210930
164702.SZ,汇添富季季红定开,汇添富基金,20120726,债券型,债券型,银行三年期定期存款利率(税后)+1%,0.6,0.2,0.51,20210930
164810.SZ,工银纯债定开,工银瑞信基金,20120621,债券型,债券型,三年期银行定期存款收益率(税后),0.6,0.2,2.2,20210930
161117.SZ,易基永旭添利定开,易方达基金,20120619,债券型,债券型,两年期银行定期存款收益率(税前)+0.5%,0.4,0.1,21.36,20210930
160128.SZ,南方金利定开,南方基金,20120517,债券型,债券型,三年期定期存款收益率(税后),0.6,0.18,2.66,20210930
161019.SZ,富国天锋LOF,富国基金,20120507,债券型,债券型,中债综合指数,0.6,0.2,27.17,20210930
