ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date
511670.SH,华泰天天金ETF,华泰证券资管,20170811,货币市场型,货币型,同期七天通知存款利率(税后),0.2,0.09,0.12,20210930
511620.SH,货币基金ETF,国泰基金,20170804,货币市场型,货币型,同期七天通知存款利率(税后),0.28,0.09,0.23,20210930
511770.SH,金鹰增益货币ETF,金鹰基金,20170320,货币市场型,货币型,七天通知存款利率(税后),0.28,0.08,0.03,20210930
511650.SH,华夏快线ETF,华夏基金,20161229,货币市场型,货币型,七天通知存款利率(税后),0.3,0.08,1.48,20210930
511950.SH,添利货币ETF,广发基金,20161122,货币市场型,货币型,人民币活期存款利率(税后),0.15,0.06,0.11,20210930
511690.SH,交易货币ETF,大成基金,20160929,货币市场型,货币型,中国人民银行公布的人民币活期存款基准利率(税后),0.25,0.08,23.13,20210930
511700.SH,场内货币ETF,平安基金,20160923,货币市场型,货币型,同期中国人民银行公布的七天通知存款利率(税后),0.15,0.05,2.02,20210930
511660.SH,货币ETF建信添益,建信基金,20160902,货币市场型,货币型,同期中国人民银行公布的七天通知存款利率(税前),0.25,0.08,305.27,20210930
511600.SH,货币ETF,华安基金,20160830,货币市场型,货币型,同期七天通知存款利率(税后),0.25,0.1,0.37,20210930
511970.SH,国寿货币ETF,国寿安保基金,20160704,货币市场型,货币型,7天通知存款利率(税后),0.33,0.1,0.07,20210930
511850.SH,财富宝ETF,招商基金,20160630,货币市场型,货币型,人民币活期存款基准利率(税后),0.33,0.1,49.94,20210930
511910.SH,融通货币ETF,融通基金,20160620,货币市场型,货币型,银行活期存款利率(税后),0.33,0.05,0.04,20210930
511920.SH,广发货币ETF,广发基金,20160309,货币市场型,货币型,活期存款利率(税后),0.15,0.05,0.14,20210930
511820.SH,鹏华添利ETF,鹏华基金,20160129,货币市场型,货币型,活期存款利率(税后),0.3,0.09,2.02,20210930
511960.SH,嘉实快线ETF,嘉实基金,20151228,货币市场型,货币型,按中国人民银行公布币活期存款利率(税后),0.15,0.06,0.1,20210930
511930.SH,中融日盈货币ETF,中融基金,20151130,货币市场型,货币型,七天通知存款利率(税后),0.3,0.06,0.01,20210930
511900.SH,富国货币ETF,富国基金,20151124,货币市场型,货币型,活期存款利率(税后),0.28,0.05,1.77,20210930
511980.SH,现金添富ETF,汇添富基金,20151016,货币市场型,货币型,活期存款利率(税后),0.3,0.1,0.48,20210930
511830.SH,华泰货币ETF,华泰柏瑞基金,20150714,货币市场型,货币型,当期银行活期存款利率(税后),0.15,0.09,0.19,20210930
159005.SZ,汇添富快钱ETF,汇添富基金,20141223,货币市场型,货币型,活期存款利率(税后),0.15,0.05,0.18,20210930
511810.SH,理财金货币ETF,南方基金,20141205,货币市场型,货币型,同期中国人民银行公布的七天通知存款利率(税后),0.3,0.1,52.47,20210930
511860.SH,保证金货币ETF,博时基金,20141125,货币市场型,货币型,七天通知存款利率(税后),0.3,0.09,0.82,20210930
511800.SH,易方达货币ETF,易方达基金,20141121,货币市场型,货币型,活期存款利率(税后),0.33,0.1,4.18,20210930
159003.SZ,招商快线ETF,招商基金,20130517,货币市场型,货币型,人民币活期存款基准利率(税后),0.2,0.08,3.0,20210930
511880.SH,银华日利ETF,银华基金,20130401,货币市场型,货币型,活期存款利率(税后),0.3,0.09,1308.89,20210930
159001.SZ,货币ETF,易方达基金,20130329,货币市场型,货币型,活期存款基准利率*(1-利息税税率),0.2,0.08,1.98,20210930
511990.SH,华宝添益ETF,华宝基金,20121227,货币市场型,货币型,同期七天通知存款利率(税后),0.35,0.09,1775.68,20210930
