ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date
508099.SH,建信中关村REIT,建信基金,20211203,混合型,,,0.24,0.02,28.83,20211203
180202.SZ,华夏越秀高速REIT,华夏基金,20211203,混合型,,,0.45,0.03,21.32,20211203
180101.SZ,博时蛇口产园REIT,博时基金,20210607,混合型,,,0.15,0.015,20.81,20210607
508001.SH,浙商沪杭甬REIT,浙商资管,20210607,股票型,,,0.125,0.01,43.6,20210607
508006.SH,富国首创水务REIT,富国基金,20210607,混合型,,,0.1,0.01,18.51,20210607
508000.SH,华安张江光大REIT,华安基金,20210607,混合型,,,0.55,0.01,14.95,20210607
508027.SH,东吴苏园产业REIT,东吴基金,20210607,混合型,,,0.15,0.01,34.93,20210607
180801.SZ,中航首钢绿能REIT,中航基金,20210607,混合型,,,0.1,0.05,13.39,20210607
508056.SH,中金普洛斯REIT,中金基金,20210607,混合型,,,0.7,0.01,58.37,20210607
180201.SZ,平安广州广河REIT,平安基金,20210607,混合型,,,0.115,0.03,91.14,20210607
180301.SZ,红土盐田港REIT,红土创新基金,20210607,股票型,,,0.3,0.01,18.41,20210607
