ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
511360.SH,短融ETF,海富通基金,20200803,债券型,被动指数型,中证短融指数收益率,0.15,0.05,唐灵儿 陈轶平,156.13,20220930,,,,,,,,,0.010734999999999939,0.028220057680796724,0.021434523477327057,0.06153399999999998
159816.SZ,0-4地债ETF,鹏华基金,20200730,债券型,被动指数型,中证0-4年期地方政府债指数收益率,0.15,0.05,叶朝明,16.54,20220930,,,,,,,,,0.005438169999999909,0.034445718327960555,0.025482409036204252,0.06657472999999992
511180.SH,上证可转债ETF,海富通基金,20200713,债券型,被动指数型,上证投资级可转债及可交换债券指数收益率,0.25,0.05,唐灵儿 陈轶平,1.04,20220930,,,,,,,,,0.00990000000000002,0.10898108723636007,-0.08032429729633205,0.030000000000000027
511380.SH,可转债ETF,博时基金,20200306,债券型,被动指数型,中证可转债及可交换债券指数收益率,0.15,0.05,邓欣雨,12.06,20220930,,,,,,,,,0.03656989999999993,0.17631225834360054,-0.10112931047010845,0.09601989
511060.SH,5年地方债ETF,海富通基金,20191107,债券型,被动指数型,上证5年期地方政府债指数收益率,0.15,0.05,唐灵儿 陈轶平,5.66,20220930,,,,,,,,0.005062706717240647,0.022750553419319544,0.045647415232185636,0.030004369385007137,0.10710093373505965
159972.SZ,5年地债ETF,鹏华基金,20190823,债券型,被动指数型,中证5年期地方政府债指数收益率,0.15,0.05,叶朝明,39.16,20220930,,,,,,,,0.017290000000000028,0.026055185836880206,0.04913429034310631,0.029581305083097822,0.1274757900000001
511030.SH,公司债ETF,平安基金,20181227,债券型,被动指数型,中债-中高等级公司债利差因子指数收益率,0.25,0.08,成钧,52.87,20220930,,,,,,,0.00019999999999997797,0.03655411999999991,0.029230658983826135,0.04019416803030312,-0.0018481626813532648,0.10768358999999994
511020.SH,活跃国债ETF,平安基金,20181221,债券型,被动指数型,中证5-10年期国债活跃券指数收益率*100%,0.25,0.05,成钧,12.06,20220930,,,,,,,0.0009999999999998899,0.030110693583849667,0.021531057307453104,0.04810384524034389,0.019637512949891703,0.1252424000000001
511270.SH,10年地方债ETF,海富通基金,20181012,债券型,被动指数型,上证10年期地方政府债指数收益率,0.25,0.1,唐灵儿 陈轶平,7.13,20220930,,,,,,,0.03750000000000009,0.05371159336419751,0.026350610035890846,0.046651800447581174,0.04393451708181971,0.2251463600000001
511310.SH,10年国债ETF,富国基金,20180319,债券型,被动指数型,中证10年期国债指数收益率,0.25,0.05,朱征星,0.13,20220930,,,,,,,0.06400000000000006,0.02707009960533729,0.017762907499304634,0.04714843184651879,0.012030506356063323,0.1788860000000001
