ts_code,end_date,symbol,mkv,amount,stk_float_ratio,stock_name,fund_name
166009.SZ,20220930,000002.SZ,1.7840211241,1000.5727,0.1,万科A,中欧动力LOF
166009.SZ,20220930,002120.SZ,1.5711216540000001,1003.9116,0.36,韵达股份,中欧动力LOF
166009.SZ,20220930,002472.SZ,0.679064505,233.3555,0.34,双环传动,中欧动力LOF
166009.SZ,20220930,002643.SZ,0.8461157454000001,580.3263,0.65,万润股份,中欧动力LOF
166009.SZ,20220930,300454.SZ,1.604006,160.4006,0.59,深信服,中欧动力LOF
166009.SZ,20220930,300498.SZ,1.10632991,539.41,0.1,温氏股份,中欧动力LOF
166009.SZ,20220930,300747.SZ,0.6741379279999999,305.026,0.62,锐科激光,中欧动力LOF
166009.SZ,20220930,300973.SZ,0.8395601984000001,97.3516,1.37,立高食品,中欧动力LOF
166009.SZ,20220930,600166.SH,0.9260481,3603.3,0.55,福田汽车,中欧动力LOF
166009.SZ,20220930,601012.SH,0.9479003081999999,197.8502,0.03,隆基绿能,中欧动力LOF
166006.SZ,20220930,002475.SZ,2.231260962,758.9323,0.11,立讯精密,中欧成长LOF
166006.SZ,20220930,300012.SZ,4.403963443,2164.1098,1.42,华测检测,中欧成长LOF
166006.SZ,20220930,300750.SZ,1.9455592590000002,48.531,0.02,宁德时代,中欧成长LOF
166006.SZ,20220930,600519.SH,2.400545,12.82,0.01,贵州茅台,中欧成长LOF
166006.SZ,20220930,600941.SH,1.414512996,207.012,0.43,中国移动,中欧成长LOF
166006.SZ,20220930,601899.SH,1.67339312,2134.43,0.1,紫金矿业,中欧成长LOF
166006.SZ,20220930,603986.SH,1.982784375,211.497,0.32,兆易创新,中欧成长LOF
166006.SZ,20220930,688116.SH,1.8766225929,162.9437,0.7,天奈科技,中欧成长LOF
166006.SZ,20220930,688122.SH,3.174023727,296.943,0.64,西部超导,中欧成长LOF
166006.SZ,20220930,688268.SH,1.3547760336,120.5424,3.42,华特气体,中欧成长LOF
166001.SZ,20220930,000738.SZ,2.0628435984,821.1957,0.66,航发控制,中欧趋势LOF
166001.SZ,20220930,002142.SZ,2.1765105085,689.8607,0.11,宁波银行,中欧趋势LOF
166001.SZ,20220930,002459.SZ,2.337306304,364.976,0.34,晶澳科技,中欧趋势LOF
