stock_name,hold_num
贵州茅台,2562
宁德时代,2404
东方财富,1529
招商银行,1361
隆基股份,1318
五粮液,1254
药明康德,968
伊利股份,940
泸州老窖,931
立讯精密,917
美的集团,879
海康威视,788
亿纬锂能,754
迈瑞医疗,735
宁波银行,720
兴业银行,639
比亚迪,626
歌尔股份,618
保利发展,570
阳光电源,570
韦尔股份,564
中国平安,561
紫光国微,536
中信证券,495
山西汾酒,483
海尔智家,479
天齐锂业,475
北方华创,443
平安银行,441
华友钴业,434
中国中免,431
长江电力,416
恩捷股份,389
万科A,362
万华化学,356
凯莱英,337
兆易创新,337
三峡能源,331
赣锋锂业,317
广发证券,314
智飞生物,313
东方雨虹,306
先导智能,306
闻泰科技,289
振华科技,283
汇川技术,278
恒生电子,275
中航光电,274
海大集团,269
天赐材料,265
通威股份,258
福斯特,258
恒瑞医药,255
爱尔眼科,255
天合光能,252
长春高新,252
紫金矿业,251
分众传媒,243
工商银行,240
华泰证券,224
中环股份,223
泰格医药,221
洋河股份,216
三安光电,215
晶澳科技,214
金地集团,209
温氏股份,209
抚顺特钢,202
盐湖股份,201
航发动力,198
国芯科技,198
中国移动,197
片仔癀,196
杉杉股份,196
中国电信,195
中天科技,194
中航重机,191
顺丰控股,189
舍得酒业,188
国电南瑞,187
牧原股份,186
永兴材料,184
宏发股份,184
博腾股份,183
正泰电器,180
三七互娱,180
芒果超媒,178
中国神华,178
福耀玻璃,176
中兴通讯,175
九洲药业,174
赛轮轮胎,172
中国建筑,172
晶晨股份,166
格力电器,165
海螺水泥,163
青岛啤酒,162
京东方A,162
明泰铝业,162
三环集团,162
圣邦股份,160
广联达,159
招商蛇口,157
航天电器,155
璞泰来,154
欣旺达,154
卫星化学,154
浪潮信息,153
北方稀土,152
三一重工,150
卓胜微,149
思瑞浦,148
古井贡酒,147
晶盛机电,147
澜起科技,143
邮储银行,143
华域汽车,143
华鲁恒升,142
大华股份,141
沃森生物,141
顾家家居,138
中航机电,137
德赛西威,132
法拉电子,131
新宙邦,129
爱美客,128
中国核电,125
中科创达,124
传音控股,122
迈为股份,120
东方证券,120
农业银行,119
科大讯飞,118
士兰微,118
东山精密,116
陕西煤业,115
建设银行,114
交通银行,113
中国巨石,112
