stock_name,hold_num
贵州茅台,9
万科A,6
海康威视,5
迈瑞医疗,5
五粮液,5
隆基绿能,4
泸州老窖,4
招商银行,4
伊利股份,4
宁德时代,4
保利发展,4
中国建筑,4
国芯科技,3
宁波银行,3
荣盛石化,3
中国中免,3
华能国际,3
比亚迪,3
三安光电,3
闻泰科技,3
格科微,2
恒瑞医药,2
华域汽车,2
宋城演艺,2
古井贡酒,2
普冉股份,2
爱尔眼科,2
国光电气,2
中国平安,2
长春高新,2
凯莱英,2
壹石通,2
炬光科技,2
华工科技,2
兴业银行,2
锦江酒店,2
中国太保,2
工商银行,2
长江电力,2
顺络电子,2
东方财富,2
中国核电,2
平安银行,2
晶晨股份,2
卓然股份,2
春秋航空,2
芒果超媒,2
金地集团,2
立讯精密,2
兆易创新,2
片仔癀,2
亿纬锂能,2
中信证券,1
万泰生物,1
航宇科技,1
新锐股份,1
康龙化成,1
申万宏源,1
广发证券,1
绝味食品,1
海通证券,1
博腾股份,1
东方证券,1
招商证券,1
建设银行,1
正泰电器,1
国泰君安,1
东富龙,1
今世缘,1
九洲药业,1
奕瑞科技,1
石基信息,1
歌尔股份,1
智飞生物,1
新和成,1
云南白药,1
键凯科技,1
邮储银行,1
美迪西,1
兴业证券,1
复星医药,1
酒鬼酒,1
洋河股份,1
重庆啤酒,1
青岛啤酒,1
百济神州-U,1
山西汾酒,1
旗滨集团,1
华泰证券,1
吉比特,1
中集集团,1
上海银行,1
农业银行,1
交通银行,1
TCL科技,1
双汇发展,1
南京银行,1
惠泰医疗,1
金博股份,1
风华高科,1
中国电信,1
天融信,1
第一创业,1
通威股份,1
中航产融,1
盛屯矿业,1
杉杉股份,1
容百科技,1
明阳智能,1
胜宏科技,1
民生银行,1
浦发银行,1
中际旭创,1
大全能源,1
珠海冠宇,1
厦钨新能,1
赣锋锂业,1
天齐锂业,1
天赐材料,1
恩捷股份,1
汇川技术,1
国投电力,1
纽威数控,1
海螺水泥,1
先导智能,1
南网科技,1
浙江医药,1
华友钴业,1
沃森生物,1
华能水电,1
陕鼓动力,1
天邦食品,1
联创电子,1
恒生电子,1
高德红外,1
晶澳科技,1
龙佰集团,1
健帆生物,1
康泰生物,1
圣邦股份,1
赛力斯,1
东方雨虹,1
巨星科技,1
国联股份,1
周大生,1
顾家家居,1
隆平高科,1
招商蛇口,1
登海种业,1
大北农,1
中直股份,1
中航高科,1
航发动力,1
韵达股份,1
京东方A,1
润达医疗,1
航民股份,1
广汇汽车,1
浪潮信息,1
万润股份,1
锐科激光,1
伯特利,1
中航光电,1
华测检测,1
兴发集团,1
天奈科技,1
西部超导,1
圣农发展,1
阳光电源,1
恒力石化,1
福耀玻璃,1
吉祥航空,1
冀东水泥,1
大亚圣象,1
宁波华翔,1
富安娜,1
垒知集团,1
老板电器,1
老凤祥,1
健友股份,1
唐人神,1
京沪高铁,1
春风动力,1
太阳纸业,1
鸿路钢构,1
盈趣科技,1
鹏鼎控股,1
亿联网络,1
桃李面包,1
天康生物,1
牧原股份,1
中国神华,1
温氏股份,1
长川科技,1
中国国航,1
傲农生物,1
芯朋微,1
紫光国微,1
普洛药业,1
万华化学,1
海尔智家,1
三峡能源,1
中航重机,1
北方华创,1
药明康德,1
广联达,1
豪迈科技,1
视源股份,1
光线传媒,1
法拉电子,1
海天味业,1
国瓷材料,1
韦尔股份,1
苏泊尔,1
银轮股份,1
蓝晓科技,1
光威复材,1
瑞丰新材,1
国电南瑞,1
应流股份,1
大地熊,1
松井股份,1
霍莱沃,1
海大集团,1
博拓生物,1
