stock_name,hold_num
贵州茅台,2437
宁德时代,1752
五粮液,1164
泸州老窖,1072
比亚迪,780
招商银行,737
中国中免,721
阳光电源,710
立讯精密,685
亿纬锂能,670
迈瑞医疗,667
中国平安,663
宁波银行,657
隆基绿能,625
东方财富,590
山西汾酒,559
药明康德,556
保利发展,538
美的集团,481
兴业银行,460
紫金矿业,431
晶澳科技,426
紫光国微,416
海康威视,415
平安银行,402
万科A,400
爱尔眼科,398
天合光能,397
伊利股份,371
万华化学,366
顺丰控股,366
金山办公,356
恒瑞医药,355
长江电力,349
爱美客,342
海尔智家,319
中信证券,317
洋河股份,311
恒生电子,296
汇川技术,295
华鲁恒升,292
派能科技,287
中航光电,284
纳思达,271
智飞生物,268
中国建筑,257
安井食品,256
古井贡酒,255
泰格医药,252
中航重机,250
东方电缆,246
北方华创,239
人福医药,238
振华科技,237
东方雨虹,236
格力电器,236
鹏辉能源,235
固德威,229
德业股份,228
陕西煤业,223
温氏股份,223
分众传媒,218
石英股份,216
通威股份,214
中国人寿,214
锦浪科技,211
华东医药,208
招商蛇口,208
海大集团,206
江苏银行,205
TCL中环,204
广联达,198
康龙化成,198
中国国航,196
上海机场,195
中国神华,193
金地集团,188
青岛啤酒,188
天齐锂业,184
工商银行,183
伯特利,182
今世缘,181
兆易创新,179
舍得酒业,178
中国移动,178
重庆啤酒,174
邮储银行,173
华友钴业,172
西部超导,170
圣邦股份,168
广汇能源,166
中国海油,166
晶盛机电,160
华能国际,159
中天科技,159
恩捷股份,158
牧原股份,156
科士达,154
中国软件,152
澜起科技,152
开立医疗,151
通策医疗,150
赣锋锂业,150
深信服,149
三环集团,145
中科创达,145
东山精密,144
成都银行,143
福斯特,143
亨通光电,142
绝味食品,142
锦江酒店,141
菲利华,137
中国船舶,137
赛轮轮胎,134
常熟银行,134
中国太保,133
国联股份,132
中兴通讯,131
捷佳伟创,131
晶科能源,130
拓普集团,129
福耀玻璃,129
三一重工,128
广发证券,126
九洲药业,125
迈为股份,125
科伦药业,125
海螺水泥,123
欧派家居,122
华海药业,121
春秋航空,120
禾迈股份,120
中航沈飞,119
光威复材,118
圆通速递,118
大金重工,118
三花智控,117
用友网络,116
东方电气,116
爱旭股份,114
华电国际,114
长春高新,112
卓胜微,112
顾家家居,110
科华数据,110
杭州银行,109
华恒生物,109
苏试试验,107
建发股份,107
奕瑞科技,107
中国核电,107
奥特维,106
昱能科技,106
中控技术,106
杭氧股份,105
迎驾贡酒,105
天赐材料,104
尚太科技,104
片仔癀,102
兖矿能源,101
中国电信,101
首旅酒店,100
凯莱英,100
吉祥航空,98
宝信软件,97
安琪酵母,96
华泰证券,96
京沪高铁,95
伟星新材,94
百润股份,93
华大九天,93
瑞丰新材,93
中微公司,91
中炬高新,91
同仁堂,90
科达利,90
法拉电子,89
赤峰黄金,89
银泰黄金,89
旗滨集团,89
斯达半导,89
贝泰妮,89
山东黄金,88
明阳智能,88
永兴材料,87
南方航空,87
宏发股份,87
大北农,87
航天电器,87
华润三九,86
中国电建,85
老白干酒,85
航发动力,85
钧达股份,84
农业银行,84
益丰药房,83
三七互娱,83
苏州银行,82
新雷能,82
三峡能源,81
海天味业,81
普瑞眼科,81
建设银行,81
巨化股份,80
恒立液压,80
继峰股份,80
抚顺特钢,79
鸿路钢构,79
璞泰来,79
华测检测,78
江海股份,77
环旭电子,77
德方纳米,77
复旦微电,76
新莱应材,76
珀莱雅,76
联影医疗,76
思源电气,75
长川科技,75
高测股份,75
传音控股,75
意华股份,74
明泰铝业,74
国际医学,73
金域医学,72
德赛西威,72
王府井,72
融捷股份,72
海泰新光,72
中航西飞,71
闻泰科技,70
新宙邦,70
中远海能,69
中芯国际,69
交通银行,69
海信视像,69
天顺风能,68
晨光股份,68
神火股份,68
鼎龙股份,68
新点软件,67
新城控股,67
南京银行,67
爱博医疗,67
新泉股份,67
大秦铁路,66
圣农发展,66
江丰电子,66
恩华药业,65
太极集团,65
一心堂,65
南网科技,65
久立特材,64
中矿资源,64
燕京啤酒,64
双环传动,64
大参林,63
东威科技,63
星源材质,63
先导智能,63
天山铝业,63
思瑞浦,63
晶晨股份,63
中航高科,62
聚光科技,62
航天宏图,62
星宇股份,61
山西焦煤,61
七一二,61
华熙生物,61
中国中铁,60
宋城演艺,60
春风动力,60
华宝新能,60
欣旺达,60
钢研高纳,60
百济神州-U,59
三角防务,59
亿联网络,58
三星医疗,58
金禾实业,58
航宇科技,58
普洛药业,57
华发股份,57
中国联通,57
吉比特,57
东方证券,57
比音勒芬,57
卫星化学,57
老板电器,57
鹏鼎控股,57
长安汽车,56
裕同科技,56
杰瑞股份,56
TCL科技,55
鱼跃医疗,55
湘电股份,55
特变电工,55
韦尔股份,55
正泰电器,55
纳芯微,55
浙江鼎力,55
同花顺,55
中国东航,55
京东方A,55
拓荆科技-U,54
卫宁健康,54
华域汽车,54
景津装备,54
广立微,54
沃森生物,53
招商南油,53
白云机场,53
国电南瑞,53
聚辰股份,53
扬农化工,53
鸿远电子,53
迪威尔,53
华峰测控,52
隆平高科,52
澳华内镜,51
华大智造,51
顺络电子,51
电科网安,51
太阳纸业,50
天奈科技,50
航发控制,50
东阿阿胶,50
云铝股份,50
荣盛石化,50
天华超净,50
芯源微,49
富创精密,49
巨星农牧,49
中国重汽,49
美迪西,49
三诺生物,49
韵达股份,49
海优新材,49
联化科技,48
芒果超媒,48
济川药业,48
盛路通信,47
惠泰医疗,47
欧晶科技,47
安图生物,47
中国化学,47
远光软件,47
创业慧康,46
中国汽研,46
坚朗五金,46
鸣志电器,46
金钼股份,46
潞安环能,46
联赢激光,46
宝钢股份,46
天马科技,46
乐普医疗,46
药石科技,45
山煤国际,45
高能环境,45
石头科技,45
心脉医疗,45
恒力石化,45
图南股份,45
祥鑫科技,45
欧普康视,45
时代电气,45
鼎胜新材,45
中科江南,45
酒鬼酒,44
桐昆股份,44
中国铁建,44
中国石化,44
盛弘股份,44
雅化集团,44
顶点软件,43
天地科技,43
华厦眼科,43
东诚药业,43
润丰股份,43
招商轮船,43
正帆科技,42
梅花生物,42
海通证券,42
湖南黄金,42
双汇发展,42
远兴能源,42
华秦科技,42
中钨高新,42
国联证券,42
中国巨石,42
双良节能,42
常熟汽饰,41
水晶光电,41
启明星辰,41
振华风光,41
盟升电子,41
上海电力,41
东鹏饮料,41
玲珑轮胎,41
帝尔激光,41
英维克,41
华荣股份,41
索通发展,40
万泰生物,40
老百姓,40
爱柯迪,40
三安光电,40
兔宝宝,40
山东药玻,40
神州数码,40
泰和新材,39
中金黄金,39
光大银行,39
君实生物-U,39
安集科技,39
中煤能源,39
江特电机,39
振芯科技,39
银轮股份,39
万润股份,39
三棵树,39
昭衍新药,39
海容冷链,39
中国银行,38
伟星股份,38
口子窖,38
森麒麟,38
瀚蓝环境,38
志邦家居,38
健之佳,38
立高食品,38
精功科技,38
周大生,38
太极股份,37
海信家电,37
国泰君安,37
禾望电气,37
洛阳钼业,36
铂科新材,36
索菲亚,36
新和成,36
西藏矿业,36
达仁堂,36
柏楚电子,36
蓝晓科技,36
中信博,36
润建股份,36
盐湖股份,36
中航机电,35
新产业,35
安恒信息,35
德邦股份,35
睿创微纳,35
旭升集团,35
士兰微,35
宝丰能源,35
骄成超声,35
科大讯飞,35
致远互联,34
金诚信,34
当升科技,34
科锐国际,34
百利天恒-U,34
福能股份,34
兴业证券,34
国电电力,34
科思股份,34
中直股份,34
华菱钢铁,34
荣昌生物,34
华夏航空,33
中科电气,33
德新科技,33
云南铜业,33
紫光股份,33
老凤祥,33
登海种业,33
陕鼓动力,33
赛意信息,32
新凤鸣,32
日月股份,32
天宜上佳,32
帝奥微,32
洽洽食品,32
亚钾国际,32
平煤股份,31
国瓷材料,31
中信特钢,31
潍柴动力,31
康缘药业,31
永创智能,31
川仪股份,31
中牧股份,31
扬杰科技,31
厦门钨业,31
横店东磁,31
中顺洁柔,30
隆盛科技,30
华贸物流,30
我武生物,30
安路科技-U,30
盾安环境,30
中旗股份,30
喜临门,30
皓元医药,30
千禾味业,30
昊华科技,30
西藏珠峰,30
淮北矿业,30
粤电力A,30
兴齐眼药,30
芯碁微装,30
广汇物流,30
宝新能源,30
广汽集团,30
中瓷电子,29
永泰能源,29
海光信息,29
招商证券,29
新洋丰,29
金博股份,29
国投电力,29
健帆生物,29
科沃斯,29
利尔化学,29
中国能建,29
宏微科技,29
容知日新,29
兴发集团,29
景旺电子,29
科顺股份,29
聚和材料,28
天坛生物,28
特宝生物,28
视源股份,28
千味央厨,28
宏华数科,28
博腾股份,28
东微半导,28
华特达因,28
盐津铺子,28
长城汽车,28
保隆科技,28
宇信科技,28
中际旭创,28
吉大正元,28
华懋科技,28
水井坊,28
汤臣倍健,28
万丰奥威,27
川恒股份,27
峰岹科技,27
雅克科技,27
电连技术,27
滨江集团,27
中国人保,27
复星医药,27
卫信康,27
东吴证券,27
川投能源,27
三一重能,27
科陆电子,27
北方稀土,27
铭利达,27
天康生物,27
博实股份,27
天润乳业,26
普源精电-U,26
同和药业,26
华利集团,26
贝达药业,26
仙琚制药,26
阳光诺和,26
浦发银行,26
仕净科技,26
新宝股份,26
云南白药,26
杰华特,26
格林美,26
锐科激光,26
苑东生物,26
宇邦新材,26
佐力药业,26
国博电子,26
明冠新材,25
震安科技,25
中国交建,25
应流股份,25
新奥股份,25
立华股份,25
石基信息,25
源杰科技,25
中青旅,25
拱东医疗,25
民生银行,25
华阳股份,25
佳缘科技,25
新劲刚,25
华锐精密,25
华峰铝业,25
东方盛虹,25
诺诚健华-U,25
南都电源,25
金雷股份,25
沪电股份,25
中简科技,25
华铁应急,25
洁美科技,24
良信股份,24
芯朋微,24
威腾电气,24
派克新材,24
艾华集团,24
许继电气,24
美畅股份,24
网宿科技,24
中南传媒,24
利安隆,24
炬华科技,24
移远通信,24
普莱柯,24
