stock_name,hold_num
宁德时代,135
招商银行,102
贵州茅台,96
东方财富,91
隆基股份,89
中国平安,76
五粮液,75
迈瑞医疗,70
兴业银行,64
美的集团,63
长江电力,61
立讯精密,57
海康威视,56
亿纬锂能,55
药明康德,52
比亚迪,48
智飞生物,47
国芯科技,47
阳光电源,45
恒瑞医药,42
中信证券,40
汇川技术,40
伊利股份,38
内蒙新华,37
韦尔股份,35
沃森生物,35
中国中免,35
泸州老窖,35
恩捷股份,33
长江材料,33
先导智能,32
温氏股份,32
宁波银行,31
歌尔股份,29
华友钴业,27
爱尔眼科,27
工商银行,26
科大讯飞,25
格力电器,24
振华科技,23
赣锋锂业,23
山西汾酒,23
凯莱英,22
泰格医药,21
紫光国微,21
通威股份,21
长春高新,21
交通银行,21
中环股份,21
抚顺特钢,21
汇通集团,20
京东方A,20
用友网络,20
万华化学,19
中国电信,19
恒生电子,19
海通证券,18
格林美,18
三安光电,18
炬光科技,18
中芯国际,18
亚虹医药-U,18
中粮工科,17
天齐锂业,17
广发证券,17
中兴通讯,17
平安银行,17
万科A,16
天赐材料,16
闻泰科技,16
卓胜微,16
美锦能源,16
深信服,16
兆易创新,16
华泰证券,16
招商证券,15
怡合达,15
海尔智家,15
中国建筑,15
中天科技,15
国泰君安,15
东方证券,15
宏发股份,15
雷电微力,15
保利发展,14
紫金矿业,14
永泰能源,14
天源环保,14
广联达,14
凯盛新材,14
康泰生物,13
明阳智能,13
国电南瑞,13
晶晨股份,13
中航光电,13
浪潮信息,13
海天味业,13
芒果超媒,13
复星医药,13
北方华创,13
农业银行,13
东方雨虹,13
杉杉股份,13
完美世界,12
牧原股份,12
中国宝安,12
北方稀土,12
中国神华,12
三一重工,12
片仔癀,12
三七互娱,11
兴业证券,11
爱美客,11
圣邦股份,11
金山办公,11
申万宏源,11
品高股份,11
洋河股份,11
澜起科技,11
四维图新,11
民生银行,11
普冉股份,10
大北农,10
宏华数科,10
航发动力,10
中航机电,10
中航重机,10
时代电气,10
南模生物,10
上海银行,9
大华股份,9
海大集团,9
浦发银行,9
思瑞浦,9
概伦电子,9
分众传媒,9
金地集团,9
中国铝业,9
康龙化成,9
西部超导,9
宝钢股份,9
同花顺,8
卫士通,8
酒鬼酒,8
欣旺达,8
中国太保,8
福斯特,8
晶盛机电,8
鹏鼎控股,8
盛美上海,8
通策医疗,8
盛新锂能,8
荣盛石化,8
欧普康视,8
特变电工,8
振华新材-U,8
万泰生物,8
珠海冠宇,8
顺丰控股,8
天合光能,8
诺唯赞,8
金域医学,8
天华超净,8
德赛西威,7
华测检测,7
传音控股,7
长川科技,7
招商蛇口,7
科德数控,7
中微公司,7
昆仑万维,7
海螺水泥,7
中国电建,7
洛阳钼业,7
璞泰来,7
格科微,7
中科创达,7
百济神州-U,7
士兰微,7
吉比特,7
云南白药,7
芳源股份,7
南山铝业,7
中航沈飞,7
正泰电器,7
长城汽车,7
安路科技-U,7
天奈科技,7
重庆啤酒,7
优宁维,7
东芯股份,6
中国中车,6
容百科技,6
中航西飞,6
TCL科技,6
上汽集团,6
华润材料,6
宏微科技,6
青岛啤酒,6
世纪华通,6
久祺股份,6
中直股份,6
紫光股份,6
中国中铁,6
福耀玻璃,6
今世缘,6
三环集团,6
永安期货,6
新锐股份,6
兖矿能源,6
禾迈股份,6
国光电气,6
蓝色光标,6
卫宁健康,6
复旦微电,6
博拓生物,6
厦钨新能,6
中国铁建,6
鱼跃医疗,5
中远海控,5
顾家家居,5
和达科技,5
钢研高纳,5
菲利华,5
盛和资源,5
瑞可达,5
东山精密,5
山东黄金,5
大族激光,5
晶澳科技,5
宋城演艺,5
中国移动,5
卫星化学,5
永兴材料,5
华域汽车,5
华大基因,5
壹石通,5
国轩高科,5
法拉电子,5
圣农发展,5
健帆生物,5
三六零,5
古井贡酒,5
长远锂科,5
南钢股份,5
鸿路钢构,5
能辉科技,5
大全能源,5
中航高科,5
天康生物,5
潍柴动力,4
新莱应材,4
中科曙光,4
航宇科技,4
建设银行,4
中国石化,4
大东方,4
安旭生物,4
倍轻松,4
京沪高铁,4
傲农生物,4
电投能源,4
景旺电子,4
天微电子,4
华能国际,4
海力风电,4
三花智控,4
光威复材,4
东吴证券,4
当升科技,4
裕同科技,4
新和成,4
炬芯科技-U,4
科沃斯,4
中国石油,4
中国化学,4
云路股份,4
千金药业,4
天邦股份,4
凯旺科技,4
欧派家居,4
新希望,4
赛轮轮胎,4
卓然股份,4
航天电器,4
杰克股份,4
国力股份,4
博腾股份,4
包钢股份,4
乐普医疗,4
中国交建,4
金风科技,4
双汇发展,4
海优新材,4
粤万年青,4
东方明珠,4
恒力石化,4
华发股份,4
禾信仪器,4
南网科技,4
江铃汽车,4
英科再生,4
润丰股份,4
亿联网络,4
