stock_name,hold_num
贵州茅台,1362
宁德时代,1276
东方财富,790
招商银行,730
隆基股份,728
五粮液,677
伊利股份,537
泸州老窖,523
美的集团,522
药明康德,513
立讯精密,467
宁波银行,448
海康威视,437
保利发展,365
亿纬锂能,353
迈瑞医疗,330
兴业银行,318
比亚迪,318
阳光电源,318
歌尔股份,308
韦尔股份,283
海尔智家,267
天齐锂业,262
紫光国微,258
中国平安,253
万科A,248
山西汾酒,248
平安银行,240
中信证券,237
三峡能源,237
华友钴业,225
恩捷股份,219
长江电力,215
中国中免,209
北方华创,199
兆易创新,191
恒生电子,184
凯莱英,180
万华化学,174
智飞生物,171
中航光电,168
先导智能,166
福斯特,162
金地集团,161
赣锋锂业,160
洋河股份,159
闻泰科技,156
爱尔眼科,154
紫金矿业,154
振华科技,152
长春高新,149
通威股份,144
广发证券,143
东方雨虹,140
泰格医药,135
天赐材料,133
中国移动,133
中环股份,128
杉杉股份,127
温氏股份,127
盐湖股份,126
天合光能,126
汇川技术,123
福耀玻璃,122
工商银行,121
招商蛇口,120
璞泰来,119
恒瑞医药,119
分众传媒,119
海大集团,116
抚顺特钢,114
正泰电器,112
三环集团,112
航发动力,112
青岛啤酒,111
华泰证券,111
博腾股份,109
圣邦股份,109
海螺水泥,107
永兴材料,107
中国建筑,105
芒果超媒,105
邮储银行,104
赛轮轮胎,104
晶澳科技,103
航天电器,101
舍得酒业,100
三一重工,100
中国神华,99
晶晨股份,98
三安光电,97
中航重机,96
三七互娱,96
广联达,96
浪潮信息,94
思瑞浦,94
古井贡酒,93
国电南瑞,89
九洲药业,87
晶盛机电,87
片仔癀,86
星宇股份,86
牧原股份,82
中兴通讯,81
京东方A,80
鸿路钢构,79
新宙邦,79
金禾实业,77
中国船舶,77
建设银行,77
陕西煤业,77
中国国航,76
中天科技,76
传音控股,75
华鲁恒升,75
中航机电,75
爱美客,74
中国核电,74
中国电信,73
老板电器,73
迈为股份,73
大华股份,72
深信服,72
菲利华,72
顾家家居,71
洽洽食品,71
华域汽车,71
荣盛石化,70
顺丰控股,70
鹏鼎控股,70
中国化学,70
格力电器,69
伯特利,69
卫星化学,68
卓胜微,68
中国电建,68
宏发股份,68
长川科技,67
中航高科,67
东阿阿胶,66
东山精密,66
华能国际,66
中科创达,66
东方电缆,66
杭州银行,64
普洛药业,64
法拉电子,62
欧派家居,62
福莱特,62
金域医学,61
春秋航空,61
明泰铝业,60
欣旺达,60
澜起科技,59
安琪酵母,59
亿联网络,58
重庆啤酒,58
云南白药,58
中直股份,57
士兰微,57
康龙化成,56
旗滨集团,55
扬农化工,55
吉比特,55
明阳智能,54
沃森生物,54
德赛西威,54
长信科技,54
北方稀土,54
用友网络,53
广汇能源,53
完美世界,53
天奈科技,53
宋城演艺,53
华工科技,52
和而泰,52
当升科技,52
农业银行,52
迎驾贡酒,52
江苏银行,52
华海药业,52
中国巨石,51
成都银行,51
交通银行,51
美迪西,51
容百科技,50
天华超净,50
韵达股份,50
天顺风能,50
华测检测,50
中航西飞,50
东方证券,50
普利制药,50
卫宁健康,49
中鼎股份,49
华峰测控,48
伟星新材,48
一心堂,48
中航沈飞,48
长城汽车,47
吉祥航空,47
山东药玻,47
南山铝业,47
恒立液压,47
锦江酒店,47
酒鬼酒,46
宝钛股份,46
南方航空,46
同花顺,45
万泰生物,44
融捷股份,44
纳思达,44
通策医疗,44
日月股份,43
三花智控,43
德业股份,43
金山办公,43
浙江鼎力,42
太阳纸业,42
南京银行,42
大北农,42
东富龙,41
西部超导,41
特变电工,41
中国太保,41
科达制造,41
杰瑞股份,41
安井食品,41
兴发集团,41
科沃斯,40
北新建材,40
锦浪科技,40
光线传媒,40
中科电气,40
震安科技,39
拓普集团,39
广宇发展,39
时代电气,39
坚朗五金,39
兴业证券,39
大族激光,38
甬金股份,38
科大讯飞,38
中微公司,38
中芯国际,38
联赢激光,38
金博股份,38
柏楚电子,37
今世缘,37
蔚蓝锂芯,37
华东医药,37
石头科技,37
盛新锂能,37
海天味业,37
欧普康视,37
壹石通,36
绝味食品,36
比音勒芬,36
首旅酒店,36
格林美,36
海容冷链,35
思源电气,35
帝尔激光,35
锐科激光,35
江海股份,35
国芯科技,35
光威复材,35
宏达电子,35
嘉元科技,35
百润股份,35
斯达半导,34
三利谱,34
兖矿能源,34
博雅生物,34
亨通光电,34
水井坊,34
中钨高新,33
久立特材,33
长盈精密,33
北京君正,33
国瓷材料,33
周大生,33
常熟银行,32
三角防务,32
创业慧康,32
万润股份,32
药石科技,32
圆通速递,32
台华新材,32
高能环境,32
大金重工,32
登海种业,32
新泉股份,31
国泰君安,31
健友股份,31
生益科技,31
双汇发展,31
裕同科技,31
光大银行,31
潍柴动力,31
三星医疗,30
顺络电子,30
新城控股,30
山东赫达,30
科达利,30
富瀚微,30
新莱应材,30
中国东航,30
贝泰妮,30
德方纳米,30
长江材料,29
火炬电子,29
昊华科技,29
同仁堂,29
奥特维,29
春风动力,29
巨星科技,29
天宜上佳,29
鱼跃医疗,29
诺唯赞,28
天康生物,28
健帆生物,28
南微医学,27
盈趣科技,27
杭氧股份,27
华荣股份,27
康泰生物,27
伟星股份,27
联创电子,27
道通科技,27
新宝股份,27
石基信息,27
上汽集团,27
固德威,26
新和成,26
珀莱雅,26
南玻A,26
瑞芯微,26
精达股份,26
精测电子,26
中远海控,26
雅克科技,26
扬杰科技,26
益丰药房,26
瀚蓝环境,26
鸿远电子,26
江苏神通,26
昭衍新药,25
桐昆股份,25
西部矿业,25
宝信软件,24
仙琚制药,24
恒力石化,24
双环传动,24
中际旭创,24
移远通信,24
石英股份,24
继峰股份,24
恒润股份,24
新强联,24
九号公司-WD,24
科锐国际,23
钢研高纳,23
白云机场,23
合盛硅业,23
鼎龙股份,23
怡合达,23
宝钢股份,23
中材科技,23
国联股份,23
中牧股份,23
意华股份,22
傲农生物,22
喜临门,22
