ts_code,end_date,symbol,mkv,amount,stk_float_ratio,stock_name,fund_name
159611.SZ,20211230,000155.SZ,0.06145216,24.08,0.02,川能动力,电力ETF
159611.SZ,20211230,000591.SZ,0.07745679,69.97,0.03,太阳能,电力ETF
159611.SZ,20211230,600011.SH,0.13628636,146.23,0.01,华能国际,电力ETF
159611.SZ,20211230,600642.SH,0.05999805,81.63,0.02,申能股份,电力ETF
159611.SZ,20211230,600795.SH,0.0859763,296.47,0.02,国电电力,电力ETF
159611.SZ,20211230,600886.SH,0.10931833,99.11,0.01,国投电力,电力ETF
159611.SZ,20211230,600905.SH,0.20855412,284.91,0.03,三峡能源,电力ETF
159611.SZ,20211230,601016.SH,0.06479352,99.99,0.02,节能风电,电力ETF
159611.SZ,20211230,601985.SH,0.19632627,232.89,0.01,中国核电,电力ETF
159611.SZ,20211230,003816.SZ,0.12042996,392.28,0.04,中国广核,电力ETF
560800.SH,20211230,600703.SH,0.136961209,37.2785,0.01,三安光电,数字经济ETF
560800.SH,20211230,600570.SH,0.1262574,20.43,0.01,恒生电子,数字经济ETF
560800.SH,20211230,002049.SZ,0.132952842,5.6905,0.01,紫光国微,数字经济ETF
560800.SH,20211230,002371.SZ,0.12345993,3.63,0.01,北方华创,数字经济ETF
560800.SH,20211230,002230.SZ,0.13253175,25.61,0.01,科大讯飞,数字经济ETF
560800.SH,20211230,300059.SZ,0.3997519776,107.9244,0.01,东方财富,数字经济ETF
560800.SH,20211230,002415.SZ,0.4048576146,78.7814,0.01,海康威视,数字经济ETF
560800.SH,20211230,300124.SZ,0.20551368,29.63,0.01,汇川技术,数字经济ETF
560800.SH,20211230,603986.SH,0.13447014,7.62,0.01,兆易创新,数字经济ETF
560800.SH,20211230,603501.SH,0.2375460864,7.6608,0.01,韦尔股份,数字经济ETF
562300.SH,20211228,600900.SH,0.21960629,98.17,0.0,长江电力,碳中和ETF基金
562300.SH,20211228,600438.SH,0.09624164,23.32,0.01,通威股份,碳中和ETF基金
562300.SH,20211228,002129.SZ,0.07935039,19.53,0.01,中环股份,碳中和ETF基金
562300.SH,20211228,300014.SZ,0.11871942,9.78,0.01,亿纬锂能,碳中和ETF基金
562300.SH,20211228,601012.SH,0.30491545,37.39,0.01,隆基股份,碳中和ETF基金
562300.SH,20211228,300274.SZ,0.1246873,8.98,0.01,阳光电源,碳中和ETF基金
562300.SH,20211228,002709.SZ,0.0583506,4.95,0.01,天赐材料,碳中和ETF基金
562300.SH,20211228,002812.SZ,0.116193,4.62,0.01,恩捷股份,碳中和ETF基金
562300.SH,20211228,300450.SZ,0.07043916,9.46,0.01,先导智能,碳中和ETF基金
562300.SH,20211228,300750.SZ,0.35217,6.02,0.0,宁德时代,碳中和ETF基金
517330.SH,20211228,600008.SH,0.41522443200000003,1235.787,0.17,首创环保,长江保护ETF
517330.SH,20211228,0257.HK,0.5789727898,1128.2,,,长江保护ETF
517330.SH,20211228,0586.HK,0.9622391256999999,307.85,,,长江保护ETF
517330.SH,20211228,600900.SH,0.60034369,268.37,0.01,长江电力,长江保护ETF
517330.SH,20211228,002266.SZ,0.43573041,602.67,0.21,浙富控股,长江保护ETF
517330.SH,20211228,300012.SZ,0.9929885128,372.1846,0.25,华测检测,长江保护ETF
517330.SH,20211228,002415.SZ,0.43083792,82.08,0.01,海康威视,长江保护ETF
517330.SH,20211228,300070.SZ,0.44378898479999995,621.5532,0.25,碧水源,长江保护ETF
517330.SH,20211228,300274.SZ,0.4173831,30.06,0.03,阳光电源,长江保护ETF
517330.SH,20211228,300750.SZ,0.4669002,7.9812,0.0,宁德时代,长江保护ETF
517160.SH,20211228,600008.SH,0.42623952,1268.57,0.17,首创环保,长江保护主题ETF
517160.SH,20211228,0257.HK,0.5942656360999999,1158.0,,,长江保护主题ETF
517160.SH,20211228,0586.HK,0.9875570952,315.95,,,长江保护主题ETF
517160.SH,20211228,600900.SH,0.61624876,275.48,0.01,长江电力,长江保护主题ETF
517160.SH,20211228,002266.SZ,0.44729118,618.66,0.22,浙富控股,长江保护主题ETF
517160.SH,20211228,300012.SZ,1.01933608,382.06,0.25,华测检测,长江保护主题ETF
517160.SH,20211228,002415.SZ,0.44222825,84.25,0.01,海康威视,长江保护主题ETF
517160.SH,20211228,300070.SZ,0.45556056,638.04,0.26,碧水源,长江保护主题ETF
517160.SH,20211228,300274.SZ,0.42835225,30.85,0.03,阳光电源,长江保护主题ETF
517160.SH,20211228,300750.SZ,0.479115,8.19,0.0,宁德时代,长江保护主题ETF
159601.SZ,20211231,002475.SZ,4.351893996,884.5313,0.13,立讯精密,A50ETF
159601.SZ,20211231,002594.SZ,3.45553056,128.88,0.11,比亚迪,A50ETF
159601.SZ,20211231,002812.SZ,2.790154616,111.4279,0.15,恩捷股份,A50ETF
159601.SZ,20211231,300750.SZ,8.44260396,143.5817,0.07,宁德时代,A50ETF
159601.SZ,20211231,600036.SH,4.1966212533,861.5523,0.04,招商银行,A50ETF
159601.SZ,20211231,600309.SH,3.95574075,391.6575,0.28,万华化学,A50ETF
159601.SZ,20211231,600519.SH,8.131079,39.6638,0.03,贵州茅台,A50ETF
