ts_code,end_date,symbol,mkv,amount,stk_float_ratio,stock_name,fund_name
166020.OF,20211231,000401.SZ,0.04585464,38.34,0.03,冀东水泥,中欧成长优选回报A
166020.OF,20211231,000910.SZ,0.08983359,66.99,0.12,大亚圣象,中欧成长优选回报A
166020.OF,20211231,002048.SZ,0.1190621187,55.0449,0.1,宁波华翔,中欧成长优选回报A
166020.OF,20211231,002327.SZ,0.05978,70.0,0.14,富安娜,中欧成长优选回报A
166020.OF,20211231,002398.SZ,0.061619373,84.4101,0.15,垒知集团,中欧成长优选回报A
166020.OF,20211231,600297.SH,0.04282166,162.82,0.02,广汇汽车,中欧成长优选回报A
166020.OF,20211231,600383.SH,0.1437076,110.8,0.02,金地集团,中欧成长优选回报A
166020.OF,20211231,600987.SH,0.05080255400000001,91.3715,0.1,航民股份,中欧成长优选回报A
166020.OF,20211231,603108.SH,0.08480484,63.24,0.11,润达医疗,中欧成长优选回报A
166020.OF,20211231,603444.SH,0.042185,1.0,0.01,吉比特,中欧成长优选回报A
166019.OF,20211231,002180.SZ,12.4647901204,2695.5629,2.64,纳思达,中欧价值智选回报A
166019.OF,20211231,002236.SZ,8.299396942000001,3534.6665,1.85,大华股份,中欧价值智选回报A
166019.OF,20211231,002487.SZ,7.19546425,1856.894,3.4,大金重工,中欧价值智选回报A
166019.OF,20211231,002643.SZ,6.7737732132,2865.3863,3.2,万润股份,中欧价值智选回报A
166019.OF,20211231,600383.SH,9.5510273266,7363.9378,1.63,金地集团,中欧价值智选回报A
166019.OF,20211231,600970.SH,9.7926292971,8567.4797,4.92,中材国际,中欧价值智选回报A
166019.OF,20211231,603218.SH,8.726087213,2648.2814,2.74,日月股份,中欧价值智选回报A
166019.OF,20211231,603267.SH,13.2770455264,739.9156,4.7,鸿远电子,中欧价值智选回报A
166019.OF,20211231,603444.SH,8.2063282015,194.5319,2.71,吉比特,中欧价值智选回报A
166019.OF,20211231,603678.SH,12.5752745355,1662.2967,3.62,火炬电子,中欧价值智选回报A
