ts_code,end_date,symbol,mkv,amount,stk_float_ratio,stock_name,fund_name
014537.OF,20211231,000516.SZ,1.1618964498,1053.3966,0.56,国际医学,中银中国精选C
014537.OF,20211231,000858.SZ,1.14491772,51.42,0.01,五粮液,中银中国精选C
014537.OF,20211231,600519.SH,1.2456825,6.0765,0.0,贵州茅台,中银中国精选C
014537.OF,20211231,600763.SH,1.06761709,53.6491,0.17,通策医疗,中银中国精选C
014537.OF,20211231,300014.SZ,1.053285159,89.1255,0.05,亿纬锂能,中银中国精选C
014537.OF,20211231,300015.SZ,0.3603900692,85.2389,0.02,爱尔眼科,中银中国精选C
014537.OF,20211231,601012.SH,0.9136700040000001,105.9942,0.02,隆基股份,中银中国精选C
014537.OF,20211231,002568.SZ,0.40637732600000004,67.922,0.13,百润股份,中银中国精选C
014537.OF,20211231,603737.SH,0.93030124,66.856,0.18,三棵树,中银中国精选C
014537.OF,20211231,300750.SZ,1.001364,17.03,0.01,宁德时代,中银中国精选C
014505.OF,20211231,002120.SZ,0.6444949104,315.0024,0.11,韵达股份,中银收益C
014505.OF,20211231,002056.SZ,0.64352361,341.03,0.21,横店东磁,中银收益C
014505.OF,20211231,605117.SH,0.6254650413,22.8447,0.54,德业股份,中银收益C
014505.OF,20211231,300059.SZ,0.6224823978,167.7398,0.02,东方财富,中银收益C
014505.OF,20211231,002216.SZ,0.6113525,302.5,0.48,三全食品,中银收益C
014505.OF,20211231,600233.SH,1.1771579736,705.7302,0.22,圆通速递,中银收益C
014505.OF,20211231,002897.SZ,0.93474432,165.12,1.05,意华股份,中银收益C
014505.OF,20211231,002241.SZ,0.8027358,148.38,0.05,歌尔股份,中银收益C
014505.OF,20211231,600298.SH,0.79438287,131.6075,0.16,安琪酵母,中银收益C
014505.OF,20211231,300498.SZ,0.6976935,362.25,0.08,温氏股份,中银收益C
014455.OF,20211231,605117.SH,0.1319010704,4.8176,0.11,德业股份,中银成长优选C
014455.OF,20211231,603901.SH,0.10993434199999999,68.2822,0.14,永创智能,中银成长优选C
014455.OF,20211231,002241.SZ,0.1091738,20.18,0.01,歌尔股份,中银成长优选C
014455.OF,20211231,300750.SZ,0.0882,1.5,0.0,宁德时代,中银成长优选C
014455.OF,20211231,600036.SH,0.08270958,16.98,0.0,招商银行,中银成长优选C
014455.OF,20211231,002897.SZ,0.06674319,11.79,0.07,意华股份,中银成长优选C
014455.OF,20211231,601865.SH,0.06043142,10.43,0.02,福莱特,中银成长优选C
014455.OF,20211231,600233.SH,0.05602812,33.59,0.01,圆通速递,中银成长优选C
014455.OF,20211231,002459.SZ,0.050985,5.5,0.01,晶澳科技,中银成长优选C
014455.OF,20211231,300059.SZ,0.050031702000000004,13.482,0.0,东方财富,中银成长优选C
014454.OF,20211231,600519.SH,0.1681,0.82,0.0,贵州茅台,中银双息回报C
014454.OF,20211231,600887.SH,0.14726592,35.52,0.01,伊利股份,中银双息回报C
014454.OF,20211231,300059.SZ,0.14688138,39.58,0.0,东方财富,中银双息回报C
014454.OF,20211231,000858.SZ,0.14651028,6.58,0.0,五粮液,中银双息回报C
014454.OF,20211231,002271.SZ,0.13675728,25.96,0.01,东方雨虹,中银双息回报C
014454.OF,20211231,600529.SH,0.1300757,29.63,0.05,山东药玻,中银双息回报C
014454.OF,20211231,002832.SZ,0.1296932,50.96,0.14,比音勒芬,中银双息回报C
014454.OF,20211231,601012.SH,0.1218868,14.14,0.0,隆基股份,中银双息回报C
014454.OF,20211231,600900.SH,0.0980413,43.19,0.0,长江电力,中银双息回报C
014454.OF,20211231,600150.SH,0.09244191,37.29,0.02,中国船舶,中银双息回报C
014453.OF,20211231,600519.SH,1.1275,5.5,0.0,贵州茅台,中银新动力C
014453.OF,20211231,000858.SZ,1.002059064,45.004,0.01,五粮液,中银新动力C
014453.OF,20211231,300059.SZ,1.00197,270.0,0.03,东方财富,中银新动力C
014453.OF,20211231,002415.SZ,0.99408,190.0,0.02,海康威视,中银新动力C
014453.OF,20211231,300454.SZ,0.955,50.0,0.19,深信服,中银新动力C
014453.OF,20211231,600570.SH,0.93225,150.0,0.1,恒生电子,中银新动力C
014453.OF,20211231,600887.SH,0.8292,200.0,0.03,伊利股份,中银新动力C
014453.OF,20211231,002594.SZ,0.616676,23.0,0.02,比亚迪,中银新动力C
014453.OF,20211231,688029.SH,0.574209,27.0,0.61,南微医学,中银新动力C
014453.OF,20211231,002920.SZ,0.56604,40.0,0.07,德赛西威,中银新动力C
014498.OF,20211231,600309.SH,0.0505,5.0,0.0,万华化学,诺安鸿鑫C
014498.OF,20211231,003021.SZ,0.04144215,5.19,0.09,兆威机电,诺安鸿鑫C
014498.OF,20211231,605376.SH,0.04663665,5.55,0.03,博迁新材,诺安鸿鑫C
014498.OF,20211231,601058.SH,0.07582833,51.27,0.02,赛轮轮胎,诺安鸿鑫C
014498.OF,20211231,002466.SZ,0.055533,5.19,0.0,天齐锂业,诺安鸿鑫C
014498.OF,20211231,601100.SH,0.0430268,5.26,0.0,恒立液压,诺安鸿鑫C
014498.OF,20211231,603799.SH,0.03871881,3.51,0.0,华友钴业,诺安鸿鑫C
014498.OF,20211231,603338.SH,0.0341105,4.25,0.01,浙江鼎力,诺安鸿鑫C
014498.OF,20211231,603067.SH,0.04395024,39.81,0.09,振华股份,诺安鸿鑫C
014498.OF,20211231,002984.SZ,0.03596127,10.11,0.03,森麒麟,诺安鸿鑫C
014628.OF,20211231,688037.SH,0.032878864,1.9478,0.04,芯源微,财通福盛多策略C
014628.OF,20211231,601111.SH,0.03497703,38.31,0.0,中国国航,财通福盛多策略C
014628.OF,20211231,300122.SZ,0.0337666,2.71,0.0,智飞生物,财通福盛多策略C
014628.OF,20211231,002483.SZ,0.03278864,40.58,0.05,润邦股份,财通福盛多策略C
014628.OF,20211231,002805.SZ,0.03561995,11.29,0.09,丰元股份,财通福盛多策略C
014628.OF,20211231,603456.SH,0.0425190576,7.5576,0.01,九洲药业,财通福盛多策略C
014628.OF,20211231,300498.SZ,0.02675214,13.89,0.0,温氏股份,财通福盛多策略C
014628.OF,20211231,002895.SZ,0.02681334,10.86,0.02,川恒股份,财通福盛多策略C
014628.OF,20211231,603363.SH,0.0489331,38.53,0.06,傲农生物,财通福盛多策略C
014628.OF,20211231,603259.SH,0.05679982,4.79,0.0,药明康德,财通福盛多策略C
014627.OF,20211231,000538.SZ,0.04186,4.0,0.01,云南白药,财通多策略福瑞C
014627.OF,20211231,000568.SZ,0.03884211,1.53,0.0,泸州老窖,财通多策略福瑞C
014627.OF,20211231,000858.SZ,0.08260686,3.71,0.0,五粮液,财通多策略福瑞C
014627.OF,20211231,600036.SH,0.04861258,9.98,0.0,招商银行,财通多策略福瑞C
014627.OF,20211231,600519.SH,0.133988,0.6536,0.0,贵州茅台,财通多策略福瑞C
014627.OF,20211231,600585.SH,0.0789477,19.59,0.0,海螺水泥,财通多策略福瑞C
014627.OF,20211231,600690.SH,0.04997608,16.72,0.0,海尔智家,财通多策略福瑞C
014627.OF,20211231,600887.SH,0.07367442,17.77,0.0,伊利股份,财通多策略福瑞C
014627.OF,20211231,600048.SH,0.06066003,38.81,0.0,保利发展,财通多策略福瑞C
014627.OF,20211231,000333.SZ,0.04000502,5.42,0.0,美的集团,财通多策略福瑞C
