ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,net_asset,ann_date,manager,2017,2018,2019,2020,2021,2022,all
159703.SZ,新材料ETF,天弘基金,20210527,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1,0.67,20211231,,,,,,0.21750000000000003,-0.11572895277207394,0.0766
159891.SZ,医疗ETF基金,建信基金,20210527,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1,1.51,20211231,,,,,,-0.22619999999999996,-0.1633497027655726,-0.3526
159898.SZ,医疗器械ETF招商,招商基金,20210527,股票型,被动指数型,中证全指医疗器械指数收益率,0.5,0.1,1.72,20211231,,,,,,-0.18120000000000003,-0.1503419638495359,-0.3043
516480.SH,新材料ETF基金,国联安基金,20210527,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1,0.4,20211231,,,,,,0.1806000000000001,-0.10901236659325769,0.05190000000000006
516320.SH,高端装备ETF,华夏基金,20210527,股票型,被动指数型,中证装备产业指数收益率,0.5,0.1,0.77,20211231,,,,,,0.22340000000000004,-0.1223639038744482,0.0737000000000001
159741.SZ,恒生科技ETF基金,嘉实基金,20210526,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.6,0.1,2.82,20211231,,,,,,-0.3106,-0.06657963446475203,-0.35650000000000004
159735.SZ,港股消费ETF,银华基金,20210525,股票型,被动指数型,中证港股通消费主题指数收益率,0.5,0.1,0.88,20211231,,,,,,-0.19330000000000003,-0.05999752076360481,-0.24170000000000003
513130.SH,恒生科技ETF,华泰柏瑞基金,20210524,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.2,0.05,32.4,20211231,,,,,,-0.3024,-0.06694380733944949,-0.34909999999999997
516310.SH,银行ETF易方达,易方达基金,20210520,股票型,被动指数型,中证银行指数收益率,0.15,0.05,1.96,20211231,,,,,,-0.10440000000000005,0.026797677534613693,-0.08040000000000003
513580.SH,恒生科技ETF基金,华安基金,20210520,股票型,被动指数型,恒生科技指数收益率(经汇率调整后),0.5,0.1,3.4,20211231,,,,,,-0.3016,-0.06772623138602521,-0.3489
517350.SH,中概科技ETF,广发基金,20210520,股票型,被动指数型,中证沪港深科技龙头指数收益率,0.5,0.1,1.42,20211231,,,,,,-0.15739999999999998,-0.09696178495134108,-0.23909999999999998
513180.SH,恒生科技指数ETF,华夏基金,20210518,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.5,0.15,57.45,20211231,,,,,,-0.3006,-0.06748641692879613,-0.3478
513010.SH,恒生科技30ETF,易方达基金,20210518,股票型,被动指数型,恒生科技指数收益率(使用估值汇率折算),0.2,0.05,20.83,20211231,,,,,,-0.3016,-0.06715349369988552,-0.34850000000000003
159740.SZ,恒生科技ETF,大成基金,20210518,股票型,被动指数型,恒生科技指数收益率,0.5,0.1,4.63,20211231,,,,,,-0.30269999999999997,-0.06582532625842542,-0.3486
159742.SZ,恒生科技指数ETF,博时基金,20210517,股票型,被动指数型,恒生科技指数收益率(经汇率调整后),0.5,0.15,2.48,20211231,,,,,,-0.2982,-0.06711313764605305,-0.34530000000000005
159888.SZ,智能车ETF,华夏基金,20210513,股票型,被动指数型,中证智能汽车主题指数收益率,0.5,0.1,1.12,20211231,,,,,,0.34319999999999995,-0.11100357355568792,0.19409999999999994
159887.SZ,银行ETF,富国基金,20210512,股票型,被动指数型,中证800银行指数收益率,0.5,0.1,3.16,20211231,,,,,,-0.07789999999999997,0.02515996095868127,-0.05469999999999997
516700.SH,大数据产业ETF,华宝基金,20210511,股票型,被动指数型,中证大数据产业指数收益率,0.5,0.1,0.22,20211231,,,,,,0.060699999999999976,-0.08371829923635335,-0.028100000000000014
159836.SZ,创300ETF,天弘基金,20210511,股票型,被动指数型,创业板300指数收益率,0.5,0.1,0.64,20211231,,,,,,0.14389999999999992,-0.1280706355450651,-0.0026000000000000467
513690.SH,恒生高股息ETF,博时基金,20210511,股票型,被动指数型,恒生港股通高股息率指数收益率(经估值汇率调整后),0.5,0.1,1.33,20211231,,,,,,-0.14529999999999998,0.0464490464490464,-0.10560000000000003
516360.SH,新材料ETF,华宝基金,20210430,股票型,被动指数型,中证新材料主题指数收益率,0.5,0.1,1.66,20211231,,,,,,0.3520000000000001,-0.1147189349112426,0.19690000000000007
159702.SZ,AIETF,汇添富基金,20210429,股票型,被动指数型,中证人工智能主题指数收益率,0.15,0.05,0.15,20211231,,,,,,0.14500000000000002,-0.09816593886462886,0.03259999999999996
516610.SH,医疗服务ETF,大成基金,20210429,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1,0.88,20211231,,,,,,-0.15810000000000002,-0.16403373322247297,-0.2962
516590.SH,智能电动汽车ETF,易方达基金,20210429,股票型,被动指数型,中证智能电动汽车指数收益率,0.15,0.05,1.79,20211231,,,,,,0.4878,-0.10182820271541872,0.33630000000000004
516950.SH,基建ETF,银华基金,20210429,股票型,被动指数型,中证基建指数收益率,0.5,0.1,10.16,20211231,,,,,,0.11749999999999994,-0.044474272930648644,0.06780000000000008
159883.SZ,医疗器械ETF,永赢基金,20210422,股票型,被动指数型,中证全指医疗器械指数收益率,0.5,0.1,7.56,20211231,,,,,,-0.16990000000000005,-0.15299361522708108,-0.29690000000000005
516900.SH,食品50ETF,华安基金,20210416,股票型,被动指数型,中证申万食品饮料指数收益率,0.5,0.1,0.34,20211231,,,,,,-0.040000000000000036,-0.10822916666666667,-0.14390000000000003
516070.SH,碳中和50ETF,易方达基金,20210415,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.15,0.05,5.51,20211231,,,,,,0.5262,-0.10273882846284894,0.36939999999999995
159886.SZ,机械ETF,富国基金,20210415,股票型,被动指数型,中证细分机械设备产业主题指数收益率,0.5,0.1,0.51,20211231,,,,,,0.34830000000000005,-0.10628198472150113,0.20500000000000007
517170.SH,沪港深ETF,华夏基金,20210407,股票型,被动指数型,中证沪港深500指数收益率,0.5,0.1,0.47,20211231,,,,,,-0.07389999999999997,-0.04340783932620668,-0.11409999999999998
516960.SH,机械ETF,国泰基金,20210407,股票型,被动指数型,中证细分机械设备产业主题指数收益率,0.5,0.1,1.04,20211231,,,,,,0.2836000000000001,-0.10478342162667502,0.1491
516110.SH,汽车ETF,国泰基金,20210407,股票型,被动指数型,中证800汽车与零部件指数收益率,0.5,0.1,2.19,20211231,,,,,,0.24219999999999997,-0.11028819835775239,0.10519999999999996
159885.SZ,碳中和ETF基金,鹏华基金,20210406,股票型,被动指数型,中证内地低碳经济主题指数收益率,0.5,0.1,7.97,20211231,,,,,,0.58565,-0.10301768990634762,0.4222999999999999
516330.SH,物联网ETF,华泰柏瑞基金,20210331,股票型,被动指数型,中证物联网主题指数收益率,0.5,0.1,0.8,20211231,,,,,,0.2522,-0.10836927008465096,0.11650000000000005
516550.SH,农业ETF,嘉实基金,20210330,股票型,被动指数型,中证大农业指数收益率,0.5,0.1,1.1,20211231,,,,,,-0.05689999999999995,-0.09309723253101485,-0.14470000000000005
516510.SH,云计算ETF,易方达基金,20210329,股票型,被动指数型,中证云计算与大数据主题指数收益率,0.15,0.05,1.1,20211231,,,,,,0.04610000000000003,-0.09167383615333141,-0.049799999999999955
159890.SZ,云计算ETF,招商基金,20210325,股票型,被动指数型,中证云计算与大数据主题指数收益率,0.15,0.1,0.39,20211231,,,,,,0.06230000000000002,-0.09046408735762032,-0.03380000000000005
159866.SZ,日经ETF,工银瑞信基金,20210324,股票型,被动指数型,日经225指数收益率(经汇率调整后),0.2,0.05,0.83,20211231,,,,,,-0.09079999999999999,-0.07391113066432033,-0.15800000000000003
159861.SZ,碳中和50ETF,国泰基金,20210319,股票型,被动指数型,中证环保产业50指数收益率,0.5,0.1,4.97,20211231,,,,,,0.5781000000000001,-0.11551866168176929,0.39579999999999993
159845.SZ,中证1000ETF,华夏基金,20210318,股票型,被动指数型,中证1000指数收益率,0.5,0.1,5.29,20211231,,,,,,0.3236890400000001,-0.12818073948848296,0.15401759999999998
516670.SH,畜牧养殖ETF,招商基金,20210318,股票型,被动指数型,中证畜牧养殖指数收益率,0.2,0.1,0.93,20211231,,,,,,-0.05910000000000004,-0.03432883409501541,-0.09140000000000004
513060.SH,恒生医疗ETF,博时基金,20210318,股票型,被动指数型,恒生医疗保健指数收益率(经汇率调整后),0.5,0.15,8.68,20211231,,,,,,-0.30989999999999995,-0.16287494566004934,-0.4223
159873.SZ,医疗设备ETF,天弘基金,20210316,股票型,被动指数型,中证全指医疗保健设备与服务指数收益率,0.5,0.1,1.54,20211231,,,,,,-0.04610000000000003,-0.16615997484012998,-0.2046
516300.SH,1000ETF基金,华泰柏瑞基金,20210315,股票型,被动指数型,中证1000指数收益率,0.5,0.1,0.54,20211231,,,,,,0.2668999999999999,-0.12550319677954047,0.1079000000000001
159876.SZ,有色龙头ETF,华宝基金,20210312,股票型,被动指数型,中证有色金属指数收益率,0.5,0.1,0.37,20211231,,,,,,0.3588,-0.10847806888430966,0.21140000000000003
159858.SZ,创新药指ETF,南方基金,20210312,股票型,被动指数型,中证创新药产业指数收益率,0.15,0.05,0.89,20211231,,,,,,-0.038900000000000046,-0.16866090937467476,-0.20099999999999996
516090.SH,新能源ETF易方达,易方达基金,20210311,股票型,被动指数型,中证新能源指数收益率,0.15,0.05,3.65,20211231,,,,,,0.6317999999999999,-0.11766147812231889,0.43979999999999997
159835.SZ,创新药50ETF,建信基金,20210311,股票型,被动指数型,中证创新药产业指数收益率,0.5,0.1,0.66,20211231,,,,,,-0.026599999999999957,-0.16375590712964874,-0.18600000000000005
159871.SZ,有色金属ETF,银华基金,20210310,股票型,被动指数型,中证有色金属指数收益率,0.5,0.1,0.47,20211231,,,,,,0.31509999999999994,-0.10729222112386891,0.17399999999999993
516150.SH,稀土ETF基金,嘉实基金,20210309,股票型,被动指数型,中证稀土产业指数收益率,0.5,0.1,23.87,20211231,,,,,,0.5267999999999999,-0.17002881844380394,0.2672000000000001
516200.SH,证券行业ETF,华安基金,20210309,股票型,被动指数型,中证全指证券公司指数收益率,0.5,0.1,0.36,20211231,,,,,,0.1311,-0.08115993280877032,0.03929999999999989
