ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
011126.OF,富国互联科技C,富国基金,20201230,股票型,股票型,中证互联网指数收益率*80%+中证全债指数收益率*20%,1.5,0.25,许炎,1.48,20211231,,,,0.026116489693941272,0.1228457295035192,-0.09558175780985304,0.04204403497813863
011114.OF,富国沪港深行业精选C,富国基金,20201230,混合型,灵活配置型,恒生综合指数收益率*60%+中债综合全价(总值)指数*30%+沪深300指数收益率*10%,0.6,0.1,汪孟海,3.63,20211231,,,,0.014620792633609206,-0.10755457444199167,-0.0463790023361276,-0.13650220867292978
011149.OF,创金合信ESG责任投资A,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中证港股通综合指数收益率*10%+人民币活期存款利率(税后)*10%,1.5,0.25,李龑 王鑫,0.1,20211231,,,,0.0041999999999999815,0.10744871539533968,-0.08263645355633494,0.020199999999999996
010713.OF,中欧瑾利C,中欧基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,0.6,0.1,华李成,6.0,20211231,,,,0.0007999999999999119,0.07174260591526788,-0.010158129778109216,0.06170439000000005
010712.OF,中欧瑾利A,中欧基金,20201230,混合型,混合型,中债综合财富(总值)指数收益率*80%+中证800指数收益率*18%+中证港股通综合指数(人民币)收益率*2%,0.6,0.1,华李成,3.05,20211231,,,,0.0007999999999999119,0.0727418065547564,-0.010055132265275768,0.06280481000000004
010668.OF,工银优选对冲A,工银瑞信基金,20201230,混合型,灵活配置型,中国人民银行公布的一年期定期存款基准利率(税后)+3%,1.2,0.2,游凛峰 陈小鹭,1.64,20211231,,,,0.0,0.06519999999999992,-0.012392039053698723,0.052000000000000046
010495.OF,创金合信创新驱动A,创金合信基金,20201230,股票型,股票型,中证科技驱动100指数收益率*90%+中证全债指数收益率*10%,1.5,0.25,周志敏,1.46,20211231,,,,-0.00029999999999996696,0.08172451735520644,-0.11226188274459031,-0.040000000000000036
010408.OF,安信浩盈6个月持有,安信基金,20201230,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,0.8,0.2,潘巍,8.86,20211231,,,,0.0004999999999999449,0.05407296351824092,0.0001896453631708496,0.05479999999999996
011142.OF,创金合信新材料新能源A,创金合信基金,20201230,股票型,股票型,中证全指一级行业能源指数收益率*45%+中证全指一级行业材料指数收益率*45%+中债综合指数收益率*10%,1.5,0.25,李游,3.09,20211231,,,,0.0006999999999999229,0.3619466373538524,-0.0931836525056864,0.2359
010771.OF,天弘国证消费100指数增强A,天弘基金,20201230,股票型,增强指数型,国证消费100指数收益率*95%+银行活期存款利率(税后)*5%,0.6,0.1,刘笑明 杨超,0.38,20211231,,,,0.001100000000000101,-0.015283188492658166,-0.11199026171637254,-0.12460000000000004
010411.OF,长城品质成长C,长城基金,20201230,混合型,混合型,中证800指数收益率*70%+中债综合财富指数收益率*20%+中证港股通综合指数收益率*10%,1.5,0.25,何以广,2.9,20211231,,,,9.999999999998899e-05,-0.015298470152984682,-0.09666937449228276,-0.11040000000000005
010496.OF,创金合信创新驱动C,创金合信基金,20201230,股票型,股票型,中证科技驱动100指数收益率*90%+中证全债指数收益率*10%,1.5,0.25,周志敏,0.35,20211231,,,,-0.00029999999999996696,0.07312193658097424,-0.1127889634601044,-0.04820000000000002
010735.OF,申万菱信稳健养老,申万菱信基金,20201230,混合型,混合型,上证国债指数收益率*80%+沪深300指数收益率*20%,0.6,0.15,张文洁,2.81,20211231,,,,0.0,0.04249999999999998,-0.01630695443645075,0.025500000000000078
011150.OF,创金合信ESG责任投资C,创金合信基金,20201230,股票型,股票型,中证800指数收益率*80%+中证港股通综合指数收益率*10%+人民币活期存款利率(税后)*10%,1.5,0.25,李龑 王鑫,0.08,20211231,,,,0.0040999999999999925,0.10188228264117126,-0.08297180043383957,0.014599999999999946
