ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
162719.SZ,石油LOF,广发基金,股票型,20170228,1,0.3,人民币计价的道琼斯美国石油开发与生产指数收益率*95%+人民币活期存款收益率(税后)*5%,被动指数型,E,叶帅,11.73,20220930,,,,,,3.25%,-15.20%,9.52%,-19.64%,68.08%,69.08%,117.11%
162411.SZ,华宝油气LOF,华宝基金,股票型,20110929,1,0.28,标普石油天然气上游股票指数(全收益指数),被动指数型,E,周晶 杨洋,28.25,20220930,-3.27%,18.39%,-32.23%,-34.78%,44.24%,-15.41%,-23.84%,-9.17%,-30.31%,59.92%,56.58%,-25.78%
160416.SZ,石油基金LOF,华安基金,股票型,20120329,1,0.28,标普全球石油净总收益指数收益率(S&P Global Oil Index Net Total Return),被动指数型,E,倪斌,2.74,20220930,4.14%,9.07%,-15.37%,-15.56%,31.24%,-4.30%,-6.83%,14.16%,-22.31%,33.42%,39.52%,56.31%
560100.SH,中证500增强ETF,南方基金,股票型,20220126,0.5,0.05,中证500指数收益率,增强指数型,E,崔蕾,1.35,20220930,,,,,,,,,,,-9.76%,-9.76%
159930.SZ,能源ETF,汇添富基金,股票型,20130823,0.5,0.1,中证能源指数,被动指数型,E,过蓓蓓,4.3,20220930,,-10.73%,21.35%,-17.98%,-9.57%,4.17%,-24.66%,11.28%,-9.35%,40.21%,16.93%,5.68%
161032.SZ,煤炭龙头LOF,富国基金,股票型,20150619,1,0.12,中证煤炭指数收益率*95%+银行人民币活期存款利率(税后)*5%,被动指数型,E,张圣贤,18.28,20220930,,,,-35.02%,3.65%,11.66%,-30.83%,23.26%,15.42%,46.05%,15.80%,25.13%
168204.SZ,煤炭LOF,中融基金,股票型,20150625,1,0.22,中证煤炭指数收益率*95%+同期银行活期存款利率(税后)*5%,被动指数型,E,赵菲,9.23,20220930,,,,-23.28%,1.54%,8.02%,-32.62%,13.14%,14.89%,48.97%,15.23%,26.52%
515220.SH,煤炭ETF,国泰基金,股票型,20200120,0.5,0.1,中证煤炭指数收益率,被动指数型,E,徐成城,47.41,20220930,,,,,,,,,31.22%,50.22%,14.48%,125.67%
513360.SH,教育ETF,博时基金,股票型,20210608,0.5,0.15,中证全球中国教育主题指数(人民币)收益率,被动指数型,E,万琼,4.81,20220930,,,,,,,,,,-53.68%,14.36%,-47.03%
161724.SZ,煤炭等权LOF,招商基金,股票型,20150520,1,0.22,中证煤炭等权指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,被动指数型,E,侯昊 邓童,18.69,20220930,,,,-28.05%,4.67%,7.26%,-32.00%,15.51%,29.62%,36.56%,13.00%,26.93%
159766.SZ,旅游ETF,富国基金,股票型,20210715,0.5,0.1,中证旅游主题指数收益率,被动指数型,E,曹璐迪,20.05,20220930,,,,,,,,,,0.40%,12.15%,12.60%
562510.SH,旅游ETF,华夏基金,股票型,20211221,0.5,0.1,中证旅游主题指数收益率,被动指数型,E,严筱娴,4.45,20220930,,,,,,,,,,1.24%,11.78%,13.17%
159945.SZ,能源ETF基金,广发基金,股票型,20150625,0.5,0.1,中证全指能源指数,被动指数型,E,夏浩洋,0.52,20220930,,,,-29.71%,-0.24%,9.88%,-25.37%,11.73%,-5.96%,36.64%,11.22%,-8.12%
517180.SH,开放共赢ETF,南方基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E,龚涛,0.36,20220930,,,,,,,,,,0.08%,6.35%,6.44%
159719.SZ,开放共赢ETF,平安基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E,成钧,0.34,20220930,,,,,,,,,,-0.38%,6.21%,5.81%
517090.SH,共赢ETF,国泰基金,股票型,20211217,0.25,0.05,富时中国国企开放共赢指数收益率,被动指数型,E,徐成城 梁杏,0.6,20220930,,,,,,,,,,-0.34%,6.11%,5.75%
501025.SH,香港银行LOF,鹏华基金,股票型,20161110,0.75,0.15,中证香港银行投资指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E,张羽翔,2.38,20220930,,,,,-1.80%,16.77%,-6.13%,6.42%,-17.28%,3.28%,5.52%,3.41%
512890.SH,红利低波ETF,华泰柏瑞基金,股票型,20181219,0.5,0.1,中证红利低波动指数收益率,被动指数型,E,柳军,2.6,20220930,,,,,,,-0.02%,21.62%,9.46%,19.56%,2.72%,63.40%
160326.SZ,优选配置FOF-LOF,华夏基金,股票型,20211230,0.8,0.2,沪深300指数收益率*90%+恒生指数收益率(使用估值汇率折算)*5%+中债综合(全价)指数收益率*5%,股票型,E,李晓易,4.08,20220930,,,,,,,,,,0.02%,-20.84%,-20.82%
513200.SH,港股通医药ETF,易方达基金,股票型,20220119,0.15,0.05,中证港股通医药卫生综合指数收益率(使用估值汇率折算),被动指数型,E,成曦,0.77,20220930,,,,,,,,,,,2.66%,2.66%
510880.SH,红利ETF,华泰柏瑞基金,股票型,20061117,0.5,0.1,上证红利指数,被动指数型,E,李茜 柳军,140.46,20220930,9.63%,-8.85%,56.60%,11.54%,-4.06%,20.42%,-13.90%,16.50%,-0.71%,10.94%,2.47%,128.34%
515100.SH,红利100ETF,景顺长城基金,股票型,20200522,0.5,0.1,中证红利低波动100指数收益率,被动指数型,E,张晓南,1.62,20220930,,,,,,,,,19.79%,26.22%,0.80%,52.41%
