ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
160921.SZ,多策略LOF,大成基金,混合型,20160819,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,E,邹建,2.89,20220930,,,,,0.0020000000000000018,-0.000999000999000889,-0.2035,0.4081967984934086,0.4913995294788939,0.0191387525485092,0.06807512005591852,0.8208671000000001
161224.SZ,国投新丝路LOF,国投瑞银基金,混合型,20150410,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,灵活配置型,E,王鹏,0.78,20220930,,,,0.2330000000000001,-0.0077047850770479015,-0.06906416019615857,-0.19789288849868308,0.3733444505253941,0.6832146863917483,0.047237162145682264,0.004930041587552822,1.22257259
162607.SZ,景顺资源LOF,景顺长城基金,混合型,20060126,1.5,0.25,沪深300指数*80%+中国债券总指数*20%,混合型,E,韩文强,23.41,20220930,0.030598270532535225,0.1257071263145904,0.14360876897133226,0.2527132240179309,-0.08390423052475453,0.3090997867036722,-0.22149152941638364,0.5482382570981895,0.4113207542130172,0.004424393029027089,-0.00417312046501881,2.3914510584184376
161222.SZ,国投瑞利LOF,国投瑞银基金,混合型,20150205,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,E,綦缚鹏,23.9,20220930,,,,0.052999999999999936,-0.020797720797720833,0.1952283968577248,-0.15863356053229472,0.3771197801138009,0.39884392537338004,0.2851239692591423,-0.04381029022362072,1.45452207
160918.SZ,中小盘LOF,大成基金,混合型,20140410,1.5,0.25,中证700指数收益率*60%+恒生指数收益率*20%+中证综合债券指数收益率*20%,混合型,E,魏庆国,5.28,20220930,,,0.14966740576496662,1.178399228543877,-0.24479858344400174,0.24648300117233304,-0.13185986362567598,0.4313681589346615,0.7829670326345575,-0.007781202549724245,-0.0870606765562722,3.734508736141907
501046.SH,财通福鑫定开混合,财通基金,混合型,20171023,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,E,金梓才,2.82,20220930,,,,,,0.014399999999999968,-0.15914020903174916,0.7191933403681556,0.5708245243128965,0.1604654191811747,-0.09368102061431403,1.4225
160910.SZ,创新成长LOF,大成基金,混合型,20070612,1.5,0.25,沪深300指数*70%+中国债券总指数*30%,混合型,E,侯春燕,10.78,20220930,0.11017171319963293,-0.026093630084420574,0.30696490270958354,0.2266592458605817,-0.2006957047791894,0.2839640491958374,-0.17680433260877582,0.3565637083780882,0.3640748618503419,0.16746617262856173,-0.10079398780670352,1.8447572945340145
168102.SZ,九泰锐富LOF,九泰基金,混合型,20160204,1.5,0.25,沪深300指数收益率*60%+中国债券总指数收益率*40%,混合型,E,刘开运 袁多武,2.82,20220930,,,,,0.024000000000000018,-0.005761718750000016,-0.19467635792161875,0.4786051103793145,0.37606224317538106,0.3015120466843381,-0.1119997988207107,0.92802395
160916.SZ,优选LOF,大成基金,混合型,20120727,1.25,0.25,沪深300指数收益率*80%+中证综合债券指数收益率*20%,混合型,E,戴军,10.34,20220930,0.0590561224489796,0.031313982897747686,0.29230409903071364,0.5875655159949393,-0.042122040072859655,0.266638935108153,-0.1797325826882477,0.4440590025165866,0.5039883986359339,-0.006750242705329064,-0.12402912578885722,3.2140753188775517
160613.SZ,鹏华盛世创新LOF,鹏华基金,混合型,20081010,1.5,0.25,沪深300指数收益率*75%+中证综合债指数收益率*25%,混合型,E,伍旋,2.53,20220930,0.11215123148232296,0.14701315681948185,0.3001567398119123,0.4498328675543865,-0.05223372892886835,0.17036209921837614,-0.1724478669756031,0.5189629678428789,0.3266790596623133,0.06855222244141107,-0.1267375303793169,3.15065243115514
501022.SH,银华鑫盛LOF,银华基金,混合型,20161014,1.5,0.25,沪深300指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,E,王海峰,41.87,20220930,,,,,0.00099999999999989,-0.10089910089910076,-0.14555555555555555,0.47074122236671,0.7541998231653404,0.266633064516129,-0.1329088738559491,1.1789999999999998
160222.SZ,食品LOF,国泰基金,股票型,20141023,1.0,0.2,国证食品饮料行业指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E,梁杏,60.76,20220930,,,0.11630000000000007,0.19896085281734294,0.058502689778840426,0.5788396386222472,-0.1913338817112968,0.6732856125336676,0.8836900156200318,-0.06646458550945082,-0.14310604263389134,3.5613574000000003
161727.SZ,招商增荣LOF,招商基金,混合型,20160603,1.5,0.15,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,E,姚飞军,0.51,20220930,,,,,-0.0040000000000000036,0.03919597989949752,-0.1150870406189555,0.312568306010929,0.3497085761865112,0.03269586674892038,-0.14516129032258054,0.4310000000000001
161219.SZ,国投新兴产业LOF,国投瑞银基金,混合型,20111213,1.5,0.25,中证新兴产业指数*55%+中债总指数*45%,灵活配置型,E,吴潇,6.18,20220930,0.12300000000000001,0.2318788958147818,0.14861934364608936,0.7495280050346129,-0.0327338129496402,0.1004090740052064,-0.15910780669144986,0.5623230809420465,0.5177956392748788,0.06429652040180606,-0.14534470452216913,4.36689459
512550.SH,A50ETF基金,嘉实基金,股票型,20170703,0.5,0.1,富时中国A50指数收益率,被动指数型,E,刘珈吟,2.77,20220930,,,,,,0.11149999999999992,-0.19762525861293506,0.4566752606210067,0.3609849942285493,-0.08747031550378834,-0.15025714108680832,0.3714
510630.SH,消费30ETF,华夏基金,股票型,20130328,0.5,0.1,上证主要消费行业指数,被动指数型,E,司帆,4.22,20220930,,0.07830000000000004,0.15125660762311047,0.267681649750282,0.02478236004321022,0.4659887145780367,-0.17307448293363786,0.535904255319149,0.9512487512487512,-0.03658952829544685,-0.1506412527456954,3.7948
502040.SH,上证50LOF基金,长盛基金,股票型,20150813,1.0,0.22,上证50指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E,陈亘斯,0.51,20220930,,,,0.115,-0.13363228699551571,0.2782770374961265,-0.16526723720329395,0.4246180001930317,0.35146588958556724,-0.035717281677961024,-0.1695504737764616,0.5974335999999999
160611.SZ,鹏华优质治理LOF,鹏华基金,混合型,20070425,1.5,0.25,沪深300指数收益率*75%+中证综合债指数收益率*25%,混合型,E,陈璇淼,6.97,20220930,0.046506300114547504,0.018060420315236504,0.06966992796473494,0.16775555332194186,-0.13436047512480626,-0.08571144476484048,-0.1578031538879826,0.4949010201446282,0.7470812952448939,-0.09781660917723953,-0.17317246238557932,0.7281698052691867
165309.SZ,沪深300LOF建信,建信基金,股票型,20091105,0.75,0.15,沪深300指数收益率*95%+商业银行活期存款利率(税后)*5%,被动指数型,E,梁洪昀,4.03,20220930,0.08431952662721884,-0.060027285129604424,0.5008708272859218,0.06353350739773725,-0.09583560647390447,0.2402212166918049,-0.21467369274422374,0.3586911643270025,0.3602522221378105,0.025244345154984714,-0.18069401318298198,1.224852071005917
168301.SZ,东海祥龙LOF,东海基金,混合型,20161221,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,E,李珂,0.14,20220930,,,,,0.0,-0.05600000000000005,-0.13444220786100225,0.30799363447178363,0.4054281703322415,-0.09122993940201106,-0.18582838719132413,0.11109999999999998
161127.SZ,标普生物科技LOF,易方达基金,股票型,20161213,0.8,0.25,标普生物科技精选行业指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,被动指数型,E,宋钊贤,3.12,20220930,,,,,-0.0013999999999999568,0.23220186242114735,-0.11449016100178895,0.335246518630034,0.325628919737862,-0.21342759940463527,-0.18598364533351364,0.2044999999999999
160133.SZ,南方天元LOF,南方基金,股票型,20140703,1.5,0.25,沪深300指数收益率*80%+上证国债指数收益率*20%,股票型,E,蒋秋洁,13.35,20220930,,,0.2912568306010929,0.5455776555226408,-0.11631345490389362,0.30842163970998343,-0.159041394335512,0.517646760484098,0.6092990997843264,-0.083872360119534,-0.18851494337310976,2.5252352021857924
