ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
166301.OF,华商新趋势优选,华商基金,混合型,20150514,1.5,0.25,沪深300指数收益率*65%+上证国债指数收益率*35%,灵活配置型,O,周海栋,57.69,20220930.0,,,,0.04657411553963282,-0.07873341891313658,0.14630747793776125,-0.1482982171799028,0.6951973371374225,0.7741935483870969,0.2284584980237153,0.1360360360360361,2.952978056426332
005233.OF,广发睿毅领先A,广发基金,混合型,20171214,1.5,0.25,沪深300指数收益率*75%+中证全债指数收益率*25%,混合型,O,林英睿,42.36,20220930.0,,,,,,0.0038000000000000256,-0.07136449715937418,0.4210582805624129,0.6275679758308157,0.2312404287901991,0.11209105985225393,1.9506
000390.OF,华商优势行业,华商基金,混合型,20131211,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,O,周海栋,26.43,20220930.0,,0.002999999999999892,0.18295114656031927,0.7956173619890433,-0.015019948368927494,0.1213247557779366,-0.17083846840338274,0.6428751576034032,0.5688123029560128,0.15571007436111894,0.08970588342582562,5.33305519
630002.OF,华商盛世成长,华商基金,混合型,20080923,1.5,0.25,沪深300指数收益率*75%+上证国债指数收益率*25%,混合型,O,周海栋,21.74,20220930.0,-0.04507896152153721,0.29066612052634266,0.2205252300856872,0.8466863847628953,-0.3312916908671701,-0.02716075376355399,-0.11267110317589138,0.3166878124618949,0.3994093621580369,0.15944558825301086,0.06374851178564721,2.6449091966948606
000727.OF,融通健康产业A,融通基金,混合型,20141225,1.5,0.25,申万医药生物行业指数收益率*70%+中债综合(全价)指数收益率*30%,灵活配置型,O,万民远,22.63,20220930.0,,,0.006999999999999895,0.3853028798411124,-0.1921146953405018,-0.07808340727595392,-0.16361886429258898,0.8688147295742233,0.6674876847290641,0.14918759231905462,0.03759640102827763,2.229
003304.OF,前海开源沪港深核心资源A,前海开源基金,混合型,20161017,0.6,0.1,沪深300指数收益率*70%+中证全债指数收益率*30%,灵活配置型,O,吴国清,3.45,20220930.0,,,,,-0.0040000000000000036,0.1244979919678716,-0.10892857142857153,0.3230310921843687,0.4681181973109768,0.4533898286941938,0.03097667728642105,1.90464172
003305.OF,前海开源沪港深核心资源C,前海开源基金,混合型,20161017,0.6,0.1,沪深300指数收益率*70%+中证全债指数收益率*30%,灵活配置型,O,吴国清,1.89,20220930.0,,,,,-0.0040000000000000036,0.1114457831325301,-0.10027100271002708,0.3206565060240965,0.4668227941397163,0.451303886137536,0.030069674459060787,1.88437567
001208.OF,诺安低碳经济A,诺安基金,股票型,20150512,1.5,0.25,中证内地低碳经济主题指数收益率*80%+中证全债指数收益率*20%,股票型,O,蔡宇滨,15.05,20220930.0,,,,-0.138,-0.08236658932714612,0.4096080910240201,-0.13632286995515694,0.3613707165109034,0.3409610983981694,0.30546075085324226,0.0034858387799564304,1.3030000000000002
000556.OF,国投瑞银新机遇A,国投瑞银基金,混合型,20140311,0.6,0.1,中国人民银行公布的1年期定期存款利率(税后)+1%,灵活配置型,O,敬夏玺 桑俊,4.5,20220930.0,,,0.127,0.20479148181011525,0.033215495654735715,0.10157530828997084,-0.11589232561149218,0.4869235965746907,0.5532544410882286,0.07807141641467963,-0.01264648040723378,2.35890357
000557.OF,国投瑞银新机遇C,国投瑞银基金,混合型,20140311,0.6,0.1,中国人民银行公布的1年期定期存款利率(税后)+1%,灵活配置型,O,敬夏玺 桑俊,1.45,20220930.0,,,0.127,0.1948535936113576,0.028219218773206618,0.09417882420915777,-0.11973597359735975,0.4796253899220158,0.5451789002714648,0.07254994711496217,-0.017490424615498018,2.21299795
519700.OF,交银主题优选A,交银施罗德基金,混合型,20100630,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,沈楠,18.97,20220930.0,0.14458125076191627,-0.15763127063585036,0.5947654570742192,0.5579164354237691,-0.01699745547073796,0.13786498239801212,-0.1388143227626371,0.6396097263313609,0.4026393611356721,0.09780163395036574,-0.02328505483443754,4.689973314640985
002220.OF,南方瑞利,南方基金,混合型,20151223,0.6,0.1,沪深300指数收益率*60%+上证国债指数收益率*40%,灵活配置型,O,刘树坤 陈乐,2.47,20220930.0,,,,0.0,0.03400000000000003,0.056866537717601515,-0.14547118023787733,0.4340471092077086,0.3932357772136779,0.05477878463104862,-0.032308020591887775,0.90473008
217002.OF,招商安泰平衡,招商基金,混合型,20030428,1.5,0.25,中证国债指数收益率*50%+上证180指数收益率*45%+同业存款利率*5%,平衡型,O,李崟,8.92,20220930.0,0.04515078105421429,0.09259481277224954,0.28427212874908564,0.18381180223285484,-0.1312611268825482,0.07803932428690102,-0.15649404027949035,0.3132369472530151,0.3316980999181836,0.12533520976927734,-0.033968809438504444,1.6074245468214852
121010.OF,国投瑞银瑞源A,国投瑞银基金,混合型,20150122,1.5,0.25,沪深300指数收益率*55%+中债综合指数收益率*45%,灵活配置型,O,綦缚鹏,9.45,20220930.0,,,,0.111,0.04410441044104405,0.056896551724137975,-0.04257748776508975,0.3626682569432612,0.5419818693341671,0.2815844956211481,-0.0399253377202695,2.0347
