ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
166020.OF,中欧成长优选回报A,中欧基金,混合型,20130821,2.0,0.25,金融机构人民币三年期定期存款基准利率(税后),灵活配置型,O,曹名长 沈悦,2.37,20220930,0.15644985181718912,-0.18599473790730625,0.32582290734294717,0.23346270994188856,0.29105957916733416,-0.07200381638637553,0.8437904695055373
166019.OF,中欧价值智选回报A,中欧基金,混合型,20130514,1.5,0.25,金融机构人民币三年期定期存款基准利率(税后),灵活配置型,O,袁维德,71.01,20220930,-0.0565806816042177,-0.07854683367433493,0.46295212800519814,0.609376361544524,0.5240766331050833,-0.19008587681662814,1.5264870881189982
166009.SZ,中欧动力LOF,中欧基金,混合型,20110210,1.5,0.25,沪深300指数收益率*75%+中证全债指数收益率*25%,混合型,E,王健 许文星,16.12,20220930,0.14814516453860713,-0.20426561897077897,0.5636494754936529,0.6174411528051806,0.09929119159228354,-0.2315680995694876,0.9523514319088091
001955.OF,中欧养老产业A,中欧基金,混合型,20160513,1.5,0.25,沪深300指数收益率*75%+中债综合指数收益率*25%,混合型,O,王健 许文星,22.51,20220930,0.15879017013232508,-0.17862969004893972,0.7034825870646768,0.43457943925233644,0.3379478827361564,-0.1052647595861229,1.778922495274102
001990.OF,中欧数据挖掘多因子A,中欧基金,混合型,20160113,1.5,0.25,中证500指数收益率*95%+中债综合指数收益率*5%,灵活配置型,O,曲径,6.03,20220930,-0.005270331667423923,-0.193551333576909,0.5198537572254336,0.5692295239755236,0.22880461494150467,-0.23761105494032728,0.791323107678328
166006.SZ,中欧成长LOF,中欧基金,混合型,20091230,1.5,0.25,沪深300指数收益率*75%+中债综合指数收益率*25%,混合型,E,尹为醇 王培,38.21,20220930,0.35408492457930063,-0.2125563425627816,0.6123896811120195,0.675563379926712,0.02790736662956038,-0.29594798889960744,1.0849252855523583
166001.SZ,中欧趋势LOF,中欧基金,混合型,20070129,1.5,0.25,富时中国A600指数*80%+富时中国国债指数*20%,混合型,E,周蔚文,40.78,20220930,0.23844117812693585,-0.2342321858942295,0.5481366405415036,0.6026080408565295,0.013305640132763238,-0.1350634405778188,1.0624593118206904
166024.SZ,中欧恒利定开,中欧基金,混合型,20171101,1.5,0.25,沪深300指数收益率*60%+中债综合指数收益率*40%,混合型,E,曹名长 沈悦,3.99,20220930,0.008000000000000007,-0.19140702520341343,0.2722133464421776,0.08512251738794456,0.31584374847522123,-0.09876883759408603,0.33212065
166005.OF,中欧价值发现A,中欧基金,混合型,20090724,1.5,0.25,沪深300指数*80%+上证国债指数*20%,混合型,O,曹名长 沈悦 蓝小康,26.62,20220930,0.2611611161116111,-0.19247787610619474,0.2907502761454513,0.1684350937001805,0.26667012498355663,-0.12408848862680469,0.7043887128712872
162703.SZ,广发小盘LOF,广发基金,混合型,20050202,1.5,0.25,天相小市值指数,混合型,E,刘格菘,99.6,20220930,0.28678594524682044,-0.2600087105095648,0.9317046899049344,0.7431806995796332,0.018620041765027424,-0.21491189784906561,1.5645731709420132
005233.OF,广发睿毅领先A,广发基金,混合型,20171214,1.5,0.25,沪深300指数收益率*75%+中证全债指数收益率*25%,混合型,O,林英睿,42.36,20220930,0.0038000000000000256,-0.07136449715937417,0.4210582805624129,0.6275679758308157,0.23124042879019907,0.11209105985225393,1.9506000000000001
001763.OF,广发多策略,广发基金,混合型,20151209,1.5,0.25,沪深300指数*50%+中证全债指数*50%,灵活配置型,O,林英睿,22.52,20220930,0.03528114663726562,-0.1299254526091587,0.21052631578947376,0.4226491405460061,0.26510305614783225,0.13314606741573026,1.2238147739801541
002624.OF,广发优企精选A,广发基金,混合型,20160804,1.5,0.25,中证800指数收益率*65%+中证全债指数收益率*35%,灵活配置型,O,程琨,11.48,20220930,0.31695085255767297,-0.08560548362528565,0.426909395302349,0.5463132238788881,0.08591132868359531,-0.11351841610568966,1.557767883650953
000747.OF,广发逆向策略A,广发基金,混合型,20140904,1.5,0.25,沪深300指数*50%+中证全债指数*50%,灵活配置型,O,程琨,1.01,20220930,0.08338804990151018,-0.1557575757575757,0.4249820531227567,0.5244332493702769,0.12471910112359558,-0.12419933008168298,0.9571240971766253
519688.OF,交银精选,交银施罗德基金,混合型,20050929,1.5,0.25,沪深300指数*75%+中证综合债券指数*25%,混合型,O,王崇,68.3,20220930,0.20692481779140012,-0.1629194407948154,0.5842010879339834,0.5506515795840257,0.03592032319751914,-0.15579693763519134,1.1711307838979275
519736.OF,交银新成长,交银施罗德基金,混合型,20140509,1.5,0.25,富时中国A600成长指数*75%+中证综合债券指数*25%,混合型,O,王崇,94.77,20220930,0.3358766233766234,-0.1598817191234254,0.5820284860173579,0.5597785990050712,0.03666903238203326,-0.15084436356766778,1.4378751677489179
501087.SH,交银瑞丰LOF,交银施罗德基金,混合型,20190904,1.5,0.25,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,混合型,E,王崇,21.14,20221231,,,0.0532999999999999,0.591854172600399,-0.026778791674121883,-0.18580708420149525,0.3286
519697.OF,交银优势行业,交银施罗德基金,混合型,20090121,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,何帅,58.02,20220930,0.1081939378694504,0.003206128528869305,0.43901766502630235,0.35929029053178985,0.19760696168063924,-0.11226240353297841,1.3119754150421332
161912.SZ,社会责任定开,万家基金,混合型,20190321,1.5,0.25,沪深300指数收益率*80%+上证国债指数收益率*20%,混合型,E,莫海波,8.95,20220930,,,0.34925592000000005,0.9426539925798508,0.3006274413542763,-0.20468702446992507,1.71131994
519196.OF,万家新兴蓝筹,万家基金,混合型,20160126,1.5,0.25,沪深300指数收益率*50%+中证全债指数收益率*50%,灵活配置型,O,莫海波,16.24,20220930,0.3036918707845226,-0.21651238769398315,0.4189007904794996,0.8230112648434491,0.33758405914183737,-0.15551914237849324,1.9850816826411073
519195.OF,万家品质生活A,万家基金,混合型,20150806,1.5,0.25,沪深300指数收益率*50%+上证国债指数收益率*50%,灵活配置型,O,莫海波,30.37,20220930,0.3153634315279981,-0.21467994671065155,0.4771383167757047,0.7070905382110169,0.35037820308175077,-0.14255765353315308,2.0166729616957357
000362.OF,国泰聚信价值优势A,国泰基金,混合型,20131217,1.5,0.2,沪深300指数收益率*80%+上证国债指数收益率*20%,灵活配置型,O,程洲,27.52,20220930,0.13459190382267305,-0.2577814569536424,0.6024179511487844,0.6675191813542626,0.21664110447533133,-0.25370312024971786,1.0431122663661125
020018.OF,国泰金鹿,国泰基金,混合型,20140826,1.5,0.25,沪深300指数收益率*80%+中债综合指数收益率*20%,混合型,O,李海 赵大震,1.47,20220930,0.0020040081657183013,0.0330000024599536,0.39610389542704555,0.4950983887895021,0.09275389908560307,-0.1677032244889237,0.9649788061953023
161005.SZ,富国天惠LOF,富国基金,混合型,20051116,1.5,0.25,沪深300指数收益率*70%+中债综合全价指数收益率*25%+同业存款利率*5%,混合型,E,朱少醒,294.5,20220930,0.27767628383647086,-0.26964117585521497,0.6213675112484933,0.586375505309563,0.0062089290625794115,-0.23902886480212715,0.8382289205748021
100039.OF,富国通胀通缩主题A,富国基金,混合型,20100512,1.5,0.25,沪深300指数收益率*80%+中债综合指数收益率*20%,混合型,O,曹晋,3.77,20220930,0.15992136126364315,-0.1573933372296903,0.6596531455920094,0.724258289703316,0.1199392712550607,-0.23090826931766828,1.4090494068198764
