ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2022
001763.OF,广发多策略,广发基金,20151209,混合型,灵活配置型,沪深300指数*50%+中证全债指数*50%,1.5,0.25,林英睿,22.52,20220930,13.31%
005233.OF,广发睿毅领先A,广发基金,20171214,混合型,混合型,沪深300指数收益率*75%+中证全债指数收益率*25%,1.5,0.25,林英睿,42.36,20220930,11.21%
217022.OF,招商产业A,招商基金,20120321,债券型,债券型,三年期银行定期存款收益率(税后),0.7,0.2,马龙,183.12,20220930,2.59%
008383.OF,招商安心收益A,招商基金,20191128,债券型,收益型,中债综合全价(总值)指数收益率,0.7,0.2,马龙,99.87,20220930,2.27%
161716.SZ,招商双债LOF,招商基金,20150302,债券型,债券型,中债综合指数收益率*60%+天相可转债指数收益率*40%,0.6,0.2,刘万锋,132.63,20220930,1.98%
161911.SZ,万家强化收益定开,万家基金,20130507,债券型,债券型,三年期银行定期存款收益率(税后),0.7,0.2,陈奕雯,3.09,20220930,1.60%
161115.SZ,易基岁丰添利LOF,易方达基金,20101109,债券型,债券型,中债新综合财富指数,0.3,0.1,张凯頔 胡剑,108.14,20220930,1.57%
007916.OF,财通资管鸿福短债C,财通证券资管,20191015,债券型,债券型,中债综合财富(1年以下)指数收益率*80%+银行活期存款利率(税后)*20%,0.3,0.1,李杰 邹舟,176.35,20220930,1.46%
161015.SZ,富国天盈LOF,富国基金,20140523,债券型,债券型,中债综合指数,0.7,0.2,俞晓斌,17.07,20220930,1.40%
160618.SZ,鹏华丰泽LOF,鹏华基金,20141208,债券型,债券型,中债总指数收益率,0.7,0.2,祝松 邓明明,9.64,20220930,1.29%
161014.SZ,富国汇利定开,富国基金,20171211,债券型,债券型,中债综合指数收益率,0.5,0.15,张洋 黄纪亮,12.85,20220930,1.10%
501053.SH,东方红目标优选,东证资管,20171218,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.7,0.2,孔令超 徐觅,7.57,20220930,-1.03%
169106.SZ,东方红创优定开,东证资管,20180322,混合型,混合型,中债综合指数收益率*80%+沪深300指数收益率*20%,0.7,0.2,孔令超 陈觉平,13.62,20220930,-1.21%
001406.OF,东方红策略精选C,东证资管,20150605,混合型,灵活配置型,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,0.6,0.1,孔令超 徐觅,3.72,20220930,-1.44%
160517.OF,博时中证银行,博时基金,20200806,股票型,被动指数型,中证银行指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,0.5,0.15,赵云阳,7.74,20220930,-3.72%
