ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
900007.OF,中信证券债券优化一年持有A,中信证券,20210531,债券型,债券型,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*10%,0.7,0.15,曹霞 田宇 罗翔,21.71,20220930,,,,,,,,,,0.029060961756910215,-0.0265844908472081,0.0017039000378644678
010884.OF,中银臻享,中银基金,20210531,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,周毅 田原,17.4,20221231,,,,,,,,,,0.024499999999999966,0.021929253294289942,0.04696652000000001
900097.OF,中信证券债券优化一年持有C,中信证券,20210531,债券型,债券型,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*10%,0.7,0.15,曹霞 田宇 罗翔,8.44,20220930,,,,,,,,,,0.02764104505868979,-0.03049005158437722,-0.0036917834153729788
011655.OF,天弘兴益一年定开,天弘基金,20210528,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.05,刘洋 刘莹 马泽宇,54.8,20220930,,,,,,,,,,0.03418454000000004,0.0216591131791624,0.05658406000000005
012489.OF,招商招顺纯债D,招商基金,20210527,债券型,债券型,中证全债指数收益率,0.3,0.1,刘万锋,,,,,,,,,,,,,,
012490.OF,招商招怡纯债D,招商基金,20210527,债券型,债券型,中证全债指数收益率,0.3,0.1,孙麓深,0.05,20220930,,,,,,,,,,,0.003088730812429877,0.003088730812429877
012337.OF,工银瑞信稳健回报60天持有C,工银瑞信基金,20210526,债券型,债券型,中债-综合财富(1年以下)指数收益率*85%+一年期定期存款基准利率(税后)*15%,0.2,0.05,陈涵,6.67,20220930,,,,,,,,,,0.0132000000000001,0.020035530990919842,0.033500000000000085
012336.OF,工银瑞信稳健回报60天持有A,工银瑞信基金,20210526,债券型,债券型,中债-综合财富(1年以下)指数收益率*85%+一年期定期存款基准利率(税后)*15%,0.2,0.05,陈涵,0.12,20220930,,,,,,,,,,0.014399999999999968,0.022082018927444772,0.036799999999999944
009310.OF,国寿安保尊庆6个月持有C,国寿安保基金,20210525,债券型,债券型,中债综合(全价)指数收益率,0.6,0.1,卢珊 黄力,0.25,20220930,,,,,,,,,,0.0253000000000001,0.013654540134594547,0.03929999999999989
009309.OF,国寿安保尊庆6个月持有A,国寿安保基金,20210525,债券型,债券型,中债综合(全价)指数收益率,0.6,0.1,卢珊 黄力,1.67,20220930,,,,,,,,,,0.02719999999999989,0.016744548286604464,0.044399999999999995
952003.OF,国泰君安中债1-3年政金债A,国泰君安资管,20210525,债券型,被动指数型,中债-1-3年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,施纵舟 朱莹 杜浩然,0.89,20220930,0.07675181358066964,0.029422758762764456,0.10403699646571034,0.057971010439599686,0.016504857441724276,0.015822945907572248,0.02169625321679825,0.019679333841864093,0.026306306243959895,0.023159585131598735,0.023035037968051432,0.4932862185517768
952303.OF,国泰君安中债1-3年政金债C,国泰君安资管,20210525,债券型,被动指数型,中债-1-3年政策性金融债指数收益率*95%+银行活期存款利率(税后)*5%,0.15,0.05,施纵舟 朱莹 杜浩然,0.13,20220930,,,,,,,,,,0.01521951219512201,0.021178233711320413,0.036720068292683004
012331.OF,广发集优9个月持有C,广发基金,20210524,债券型,债券型,中债-新综合财富(总值)指数收益率*87%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*3%,0.55,0.1,曾刚,19.43,20220930,,,,,,,,,,0.047800000000000065,-0.023382324871158586,0.0233000000000001
012330.OF,广发集优9个月持有A,广发基金,20210524,债券型,债券型,中债-新综合财富(总值)指数收益率*87%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*3%,0.55,0.1,曾刚,18.77,20220930,,,,,,,,,,0.05010000000000003,-0.019998095419483983,0.029099999999999904
012290.OF,中融恒益A,中融基金,20210521,债券型,债券型,中债综合指数(全价)收益率,0.3,0.1,石霄蒙,11.41,20220930,,,,,,,,,,0.01550000000000007,0.022058099458394854,0.037900000000000045
012092.OF,银华信用精选两年定开,银华基金,20210521,债券型,债券型,中债信用债总财富(总值)指数收益率*80%+中国人民银行公布的同期一年期银行定期存款基准利率(税后)*20%,0.8,0.08,叶青 边慧,6.95,20220331,,,,,,,,,,0.04150000000000009,0.027844455112817967,0.07050000000000001
012413.OF,建信睿怡纯债C,建信基金,20210521,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,吴沛文 闫晗,3.67,20220930,,,,,,,,,,0.0867587856819213,0.02490730949958299,0.1138270231082919
011986.OF,申万菱信合利C,申万菱信基金,20210521,债券型,债券型,中国债券总指数(全价)收益率*90%+银行活期存款利率(税后)*10%,0.3,0.05,杨翰,0.06,20220930,,,,,,,,,,0.041942460000000015,0.022477335264751465,0.06536254999999991
011985.OF,申万菱信合利A,申万菱信基金,20210521,债券型,债券型,中国债券总指数(全价)收益率*90%+银行活期存款利率(税后)*10%,0.3,0.05,杨翰,9.9,20220930,,,,,,,,,,0.04439181999999997,0.023284852997029478,0.06871033000000004
012291.OF,中融恒益C,中融基金,20210521,债券型,债券型,中债综合指数(全价)收益率,0.3,0.1,石霄蒙,0.0,20220930,,,,,,,,,,0.15460000000000007,0.01905421791096485,0.1766000000000001
011492.OF,华泰紫金丰睿A,华泰证券资管,20210520,债券型,债券型,中债综合财富(总值)指数收益率*90%+沪深300指数收益率*10%,0.8,0.15,刘鹏飞,0.17,20220930,,,,,,,,,,0.06840000000000002,-0.04080868588543624,0.024799999999999933
011464.OF,南华瑞利A,南华基金,20210520,债券型,债券型,中债综合(全价)指数收益率,0.3,0.1,何林泽,10.45,20220930,,,,,,,,,,0.0009236299999999531,0.009218775262604312,0.010150920000000063
012381.OF,英大通盈E,英大基金,20210520,债券型,债券型,中债综合全价(总值)指数收益率,0.3,0.1,吕一楠 张大铮 易祺坤,10.05,20220331,,,,,,,,,,0.0037501472031404182,0.021766664248518943,0.025598439646712642
