ts_code,name,management,found_date,fund_type,invest_type,benchmark,m_fee,c_fee,manager,net_asset,ann_date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,all
008827.OF,建信易盛郑商所能源化工期货ETF联接A,建信基金,20201016,商品型,能源化工期货型,易盛郑商所能源化工指数A收益率*95%+银行活期存款收益率(税后)*5%,1.0,0.1,朱金钰,0.54,20220930,,,,,,,,,0.07719999999999994,-0.0716672855551429,-0.13039999999999996,-0.13039999999999996
008828.OF,建信易盛郑商所能源化工期货ETF联接C,建信基金,20201016,商品型,能源化工期货型,易盛郑商所能源化工指数A收益率*95%+银行活期存款收益率(税后)*5%,1.0,0.1,朱金钰,2.59,20220930,,,,,,,,,0.07630000000000003,-0.07535073864164273,-0.13394292604501606,-0.1381
009478.OF,中银上海金ETF联接C,中银基金,20200929,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,瞿明昱 赵建忠,0.18,20220930,,,,,,,,,-0.009199999999999986,-0.05793298344771902,0.0734947503749732,0.0020000000000000018
009477.OF,中银上海金ETF联接A,中银基金,20200929,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率*95%+人民币活期存款利率(税后)*5%,0.5,0.1,瞿明昱 赵建忠,0.16,20220930,,,,,,,,,-0.008299999999999974,-0.054754462034889595,0.07734158310219758,0.00990000000000002
008987.OF,广发上海金ETF联接C,广发基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,0.5,0.1,霍华明,0.15,20220930,,,,,,,,,-0.07120000000000004,-0.05964685615848407,0.0741928097091826,-0.061799999999999966
008986.OF,广发上海金ETF联接A,广发基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,0.5,0.1,霍华明,0.33,20220930,,,,,,,,,-0.06979999999999997,-0.05643947538163835,0.07793095590748549,-0.05389999999999995
009034.OF,建信上海金ETF联接C,建信基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率*95%+银行活期存款收益率(税后)*5%,0.5,0.1,朱金钰,0.21,20220930,,,,,,,,,-0.028200000000000003,-0.05885984770528918,0.08145637437130987,-0.01090000000000002
009033.OF,建信上海金ETF联接A,建信基金,20200805,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率*95%+银行活期存款收益率(税后)*5%,0.5,0.1,朱金钰,0.28,20220930,,,,,,,,,-0.026599999999999957,-0.055064721594411434,0.0857795172863667,-0.0012999999999999678
009504.OF,富国上海金ETF联接A,富国基金,20200724,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,王乐乐,0.45,20220930,,,,,,,,,-0.06999999999999995,-0.05612903225806454,0.07666894508999775,-0.05489999999999995
009505.OF,富国上海金ETF联接C,富国基金,20200724,商品型,黄金现货合约,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+银行活期存款利率(税后)*5%,0.5,0.1,王乐乐,0.52,20220930,,,,,,,,,-0.07150000000000001,-0.05945072697899841,0.07294171533264639,-0.06299999999999994
